카테고리,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2021년10월_계_총인구수,"262,811","47,369","4,764","13,265","51,033","38,531","29,557","25,359","23,008","7,818","3,621","18,486"
2021년10월_계_연령구간인구수,"262,811","47,369","4,764","13,265","51,033","38,531","29,557","25,359","23,008","7,818","3,621","18,486"
2021년10월_계_0~9세,"28,879","3,087",289,723,"5,631","6,075","5,043","2,556","2,341",387,95,"2,652"
2021년10월_계_10~19세,"24,400","4,309",176,"1,301","6,072","3,594","3,597","1,768","1,740",477,124,"1,242"
2021년10월_계_20~29세,"28,678","6,214",473,"1,791","5,589","3,781","2,370","2,519","3,096",643,263,"1,939"
2021년10월_계_30~39세,"40,856","5,009",601,"1,297","6,995","7,977","5,851","3,876","4,214",598,258,"4,180"
2021년10월_계_40~49세,"44,545","6,771",553,"2,353","9,644","7,359","6,161","3,742","3,621",904,303,"3,134"
2021년10월_계_50~59세,"41,100","9,574",924,"2,999","8,004","4,945","3,039","4,229","3,125","1,329",779,"2,153"
2021년10월_계_60~69세,"32,301","7,493",926,"1,734","5,639","3,229","2,203","3,991","2,739","1,686",878,"1,783"
2021년10월_계_70~79세,"14,523","3,331",497,671,"2,451","1,155",863,"1,814","1,378","1,039",504,820
2021년10월_계_80~89세,"6,656","1,405",282,352,893,368,371,777,678,644,365,521
2021년10월_계_90~99세,853,173,41,42,114,46,57,87,74,106,51,62
2021년10월_계_100세 이상,20,3,2,2,1,2,2,0,2,5,1,0
2021년10월_남_총인구수,"133,361","23,511","2,571","7,053","25,212","19,604","14,990","12,786","12,096","3,883","1,951","9,704"
2021년10월_남_연령구간인구수,"133,361","23,511","2,571","7,053","25,212","19,604","14,990","12,786","12,096","3,883","1,951","9,704"
2021년10월_남_0~9세,"14,735","1,592",148,357,"2,871","3,086","2,571","1,338","1,193",202,45,"1,332"
2021년10월_남_10~19세,"12,697","2,213",86,699,"3,158","1,861","1,869",931,915,254,65,646
2021년10월_남_20~29세,"15,800","3,420",282,"1,075","2,956","1,961","1,313","1,333","1,809",379,165,"1,107"
2021년10월_남_30~39세,"21,367","2,697",348,716,"3,479","4,036","2,882","2,010","2,411",304,157,"2,327"
2021년10월_남_40~49세,"23,237","3,248",346,"1,267","4,730","3,987","3,185","2,008","2,036",473,192,"1,765"
2021년10월_남_50~59세,"20,442","4,605",502,"1,623","3,798","2,431","1,555","2,063","1,582",713,461,"1,109"
2021년10월_남_60~69세,"16,012","3,684",526,923,"2,700","1,601","1,064","1,970","1,351",816,508,869
2021년10월_남_70~79세,"6,718","1,516",229,280,"1,181",535,418,839,585,514,242,379
2021년10월_남_80~89세,"2,178",502,95,103,319,99,115,275,199,206,106,159
2021년10월_남_90~99세,170,34,9,10,20,7,18,19,14,19,9,11
2021년10월_남_100세 이상,5,0,0,0,0,0,0,0,1,3,1,0
2021년10월_여_총인구수,"129,450","23,858","2,193","6,212","25,821","18,927","14,567","12,573","10,912","3,935","1,670","8,782"
2021년10월_여_연령구간인구수,"129,450","23,858","2,193","6,212","25,821","18,927","14,567","12,573","10,912","3,935","1,670","8,782"
2021년10월_여_0~9세,"14,144","1,495",141,366,"2,760","2,989","2,472","1,218","1,148",185,50,"1,320"
2021년10월_여_10~19세,"11,703","2,096",90,602,"2,914","1,733","1,728",837,825,223,59,596
2021년10월_여_20~29세,"12,878","2,794",191,716,"2,633","1,820","1,057","1,186","1,287",264,98,832
2021년10월_여_30~39세,"19,489","2,312",253,581,"3,516","3,941","2,969","1,866","1,803",294,101,"1,853"
2021년10월_여_40~49세,"21,308","3,523",207,"1,086","4,914","3,372","2,976","1,734","1,585",431,111,"1,369"
2021년10월_여_50~59세,"20,658","4,969",422,"1,376","4,206","2,514","1,484","2,166","1,543",616,318,"1,044"
2021년10월_여_60~69세,"16,289","3,809",400,811,"2,939","1,628","1,139","2,021","1,388",870,370,914
2021년10월_여_70~79세,"7,805","1,815",268,391,"1,270",620,445,975,793,525,262,441
2021년10월_여_80~89세,"4,478",903,187,249,574,269,256,502,479,438,259,362
2021년10월_여_90~99세,683,139,32,32,94,39,39,68,60,87,42,51
2021년10월_여_100세 이상,15,3,2,2,1,2,2,0,1,2,0,0
