카테고리,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2021년04월_계_총인구수,"342,468","7,551","10,606","9,938","12,113","6,507","13,094","12,299","7,435","14,113","13,834","4,125","21,630","14,734","15,845","18,134","15,306","43,192","11,231","21,284","29,357","18,784","21,356"
2021년04월_계_연령구간인구수,"342,468","7,551","10,606","9,938","12,113","6,507","13,094","12,299","7,435","14,113","13,834","4,125","21,630","14,734","15,845","18,134","15,306","43,192","11,231","21,284","29,357","18,784","21,356"
2021년04월_계_0~9세,"24,699",275,970,926,378,215,742,884,157,522,673,184,"2,209",651,819,835,737,"3,682",631,"2,402","2,480","3,021","1,306"
2021년04월_계_10~19세,"26,403",404,847,642,649,390,879,"1,020",346,816,975,235,"2,297",887,939,"1,252",925,"3,691",648,"2,669","2,937","1,499","1,456"
2021년04월_계_20~29세,"41,527",880,"1,014","1,083","1,749",773,"1,520","1,572","1,292","1,837","1,731",605,"2,251","1,953","2,145","2,325","1,887","5,179","1,391","2,175","3,862","1,946","2,357"
2021년04월_계_30~39세,"43,586",661,"1,379","1,582","1,397",561,"1,494","1,493","1,064","1,373","1,516",453,"2,768","1,498","1,889","1,686","1,590","5,663","1,351","3,018","4,064","4,527","2,559"
2021년04월_계_40~49세,"51,249",934,"1,834","1,388","1,597",828,"1,884","1,925",961,"1,697","1,954",462,"4,000","1,770","2,016","2,248","1,940","6,734","1,424","4,251","4,921","3,517","2,964"
2021년04월_계_50~59세,"56,856","1,319","1,550","1,508","2,346","1,212","2,185","2,156","1,258","2,567","2,315",729,"3,284","2,884","2,929","3,499","2,819","6,965","2,176","2,883","4,662","1,771","3,839"
2021년04월_계_60~69세,"52,693","1,436","1,441","1,490","2,193","1,294","2,150","1,721","1,253","2,710","2,501",739,"2,763","2,897","2,784","3,376","2,844","6,384","2,006","1,986","3,692","1,535","3,498"
2021년04월_계_70~79세,"30,324","1,035","1,021",872,"1,248",818,"1,458",962,728,"1,727","1,441",469,"1,406","1,510","1,574","1,909","1,744","3,228","1,110","1,306","1,905",693,"2,160"
2021년04월_계_80~89세,"13,501",539,485,398,494,378,699,505,342,772,639,222,571,621,677,918,735,"1,473",439,536,754,238,"1,066"
2021년04월_계_90~99세,"1,548",62,57,47,61,34,78,53,30,81,86,27,77,62,72,82,83,188,53,57,78,35,145
2021년04월_계_100세 이상,82,6,8,2,1,4,5,8,4,11,3,0,4,1,1,4,2,5,2,1,2,2,6
2021년04월_남_총인구수,"168,584","3,732","5,022","4,928","6,140","3,094","6,238","6,065","3,730","7,005","6,641","2,201","10,624","7,322","7,973","8,740","7,673","21,171","5,679","10,309","14,538","9,267","10,492"
2021년04월_남_연령구간인구수,"168,584","3,732","5,022","4,928","6,140","3,094","6,238","6,065","3,730","7,005","6,641","2,201","10,624","7,322","7,973","8,740","7,673","21,171","5,679","10,309","14,538","9,267","10,492"
2021년04월_남_0~9세,"12,615",144,514,494,199,107,389,465,77,294,321,84,"1,099",326,426,416,374,"1,919",312,"1,205","1,275","1,544",631
2021년04월_남_10~19세,"13,833",226,443,345,353,216,481,579,199,441,506,134,"1,164",464,487,665,494,"1,953",351,"1,317","1,513",752,750
2021년04월_남_20~29세,"22,191",485,528,553,916,440,805,841,608,"1,011",913,404,"1,227","1,084","1,170","1,270","1,040","2,753",786,"1,105","2,050",892,"1,310"
2021년04월_남_30~39세,"23,069",395,684,840,783,305,776,754,621,787,826,268,"1,357",856,"1,067",901,899,"2,888",748,"1,474","2,133","2,316","1,391"
2021년04월_남_40~49세,"26,279",506,936,707,893,422,968,922,556,889,981,262,"1,996",956,"1,080","1,147","1,056","3,440",763,"2,040","2,441","1,870","1,448"
2021년04월_남_50~59세,"27,692",686,726,743,"1,210",558,"1,026","1,079",640,"1,264","1,110",379,"1,609","1,390","1,413","1,617","1,441","3,384","1,057","1,467","2,258",798,"1,837"
2021년04월_남_60~69세,"24,447",663,617,684,"1,039",564,925,815,566,"1,242","1,113",377,"1,317","1,348","1,361","1,530","1,337","2,946",957,897,"1,725",718,"1,706"
2021년04월_남_70~79세,"13,246",424,399,395,544,338,587,407,330,742,614,202,631,672,701,845,770,"1,398",492,585,855,300,"1,015"
2021년04월_남_80~89세,"4,849",193,158,160,183,135,261,186,126,310,231,86,209,212,253,331,247,457,197,205,264,71,374
2021년04월_남_90~99세,336,10,13,7,19,7,19,13,6,21,26,5,15,14,15,18,14,32,14,14,22,6,26
2021년04월_남_100세 이상,27,0,4,0,1,2,1,4,1,4,0,0,0,0,0,0,1,1,2,0,2,0,4
