,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2020년08월_계_총인구수,"439,690","5,107","23,407","4,280","19,559","20,540","9,657","11,326","9,102","8,680","18,705","7,608","27,649","6,892","34,911","37,523","22,471","25,217","36,791","17,292","27,209","29,357","12,281","24,126"
2020년08월_계_연령구간인구수,"439,690","5,107","23,407","4,280","19,559","20,540","9,657","11,326","9,102","8,680","18,705","7,608","27,649","6,892","34,911","37,523","22,471","25,217","36,791","17,292","27,209","29,357","12,281","24,126"
2020년08월_계_0~9세,"34,693",340,"2,441",178,"2,320","1,795",278,626,298,321,"1,289",198,"2,104",348,"3,392","4,655","1,433","1,697","2,807","1,001","1,769","2,460",675,"2,268"
2020년08월_계_10~19세,"43,983",372,"2,052",229,"2,260","2,315",502,946,505,499,"1,190",379,"2,987",446,"3,898","3,141","1,817","2,572","5,194","1,648","2,594","4,555",648,"3,234"
2020년08월_계_20~29세,"61,680",583,"2,776",501,"2,171","2,461","1,040","1,713","2,447","1,281","2,856","2,267","3,994",777,"3,910","4,032","3,785","3,764","5,427","2,503","4,356","4,216","1,395","3,425"
2020년08월_계_30~39세,"54,532",680,"3,693",449,"2,917","2,445",762,"1,198","1,128","1,032","2,270","1,004","3,374",841,"4,619","6,615","2,730","2,863","3,583","1,679","3,145","2,990","1,636","2,879"
2020년08월_계_40~49세,"73,138",735,"4,016",493,"3,710","3,523","1,175","1,546","1,097","1,062","2,689",827,"4,501",928,"6,859","6,429","3,240","4,054","7,050","2,613","3,949","6,212","1,659","4,771"
2020년08월_계_50~59세,"77,788",825,"3,313",938,"2,794","3,490","1,952","2,308","1,308","1,603","3,003","1,208","4,981","1,280","5,769","5,940","4,256","4,742","7,128","3,574","5,518","5,292","2,439","4,127"
2020년08월_계_60~69세,"52,511",818,"2,622",874,"1,868","2,360","1,997","1,693","1,212","1,560","2,723","1,012","3,432","1,255","3,840","4,094","2,967","3,198","3,171","2,522","3,422","1,887","2,200","1,784"
2020년08월_계_70~79세,"28,018",504,"1,603",435,"1,026","1,458","1,312",895,743,919,"1,775",494,"1,505",691,"1,901","1,878","1,460","1,652","1,598","1,147","1,580","1,133","1,236","1,073"
