카테고리,대구광역시 서구,대구광역시 서구 내당1동,대구광역시 서구 내당2.3동,대구광역시 서구 내당4동,대구광역시 서구 비산1동,대구광역시 서구 비산2.3동,대구광역시 서구 비산4동,대구광역시 서구 비산5동,대구광역시 서구 비산6동,대구광역시 서구 비산7동,대구광역시 서구 평리1동,대구광역시 서구 평리2동,대구광역시 서구 평리3동,대구광역시 서구 평리4동,대구광역시 서구 평리5동,대구광역시 서구 평리6동,대구광역시 서구 상중이동,대구광역시 서구 원대동
2021년06월_계_총인구수,"167,773","8,516","9,995","16,804","9,719","9,399","9,876","6,213","7,760","10,607","7,909","8,040","9,992","18,150","1,770","5,078","20,211","7,734"
2021년06월_계_연령구간인구수,"167,773","8,516","9,995","16,804","9,719","9,399","9,876","6,213","7,760","10,607","7,909","8,040","9,992","18,150","1,770","5,078","20,211","7,734"
2021년06월_계_0~9세,"7,176",302,311,706,297,279,360,182,226,374,298,586,345,"1,221",72,131,"1,223",263
2021년06월_계_10~19세,"10,458",483,508,"1,173",622,465,581,322,485,548,452,590,564,"1,248",94,307,"1,629",387
2021년06월_계_20~29세,"20,929","1,319","1,242","2,379","1,125","1,004","1,229",642,972,"1,230","1,032",870,"1,255","2,243",225,599,"2,605",958
2021년06월_계_30~39세,"17,058",939,942,"1,977",861,779,941,577,683,"1,034",737,932,978,"2,203",173,475,"2,130",697
2021년06월_계_40~49세,"22,111","1,053","1,261","2,196","1,293","1,086","1,247",735,979,"1,326","1,008","1,206","1,288","2,632",236,615,"2,923","1,027"
2021년06월_계_50~59세,"33,153","1,617","1,944","3,012","2,065","1,839","2,040","1,263","1,600","2,291","1,597","1,431","2,114","3,461",354,"1,096","3,867","1,562"
2021년06월_계_60~69세,"31,830","1,553","1,988","3,049","1,859","1,942","1,971","1,283","1,568","2,128","1,531","1,430","1,967","3,050",349,"1,111","3,577","1,474"
2021년06월_계_70~79세,"17,177",852,"1,203","1,576","1,102","1,341","1,040",835,837,"1,185",832,702,"1,025","1,467",187,503,"1,569",921
2021년06월_계_80~89세,"7,123",364,555,657,454,605,430,346,366,450,388,268,410,540,72,213,600,405
2021년06월_계_90~99세,726,30,41,79,41,56,37,28,37,39,32,24,45,82,3,28,84,40
2021년06월_계_100세 이상,32,4,0,0,0,3,0,0,7,2,2,1,1,3,5,0,4,0
2021년06월_남_총인구수,"83,975","4,211","4,844","8,120","4,980","4,673","4,853","3,155","3,833","5,617","4,000","3,942","5,045","8,998",933,"2,680","10,170","3,921"
2021년06월_남_연령구간인구수,"83,975","4,211","4,844","8,120","4,980","4,673","4,853","3,155","3,833","5,617","4,000","3,942","5,045","8,998",933,"2,680","10,170","3,921"
2021년06월_남_0~9세,"3,702",166,161,351,150,155,181,97,122,196,146,299,185,616,39,65,656,117
2021년06월_남_10~19세,"5,411",264,268,606,331,249,298,163,256,270,236,287,314,627,54,154,851,183
2021년06월_남_20~29세,"11,513",699,650,"1,264",666,563,662,353,554,723,591,465,670,"1,210",132,347,"1,425",539
2021년06월_남_30~39세,"9,687",533,555,"1,115",499,448,546,345,393,588,437,496,570,"1,197",97,294,"1,174",400
2021년06월_남_40~49세,"11,886",555,700,"1,085",732,631,685,403,489,799,566,610,714,"1,348",133,367,"1,483",586
2021년06월_남_50~59세,"16,747",755,970,"1,370","1,086",963,991,704,819,"1,291",835,697,"1,054","1,714",182,581,"1,913",822
2021년06월_남_60~69세,"14,920",710,879,"1,367",895,927,888,597,705,"1,061",715,675,947,"1,421",171,567,"1,695",700
2021년06월_남_70~79세,"7,503",396,474,707,454,530,452,361,351,532,341,307,450,671,89,228,747,413
2021년06월_남_80~89세,"2,482",127,179,235,163,199,146,125,135,154,130,101,135,182,34,70,213,154
2021년06월_남_90~99세,119,6,8,20,4,8,4,7,7,3,3,4,6,12,1,7,12,7
2021년06월_남_100세 이상,5,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0
2021년06월_여_총인구수,"83,798","4,305","5,151","8,684","4,739","4,726","5,023","3,058","3,927","4,990","3,909","4,098","4,947","9,152",837,"2,398","10,041","3,813"
2021년06월_여_연령구간인구수,"83,798","4,305","5,151","8,684","4,739","4,726","5,023","3,058","3,927","4,990","3,909","4,098","4,947","9,152",837,"2,398","10,041","3,813"
2021년06월_여_0~9세,"3,474",136,150,355,147,124,179,85,104,178,152,287,160,605,33,66,567,146
2021년06월_여_10~19세,"5,047",219,240,567,291,216,283,159,229,278,216,303,250,621,40,153,778,204
2021년06월_여_20~29세,"9,416",620,592,"1,115",459,441,567,289,418,507,441,405,585,"1,033",93,252,"1,180",419
2021년06월_여_30~39세,"7,371",406,387,862,362,331,395,232,290,446,300,436,408,"1,006",76,181,956,297
2021년06월_여_40~49세,"10,225",498,561,"1,111",561,455,562,332,490,527,442,596,574,"1,284",103,248,"1,440",441
2021년06월_여_50~59세,"16,406",862,974,"1,642",979,876,"1,049",559,781,"1,000",762,734,"1,060","1,747",172,515,"1,954",740
2021년06월_여_60~69세,"16,910",843,"1,109","1,682",964,"1,015","1,083",686,863,"1,067",816,755,"1,020","1,629",178,544,"1,882",774
2021년06월_여_70~79세,"9,674",456,729,869,648,811,588,474,486,653,491,395,575,796,98,275,822,508
2021년06월_여_80~89세,"4,641",237,376,422,291,406,284,221,231,296,258,167,275,358,38,143,387,251
2021년06월_여_90~99세,607,24,33,59,37,48,33,21,30,36,29,20,39,70,2,21,72,33
2021년06월_여_100세 이상,27,4,0,0,0,3,0,0,5,2,2,0,1,3,4,0,3,0
