카테고리,대구광역시 중구,대구광역시 중구 동인동,대구광역시 중구 삼덕동,대구광역시 중구 성내1동,대구광역시 중구 성내2동,대구광역시 중구 성내3동,대구광역시 중구 대신동,대구광역시 중구 남산1동,대구광역시 중구 남산2동,대구광역시 중구 남산3동,대구광역시 중구 남산4동,대구광역시 중구 대봉1동,대구광역시 중구 대봉2동
2021년10월_계_총인구수,"74,682","8,194","6,623","4,878","4,423","4,856","7,892","4,882","5,678","6,769","11,541","6,969","1,977"
2021년10월_계_연령구간인구수,"74,682","8,194","6,623","4,878","4,423","4,856","7,892","4,882","5,678","6,769","11,541","6,969","1,977"
2021년10월_계_0~9세,"4,981",286,407,143,110,581,842,251,528,518,793,463,59
2021년10월_계_10~19세,"4,972",463,384,224,186,211,522,276,378,548,"1,052",598,130
2021년10월_계_20~29세,"11,434","1,437","1,799","1,421",802,527,796,861,750,679,"1,229",915,218
2021년10월_계_30~39세,"10,571","1,115","1,255",770,555,949,"1,241",621,951,875,"1,272",792,175
2021년10월_계_40~49세,"10,483","1,038",892,502,469,707,"1,210",638,822,"1,111","1,791","1,016",287
2021년10월_계_50~59세,"11,023","1,264",700,592,690,655,"1,195",756,831,"1,010","1,813","1,186",331
2021년10월_계_60~69세,"10,200","1,215",625,587,768,651,"1,108",716,641,972,"1,711",874,332
2021년10월_계_70~79세,"7,039",875,346,401,547,382,651,498,487,684,"1,199",659,310
2021년10월_계_80~89세,"3,453",430,189,194,241,173,289,239,237,330,599,410,122
2021년10월_계_90~99세,464,64,25,42,41,19,37,25,37,38,71,52,13
2021년10월_계_100세 이상,62,7,1,2,14,1,1,1,16,4,11,4,0
2021년10월_남_총인구수,"35,858","4,080","3,151","2,331","2,220","2,434","3,850","2,341","2,703","3,121","5,391","3,262",974
2021년10월_남_연령구간인구수,"35,858","4,080","3,151","2,331","2,220","2,434","3,850","2,341","2,703","3,121","5,391","3,262",974
2021년10월_남_0~9세,"2,559",128,208,75,55,285,423,135,254,290,433,240,33
2021년10월_남_10~19세,"2,513",229,185,113,91,108,289,133,176,272,562,281,74
2021년10월_남_20~29세,"5,467",708,799,593,377,270,418,411,347,326,638,455,125
2021년10월_남_30~39세,"5,460",611,674,431,341,472,602,318,471,434,622,387,97
2021년10월_남_40~49세,"5,317",570,460,261,256,391,630,325,418,535,860,478,133
2021년10월_남_50~59세,"5,473",685,336,319,371,319,563,387,425,480,834,579,175
2021년10월_남_60~69세,"4,711",594,263,295,385,335,528,337,305,406,720,391,152
2021년10월_남_70~79세,"2,971",369,151,166,238,190,273,216,208,265,503,257,135
2021년10월_남_80~89세,"1,257",168,67,68,93,62,116,73,89,102,202,171,46
2021년10월_남_90~99세,118,17,8,9,10,2,8,5,7,11,15,22,4
2021년10월_남_100세 이상,12,1,0,1,3,0,0,1,3,0,2,1,0
2021년10월_여_총인구수,"38,824","4,114","3,472","2,547","2,203","2,422","4,042","2,541","2,975","3,648","6,150","3,707","1,003"
2021년10월_여_연령구간인구수,"38,824","4,114","3,472","2,547","2,203","2,422","4,042","2,541","2,975","3,648","6,150","3,707","1,003"
2021년10월_여_0~9세,"2,422",158,199,68,55,296,419,116,274,228,360,223,26
2021년10월_여_10~19세,"2,459",234,199,111,95,103,233,143,202,276,490,317,56
2021년10월_여_20~29세,"5,967",729,"1,000",828,425,257,378,450,403,353,591,460,93
2021년10월_여_30~39세,"5,111",504,581,339,214,477,639,303,480,441,650,405,78
2021년10월_여_40~49세,"5,166",468,432,241,213,316,580,313,404,576,931,538,154
2021년10월_여_50~59세,"5,550",579,364,273,319,336,632,369,406,530,979,607,156
2021년10월_여_60~69세,"5,489",621,362,292,383,316,580,379,336,566,991,483,180
2021년10월_여_70~79세,"4,068",506,195,235,309,192,378,282,279,419,696,402,175
2021년10월_여_80~89세,"2,196",262,122,126,148,111,173,166,148,228,397,239,76
2021년10월_여_90~99세,346,47,17,33,31,17,29,20,30,27,56,30,9
2021년10월_여_100세 이상,50,6,1,1,11,1,1,0,13,4,9,3,0
