,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2020년05월_계_총인구수,"1,471,915","224,729","238,955","481,449","351,532","175,250"
2020년05월_계_연령구간인구수,"1,471,915","224,729","238,955","481,449","351,532","175,250"
2020년05월_계_0~9세,"119,029","15,707","16,076","39,714","36,105","11,427"
2020년05월_계_10~19세,"150,093","20,495","22,684","51,038","38,705","17,171"
2020년05월_계_20~29세,"212,858","30,409","31,361","74,031","52,562","24,495"
2020년05월_계_30~39세,"198,147","26,639","27,213","67,592","56,933","19,770"
2020년05월_계_40~49세,"240,495","34,370","37,732","79,782","60,764","27,847"
2020년05월_계_50~59세,"243,088","37,278","40,297","78,090","53,914","33,509"
2020년05월_계_60~69세,"172,989","31,680","32,895","52,990","32,050","23,374"
2020년05월_계_70~79세,"89,481","18,822","20,342","25,363","13,163","11,791"
2020년05월_계_80~89세,"39,717","8,140","9,023","11,132","6,245","5,177"
2020년05월_계_90~99세,"5,671","1,094","1,256","1,630","1,035",656
2020년05월_계_100세 이상,347,95,76,87,56,33
2020년05월_남_총인구수,"734,940","113,288","117,992","237,046","177,460","89,154"
2020년05월_남_연령구간인구수,"734,940","113,288","117,992","237,046","177,460","89,154"
2020년05월_남_0~9세,"61,153","8,101","8,230","20,442","18,596","5,784"
2020년05월_남_10~19세,"77,688","10,571","11,691","26,367","20,115","8,944"
2020년05월_남_20~29세,"111,810","16,192","16,095","37,746","28,165","13,612"
2020년05월_남_30~39세,"102,975","14,295","14,019","34,426","29,489","10,746"
2020년05월_남_40~49세,"120,001","18,076","19,176","38,645","29,941","14,163"
2020년05월_남_50~59세,"121,014","19,035","20,268","37,818","26,793","17,100"
2020년05월_남_60~69세,"84,172","15,330","15,610","25,637","16,026","11,569"
2020년05월_남_70~79세,"40,588","8,458","9,179","11,636","6,053","5,262"
2020년05월_남_80~89세,"14,160","2,936","3,408","3,935","2,045","1,836"
2020년05월_남_90~99세,"1,297",267,298,377,224,131
2020년05월_남_100세 이상,82,27,18,17,13,7
2020년05월_여_총인구수,"736,975","111,441","120,963","244,403","174,072","86,096"
2020년05월_여_연령구간인구수,"736,975","111,441","120,963","244,403","174,072","86,096"
2020년05월_여_0~9세,"57,876","7,606","7,846","19,272","17,509","5,643"
2020년05월_여_10~19세,"72,405","9,924","10,993","24,671","18,590","8,227"
2020년05월_여_20~29세,"101,048","14,217","15,266","36,285","24,397","10,883"
2020년05월_여_30~39세,"95,172","12,344","13,194","33,166","27,444","9,024"
2020년05월_여_40~49세,"120,494","16,294","18,556","41,137","30,823","13,684"
2020년05월_여_50~59세,"122,074","18,243","20,029","40,272","27,121","16,409"
2020년05월_여_60~69세,"88,817","16,350","17,285","27,353","16,024","11,805"
2020년05월_여_70~79세,"48,893","10,364","11,163","13,727","7,110","6,529"
2020년05월_여_80~89세,"25,557","5,204","5,615","7,197","4,200","3,341"
2020년05월_여_90~99세,"4,374",827,958,"1,253",811,525
2020년05월_여_100세 이상,265,68,58,70,43,26
