카테고리,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2020년08월_계_총인구수,"174,237","14,992","7,386","13,166","16,925","28,375","20,056","11,239","14,494","13,962","6,852","9,892","16,898"
2020년08월_계_연령구간인구수,"174,237","14,992","7,386","13,166","16,925","28,375","20,056","11,239","14,494","13,962","6,852","9,892","16,898"
2020년08월_계_0~9세,"11,184",706,328,742,"1,038","2,171","1,069",540,"1,800",817,511,463,999
2020년08월_계_10~19세,"16,924","1,026",536,"1,059","1,755","4,021","1,682",941,"1,317","1,333",647,869,"1,738"
2020년08월_계_20~29세,"24,262","2,380",838,"1,551","2,340","4,175","3,025","1,513","1,763","2,052","1,065","1,270","2,290"
2020년08월_계_30~39세,"19,480","1,614",881,"1,275","1,737","2,803","2,346","1,145","2,441","1,639","1,058",917,"1,624"
2020년08월_계_40~49세,"27,444","2,034","1,139","1,874","2,664","5,268","3,216","1,619","2,358","2,227","1,240","1,329","2,476"
2020년08월_계_50~59세,"33,379","2,892","1,395","2,544","3,236","5,617","3,787","2,198","2,332","2,702","1,197","2,016","3,463"
2020년08월_계_60~69세,"23,733","2,525","1,287","2,255","2,397","2,533","2,903","1,773","1,502","1,722",688,"1,590","2,558"
2020년08월_계_70~79세,"11,950","1,279",678,"1,206","1,207","1,136","1,438","1,011",629,976,295,941,"1,154"
2020년08월_계_80~89세,"5,174",450,257,585,491,577,529,437,315,436,127,448,522
2020년08월_계_90~99세,672,81,44,68,55,71,60,56,36,56,23,49,73
2020년08월_계_100세 이상,35,5,3,7,5,3,1,6,1,2,1,0,1
2020년08월_남_총인구수,"88,596","7,935","3,900","6,681","8,434","14,054","10,399","5,757","7,419","7,384","3,724","4,689","8,220"
2020년08월_남_연령구간인구수,"88,596","7,935","3,900","6,681","8,434","14,054","10,399","5,757","7,419","7,384","3,724","4,689","8,220"
2020년08월_남_0~9세,"5,631",364,173,358,512,"1,095",538,255,919,427,256,231,503
2020년08월_남_10~19세,"8,823",556,294,552,918,"2,054",899,505,692,688,327,437,901
2020년08월_남_20~29세,"13,475","1,311",495,855,"1,292","2,259","1,659",843,969,"1,204",627,712,"1,249"
2020년08월_남_30~39세,"10,607",920,477,681,938,"1,388","1,367",652,"1,266",944,636,484,854
2020년08월_남_40~49세,"13,949","1,151",647,"1,002","1,318","2,356","1,703",860,"1,230","1,206",697,643,"1,136"
2020년08월_남_50~59세,"17,010","1,525",756,"1,302","1,597","2,901","1,934","1,156","1,153","1,446",640,980,"1,620"
2020년08월_남_60~69세,"11,758","1,302",671,"1,131","1,118","1,280","1,418",858,767,850,362,721,"1,280"
2020년08월_남_70~79세,"5,368",616,295,561,539,495,661,465,299,447,132,356,502
2020년08월_남_80~89세,"1,833",177,88,215,184,211,209,157,117,159,42,112,162
2020년08월_남_90~99세,134,11,4,20,17,14,11,6,7,13,5,13,13
2020년08월_남_100세 이상,8,2,0,4,1,1,0,0,0,0,0,0,0
2020년08월_여_총인구수,"85,641","7,057","3,486","6,485","8,491","14,321","9,657","5,482","7,075","6,578","3,128","5,203","8,678"
2020년08월_여_연령구간인구수,"85,641","7,057","3,486","6,485","8,491","14,321","9,657","5,482","7,075","6,578","3,128","5,203","8,678"
2020년08월_여_0~9세,"5,553",342,155,384,526,"1,076",531,285,881,390,255,232,496
2020년08월_여_10~19세,"8,101",470,242,507,837,"1,967",783,436,625,645,320,432,837
2020년08월_여_20~29세,"10,787","1,069",343,696,"1,048","1,916","1,366",670,794,848,438,558,"1,041"
2020년08월_여_30~39세,"8,873",694,404,594,799,"1,415",979,493,"1,175",695,422,433,770
2020년08월_여_40~49세,"13,495",883,492,872,"1,346","2,912","1,513",759,"1,128","1,021",543,686,"1,340"
2020년08월_여_50~59세,"16,369","1,367",639,"1,242","1,639","2,716","1,853","1,042","1,179","1,256",557,"1,036","1,843"
2020년08월_여_60~69세,"11,975","1,223",616,"1,124","1,279","1,253","1,485",915,735,872,326,869,"1,278"
2020년08월_여_70~79세,"6,582",663,383,645,668,641,777,546,330,529,163,585,652
2020년08월_여_80~89세,"3,341",273,169,370,307,366,320,280,198,277,85,336,360
2020년08월_여_90~99세,538,70,40,48,38,57,49,50,29,43,18,36,60
2020년08월_여_100세 이상,27,3,3,3,4,2,1,6,1,2,1,0,1
