카테고리,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2020년02월_계_총인구수,"225,633","5,110","26,502","12,597","12,794","8,894","16,856","15,551","10,516","14,091","19,067","20,757","12,645","11,241","14,883","2,566","21,563"
2020년02월_계_연령구간인구수,"225,633","5,110","26,502","12,597","12,794","8,894","16,856","15,551","10,516","14,091","19,067","20,757","12,645","11,241","14,883","2,566","21,563"
2020년02월_계_0~9세,"15,972",112,"2,839",983,899,315,"1,024","1,527",393,851,"1,103","1,238",945,644,899,87,"2,113"
2020년02월_계_10~19세,"20,734",154,"3,433",943,"1,054",422,"1,610","1,471",889,"1,151","1,901","1,588",996,877,"1,354",160,"2,731"
2020년02월_계_20~29세,"30,433",385,"2,704","1,494","1,576",898,"2,681","1,887","2,556","2,032","3,040","3,866","1,453","1,893","1,624",202,"2,142"
2020년02월_계_30~39세,"26,972",428,"3,397","1,768","1,610",786,"1,780","2,210","1,061","1,511","2,093","3,133","1,608","1,389","1,537",165,"2,496"
2020년02월_계_40~49세,"34,716",566,"5,023","1,880","1,778","1,057","2,588","2,364","1,304","2,082","2,887","3,215","1,876","1,660","2,261",305,"3,870"
2020년02월_계_50~59세,"37,616","1,099","3,772","2,000","2,285","1,636","2,993","2,481","1,574","2,462","3,383","3,421","2,215","1,989","2,657",489,"3,160"
2020년02월_계_60~69세,"31,344","1,160","2,915","1,805","1,850","1,825","2,352","1,885","1,458","2,094","2,615","2,503","1,869","1,547","2,322",525,"2,619"
2020년02월_계_70~79세,"18,651",811,"1,667","1,176","1,123","1,251","1,222","1,141",891,"1,298","1,407","1,254","1,130",845,"1,508",348,"1,579"
2020년02월_계_80~89세,"8,024",337,657,469,545,622,527,504,349,546,574,467,466,346,632,252,731
2020년02월_계_90~99세,"1,083",49,89,66,71,80,73,70,37,58,64,70,78,49,83,31,115
2020년02월_계_100세 이상,88,9,6,13,3,2,6,11,4,6,0,2,9,2,6,2,7
