,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2021년11월_계_총인구수,"223,038","4,566","24,767","12,018","12,405","8,522","21,982","14,999","10,680","13,736","18,352","20,630","12,015","11,127","14,114","2,421","20,704"
2021년11월_계_연령구간인구수,"223,038","4,566","24,767","12,018","12,405","8,522","21,982","14,999","10,680","13,736","18,352","20,630","12,015","11,127","14,114","2,421","20,704"
2021년11월_계_0~9세,"14,302",115,"2,319",847,755,246,"1,659","1,357",355,759,891,"1,029",855,540,756,55,"1,764"
2021년11월_계_10~19세,"19,589",127,"3,343",867,932,361,"1,835","1,431",756,"1,066","1,716","1,462",905,789,"1,212",130,"2,657"
2021년11월_계_20~29세,"30,294",319,"2,580","1,291","1,473",750,"3,366","1,733","2,826","1,940","2,930","3,981","1,295","2,115","1,455",191,"2,049"
2021년11월_계_30~39세,"25,440",376,"2,725","1,528","1,466",703,"2,989","1,913","1,049","1,402","1,932","3,057","1,415","1,275","1,368",150,"2,092"
2021년11월_계_40~49세,"33,546",468,"4,802","1,738","1,683",973,"3,239","2,379","1,226","2,005","2,612","3,106","1,739","1,510","2,076",238,"3,752"
2021년11월_계_50~59세,"36,396",887,"3,621","1,915","2,153","1,453","3,614","2,368","1,575","2,297","3,307","3,305","2,045","1,847","2,492",456,"3,061"
2021년11월_계_60~69세,"34,284","1,138","3,021","2,010","2,033","1,952","3,107","2,049","1,553","2,297","2,791","2,727","1,997","1,717","2,470",579,"2,843"
2021년11월_계_70~79세,"19,134",765,"1,599","1,209","1,214","1,278","1,470","1,131",899,"1,315","1,439","1,353","1,174",868,"1,500",330,"1,590"
2021년11월_계_80~89세,"8,853",329,652,551,618,701,615,557,390,588,651,545,507,416,699,249,785
2021년11월_계_90~99세,"1,159",41,103,61,76,104,83,78,48,63,79,63,79,50,85,43,103
2021년11월_계_100세 이상,41,1,2,1,2,1,5,3,3,4,4,2,4,0,1,0,8
2021년11월_남_총인구수,"112,408","2,557","12,190","5,869","6,077","4,159","11,068","7,504","5,666","7,060","9,213","10,605","5,963","5,614","7,186","1,256","10,421"
2021년11월_남_연령구간인구수,"112,408","2,557","12,190","5,869","6,077","4,159","11,068","7,504","5,666","7,060","9,213","10,605","5,963","5,614","7,186","1,256","10,421"
2021년11월_남_0~9세,"7,430",55,"1,164",432,423,125,870,708,182,375,468,539,464,304,368,23,930
2021년11월_남_10~19세,"10,147",56,"1,742",471,482,193,913,756,379,542,899,755,446,404,640,61,"1,408"
2021년11월_남_20~29세,"16,006",188,"1,394",638,783,418,"1,787",901,"1,545","1,063","1,485","2,034",684,"1,065",810,108,"1,103"
2021년11월_남_30~39세,"13,761",223,"1,334",807,785,414,"1,600",994,643,774,"1,090","1,757",747,696,742,98,"1,057"
