,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2021년07월_계_총인구수,"474,653","22,666","15,210","17,364","16,340","16,179","12,371","27,390","19,288","11,973","23,880","21,599","24,987","11,283","14,971","21,479","41,694","15,753","50,475","3,737","16,998","36,170","12,848","19,998"
2021년07월_계_연령구간인구수,"474,653","22,666","15,210","17,364","16,340","16,179","12,371","27,390","19,288","11,973","23,880","21,599","24,987","11,283","14,971","21,479","41,694","15,753","50,475","3,737","16,998","36,170","12,848","19,998"
2021년07월_계_0~9세,"36,515","2,056",692,847,"1,053",952,587,"1,668","1,154",799,"1,852","1,109","1,401",375,764,"1,747","5,263","1,257","6,078",91,"1,553","3,129",941,"1,147"
2021년07월_계_10~19세,"48,699","3,031",995,"1,366","1,438","1,222",624,"2,381","1,258","1,085","2,630","1,626","2,006",544,"1,279","2,655","4,835","1,600","6,118",169,"3,400","4,239","1,291","2,907"
2021년07월_계_20~29세,"73,477","2,836","2,509","2,452","1,997","2,140","2,441","5,479","4,568","1,607","3,146","4,248","5,596","2,915","1,881","2,700","5,015","2,773","6,814",295,"1,651","5,436","2,344","2,634"
2021년07월_계_30~39세,"64,984","2,593","1,594","1,820","1,724","2,010","2,166","4,636","3,599","1,421","2,704","3,431","4,195","1,865","1,514","2,630","6,529","2,057","7,908",263,"1,318","5,365","1,974","1,668"
2021년07월_계_40~49세,"76,916","4,282","1,784","2,332","2,247","2,246","1,719","4,401","2,820","1,815","3,988","3,079","3,784","1,523","1,934","3,365","7,841","2,321","9,414",401,"3,973","6,206","2,047","3,394"
2021년07월_계_50~59세,"76,750","3,502","2,614","2,925","3,065","2,873","1,738","4,314","2,509","1,953","3,922","3,352","4,000","1,882","2,796","3,861","5,743","2,786","7,638",675,"2,497","6,299","2,242","3,564"
2021년07월_계_60~69세,"57,578","2,574","2,766","3,120","2,851","2,658","1,687","2,789","2,005","1,825","3,218","3,039","2,625","1,355","2,620","3,049","4,119","1,689","3,905",776,"1,357","3,659","1,298","2,594"
2021년07월_계_70~79세,"26,243","1,228","1,544","1,687","1,296","1,416",933,"1,091",949,"1,006","1,665","1,182",897,559,"1,281",944,"1,588",814,"1,718",575,811,"1,201",469,"1,389"
2021년07월_계_80~89세,"11,736",494,631,732,580,575,417,552,361,404,665,471,436,227,770,452,653,402,765,404,378,557,205,605
2021년07월_계_90~99세,"1,694",67,76,81,87,85,55,76,61,58,89,60,45,36,130,75,104,52,114,84,58,75,37,89
2021년07월_계_100세 이상,61,3,5,2,2,2,4,3,4,0,1,2,2,2,2,1,4,2,3,4,2,4,0,7
2021년07월_남_총인구수,"233,371","11,174","7,724","8,760","7,981","8,219","5,900","13,139","9,430","5,816","11,471","11,025","12,505","6,025","7,125","10,565","20,502","7,520","24,655","1,928","8,358","17,476","6,425","9,648"
2021년07월_남_연령구간인구수,"233,371","11,174","7,724","8,760","7,981","8,219","5,900","13,139","9,430","5,816","11,471","11,025","12,505","6,025","7,125","10,565","20,502","7,520","24,655","1,928","8,358","17,476","6,425","9,648"
2021년07월_남_0~9세,"18,866","1,053",376,461,561,519,308,889,582,415,936,602,688,197,377,905,"2,683",639,"3,131",56,788,"1,630",470,600
