카테고리,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동
2021년05월_계_총인구수,"350,046","34,783","34,895","40,086","22,122","24,743","37,650","26,036","27,191","27,793","28,876","45,871"
2021년05월_계_연령구간인구수,"350,046","34,783","34,895","40,086","22,122","24,743","37,650","26,036","27,191","27,793","28,876","45,871"
2021년05월_계_0~9세,"33,968","3,198","1,533","3,450","2,220","2,363","4,888","2,898","2,564","2,434","3,113","5,307"
2021년05월_계_10~19세,"37,813","3,327","1,485","3,198","3,011","3,439","4,567","2,918","3,169","3,041","4,487","5,171"
2021년05월_계_20~29세,"52,518","4,366","8,296","8,424","2,863","3,120","3,809","4,130","4,392","4,268","3,741","5,109"
2021년05월_계_30~39세,"55,283","4,375","6,812","6,366","3,188","3,106","6,103","5,215","4,432","4,044","3,999","7,643"
2021년05월_계_40~49세,"60,041","5,872","4,381","5,569","4,300","4,673","7,412","4,252","4,302","4,706","5,871","8,703"
2021년05월_계_50~59세,"54,118","6,196","5,465","5,850","3,275","4,066","5,297","3,491","4,468","4,749","4,506","6,755"
2021년05월_계_60~69세,"35,064","4,490","4,187","4,632","1,884","2,229","3,553","2,018","2,534","2,610","2,159","4,768"
2021년05월_계_70~79세,"13,566","1,883","1,784","1,686",881,"1,112","1,368",661,746,"1,172",647,"1,626"
2021년05월_계_80~89세,"6,551",942,811,784,429,546,554,392,472,663,300,658
2021년05월_계_90~99세,"1,097",129,132,127,70,89,95,61,111,102,53,128
2021년05월_계_100세 이상,27,5,9,0,1,0,4,0,1,4,0,3
2021년05월_남_총인구수,"176,750","17,670","18,027","20,849","10,984","12,179","18,484","13,655","13,953","14,223","14,758","21,968"
2021년05월_남_연령구간인구수,"176,750","17,670","18,027","20,849","10,984","12,179","18,484","13,655","13,953","14,223","14,758","21,968"
2021년05월_남_0~9세,"17,485","1,614",802,"1,726","1,170","1,230","2,470","1,529","1,360","1,244","1,612","2,728"
2021년05월_남_10~19세,"19,517","1,777",757,"1,642","1,543","1,769","2,325","1,493","1,616","1,574","2,346","2,675"
2021년05월_남_20~29세,"28,182","2,381","4,209","4,920","1,477","1,605","1,998","2,280","2,426","2,357","1,993","2,536"
2021년05월_남_30~39세,"28,894","2,260","3,901","3,491","1,581","1,536","2,914","2,898","2,458","2,194","2,055","3,606"
2021년05월_남_40~49세,"29,528","3,030","2,345","2,811","2,046","2,198","3,601","2,140","2,068","2,373","2,777","4,139"
2021년05월_남_50~59세,"26,988","3,110","2,715","2,820","1,688","2,047","2,596","1,803","2,172","2,483","2,443","3,111"
2021년05월_남_60~69세,"17,410","2,259","2,168","2,309",900,"1,088","1,689","1,054","1,330","1,309","1,122","2,182"
2021년05월_남_70~79세,"6,329",901,802,819,410,486,669,330,362,471,323,756
2021년05월_남_80~89세,"2,177",313,288,278,156,202,203,115,130,196,76,220
2021년05월_남_90~99세,236,23,39,33,12,18,19,13,31,22,11,15
2021년05월_남_100세 이상,4,2,1,0,1,0,0,0,0,0,0,0
2021년05월_여_총인구수,"173,296","17,113","16,868","19,237","11,138","12,564","19,166","12,381","13,238","13,570","14,118","23,903"
2021년05월_여_연령구간인구수,"173,296","17,113","16,868","19,237","11,138","12,564","19,166","12,381","13,238","13,570","14,118","23,903"
2021년05월_여_0~9세,"16,483","1,584",731,"1,724","1,050","1,133","2,418","1,369","1,204","1,190","1,501","2,579"
2021년05월_여_10~19세,"18,296","1,550",728,"1,556","1,468","1,670","2,242","1,425","1,553","1,467","2,141","2,496"
2021년05월_여_20~29세,"24,336","1,985","4,087","3,504","1,386","1,515","1,811","1,850","1,966","1,911","1,748","2,573"
2021년05월_여_30~39세,"26,389","2,115","2,911","2,875","1,607","1,570","3,189","2,317","1,974","1,850","1,944","4,037"
2021년05월_여_40~49세,"30,513","2,842","2,036","2,758","2,254","2,475","3,811","2,112","2,234","2,333","3,094","4,564"
2021년05월_여_50~59세,"27,130","3,086","2,750","3,030","1,587","2,019","2,701","1,688","2,296","2,266","2,063","3,644"
2021년05월_여_60~69세,"17,654","2,231","2,019","2,323",984,"1,141","1,864",964,"1,204","1,301","1,037","2,586"
2021년05월_여_70~79세,"7,237",982,982,867,471,626,699,331,384,701,324,870
2021년05월_여_80~89세,"4,374",629,523,506,273,344,351,277,342,467,224,438
2021년05월_여_90~99세,861,106,93,94,58,71,76,48,80,80,42,113
2021년05월_여_100세 이상,23,3,8,0,0,0,4,0,1,4,0,3
