카테고리,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2020년12월_계_총인구수,"235,550","16,161","14,737","13,385","14,132","4,766","15,910","5,470","6,780","9,679","10,431","13,607","26,297","6,673","13,898","22,851","12,906","27,867"
2020년12월_계_연령구간인구수,"235,550","16,161","14,737","13,385","14,132","4,766","15,910","5,470","6,780","9,679","10,431","13,607","26,297","6,673","13,898","22,851","12,906","27,867"
2020년12월_계_0~9세,"15,174",893,"1,530",729,939,176,715,165,305,520,636,"1,195","1,971",338,912,"1,957",644,"1,549"
2020년12월_계_10~19세,"21,987","1,012","2,446","1,241","1,123",302,"1,153",260,465,741,780,"1,636","3,153",358,992,"2,889","1,097","2,339"
2020년12월_계_20~29세,"30,940","2,808","1,630","1,624","2,463",497,"1,841",997,765,"1,820","1,499","1,523","3,048",863,"1,802","2,864","1,566","3,330"
2020년12월_계_30~39세,"26,091","2,398","1,557","1,340","1,964",473,"1,626",594,657,"1,239","1,290","1,557","2,411",886,"1,615","2,467","1,279","2,738"
2020년12월_계_40~49세,"36,905","2,506","3,273","2,151","2,175",599,"2,088",612,909,"1,420","1,474","2,482","4,430",956,"1,934","3,998","1,876","4,022"
2020년12월_계_50~59세,"39,694","2,689","2,079","2,381","2,031",846,"2,847",916,"1,264","1,494","1,734","2,206","4,480","1,185","2,231","3,546","2,431","5,334"
2020년12월_계_60~69세,"33,603","2,162","1,178","2,072","1,804",872,"2,979",914,"1,208","1,165","1,416","1,522","3,471","1,182","2,247","2,566","2,041","4,804"
2020년12월_계_70~79세,"20,588","1,127",692,"1,197","1,066",652,"1,870",633,763,827,970,"1,017","2,196",614,"1,464","1,684","1,243","2,573"
2020년12월_계_80~89세,"9,214",480,307,568,469,308,699,330,372,394,544,425,988,256,605,777,655,"1,037"
2020년12월_계_90~99세,"1,269",79,40,76,90,37,84,43,67,53,87,44,142,33,89,99,71,135
2020년12월_계_100세 이상,85,7,5,6,8,4,8,6,5,6,1,0,7,2,7,4,3,6
2020년12월_남_총인구수,"116,233","8,349","7,048","6,520","6,979","2,501","7,994","2,697","3,407","4,628","4,919","6,598","12,647","3,537","6,837","11,056","6,282","14,234"
2020년12월_남_연령구간인구수,"116,233","8,349","7,048","6,520","6,979","2,501","7,994","2,697","3,407","4,628","4,919","6,598","12,647","3,537","6,837","11,056","6,282","14,234"
