,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2021년10월_계_총인구수,"231,852","15,769","14,453","12,618","13,871","4,696","15,696","5,443","6,750","9,549","10,687","13,412","25,822","6,623","13,769","22,512","12,725","27,457"
2021년10월_계_연령구간인구수,"231,852","15,769","14,453","12,618","13,871","4,696","15,696","5,443","6,750","9,549","10,687","13,412","25,822","6,623","13,769","22,512","12,725","27,457"
2021년10월_계_0~9세,"14,188",878,"1,391",635,836,171,681,157,295,507,652,"1,096","1,843",326,874,"1,837",601,"1,408"
2021년10월_계_10~19세,"21,144",993,"2,433","1,115","1,109",285,"1,092",259,424,724,767,"1,594","2,979",332,958,"2,776","1,040","2,264"
2021년10월_계_20~29세,"30,295","2,719","1,560","1,478","2,417",500,"1,758","1,011",809,"1,755","1,538","1,491","2,998",885,"1,786","2,854","1,542","3,194"
2021년10월_계_30~39세,"25,262","2,331","1,432","1,276","1,934",430,"1,558",633,669,"1,320","1,366","1,468","2,244",872,"1,547","2,351","1,236","2,595"
2021년10월_계_40~49세,"35,467","2,416","3,195","1,914","2,145",571,"2,012",588,845,"1,341","1,451","2,388","4,248",931,"1,906","3,830","1,785","3,901"
2021년10월_계_50~59세,"39,072","2,535","2,119","2,244","1,994",834,"2,767",854,"1,225","1,458","1,789","2,242","4,478","1,133","2,212","3,606","2,379","5,203"
2021년10월_계_60~69세,"34,809","2,203","1,267","2,066","1,807",917,"3,117",951,"1,284","1,179","1,508","1,600","3,593","1,214","2,300","2,681","2,126","4,996"
2021년10월_계_70~79세,"20,599","1,129",685,"1,211","1,060",626,"1,870",603,752,805,967,"1,034","2,250",618,"1,439","1,652","1,230","2,668"
2021년10월_계_80~89세,"9,645",478,326,588,467,318,743,345,379,407,555,450,"1,038",280,665,823,694,"1,089"
2021년10월_계_90~99세,"1,331",83,40,88,99,43,96,41,67,53,94,49,145,31,80,100,88,134
2021년10월_계_100세 이상,40,4,5,3,3,1,2,1,1,0,0,0,6,1,2,2,4,5
2021년10월_남_총인구수,"114,258","8,126","6,907","6,153","6,857","2,452","7,873","2,644","3,425","4,619","5,033","6,505","12,419","3,483","6,786","10,848","6,172","13,956"
2021년10월_남_연령구간인구수,"114,258","8,126","6,907","6,153","6,857","2,452","7,873","2,644","3,425","4,619","5,033","6,505","12,419","3,483","6,786","10,848","6,172","13,956"
2021년10월_남_0~9세,"7,248",415,708,314,460,97,349,90,166,249,318,582,938,178,437,953,302,692
2021년10월_남_10~19세,"10,934",493,"1,210",590,593,157,551,153,240,329,383,771,"1,543",193,511,"1,447",557,"1,213"
2021년10월_남_20~29세,"15,404","1,285",768,810,"1,113",279,941,425,412,831,742,787,"1,594",481,912,"1,397",841,"1,786"
2021년10월_남_30~39세,"13,028","1,258",639,669,987,241,878,353,388,688,693,721,"1,063",479,798,"1,108",688,"1,377"
2021년10월_남_40~49세,"17,936","1,359","1,481",979,"1,126",333,"1,101",330,459,693,699,"1,130","1,976",544,"1,000","1,775",873,"2,078"
2021년10월_남_50~59세,"19,818","1,437","1,118","1,090","1,038",478,"1,388",442,632,765,842,"1,139","2,181",596,"1,084","1,799","1,147","2,642"
2021년10월_남_60~69세,"16,627","1,156",561,952,863,466,"1,510",440,616,558,713,756,"1,630",621,"1,074","1,274",988,"2,449"
2021년10월_남_70~79세,"9,246",522,286,528,464,277,848,257,344,346,414,446,"1,040",277,684,726,503,"1,284"
2021년10월_남_80~89세,"3,688",180,126,192,183,118,285,142,152,148,206,164,423,107,264,342,253,403
2021년10월_남_90~99세,320,19,9,28,29,6,21,12,16,12,23,9,31,7,21,26,20,31
2021년10월_남_100세 이상,9,2,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1
2021년10월_여_총인구수,"117,594","7,643","7,546","6,465","7,014","2,244","7,823","2,799","3,325","4,930","5,654","6,907","13,403","3,140","6,983","11,664","6,553","13,501"
2021년10월_여_연령구간인구수,"117,594","7,643","7,546","6,465","7,014","2,244","7,823","2,799","3,325","4,930","5,654","6,907","13,403","3,140","6,983","11,664","6,553","13,501"
2021년10월_여_0~9세,"6,940",463,683,321,376,74,332,67,129,258,334,514,905,148,437,884,299,716
2021년10월_여_10~19세,"10,210",500,"1,223",525,516,128,541,106,184,395,384,823,"1,436",139,447,"1,329",483,"1,051"
2021년10월_여_20~29세,"14,891","1,434",792,668,"1,304",221,817,586,397,924,796,704,"1,404",404,874,"1,457",701,"1,408"
2021년10월_여_30~39세,"12,234","1,073",793,607,947,189,680,280,281,632,673,747,"1,181",393,749,"1,243",548,"1,218"
2021년10월_여_40~49세,"17,531","1,057","1,714",935,"1,019",238,911,258,386,648,752,"1,258","2,272",387,906,"2,055",912,"1,823"
2021년10월_여_50~59세,"19,254","1,098","1,001","1,154",956,356,"1,379",412,593,693,947,"1,103","2,297",537,"1,128","1,807","1,232","2,561"
2021년10월_여_60~69세,"18,182","1,047",706,"1,114",944,451,"1,607",511,668,621,795,844,"1,963",593,"1,226","1,407","1,138","2,547"
2021년10월_여_70~79세,"11,353",607,399,683,596,349,"1,022",346,408,459,553,588,"1,210",341,755,926,727,"1,384"
2021년10월_여_80~89세,"5,957",298,200,396,284,200,458,203,227,259,349,286,615,173,401,481,441,686
2021년10월_여_90~99세,"1,011",64,31,60,70,37,75,29,51,41,71,40,114,24,59,74,68,103
2021년10월_여_100세 이상,31,2,4,2,2,1,1,1,1,0,0,0,6,1,1,1,4,4
