,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2020년11월_계_총인구수,"3,395,514","41,501","108,119","89,031","113,621","359,375","271,187","268,249","284,872","402,518","312,840","233,303","137,229","209,688","176,885","213,178","173,918"
2020년11월_계_연령구간인구수,"3,395,514","41,501","108,119","89,031","113,621","359,375","271,187","268,249","284,872","402,518","312,840","233,303","137,229","209,688","176,885","213,178","173,918"
2020년11월_계_0~9세,"233,339","1,336","5,630","4,106","5,198","21,365","19,733","18,130","19,107","28,540","20,136","13,081","20,113","14,858","10,333","12,492","19,181"
2020년11월_계_10~19세,"272,860","2,035","7,302","5,165","7,457","25,044","24,987","23,160","23,492","38,243","25,540","17,837","11,607","16,496","11,896","15,196","17,403"
2020년11월_계_20~29세,"431,909","5,629","13,549","10,514","12,022","52,644","32,891","35,288","37,816","49,217","40,067","33,455","12,254","26,263","24,261","29,024","17,015"
2020년11월_계_30~39세,"420,436","4,475","11,252","10,425","10,690","47,875","33,203","30,312","33,763","46,858","37,262","25,426","27,263","27,444","23,913","25,360","24,915"
2020년11월_계_40~49세,"512,124","5,451","14,728","11,968","15,246","51,670","43,232","42,047","40,622","65,978","46,277","32,342","23,412","31,997","25,547","29,517","32,090"
2020년11월_계_50~59세,"570,554","7,075","18,011","14,797","19,631","58,676","44,534","42,881","54,348","70,483","55,124","40,808","16,892","34,215","27,756","41,415","23,908"
2020년11월_계_60~69세,"529,755","7,862","19,049","16,068","22,099","55,806","40,917","40,884","45,180","57,704","51,078","38,627","15,737","32,459","28,480","36,571","21,234"
2020년11월_계_70~79세,"292,861","5,107","12,365","10,710","14,560","31,715","22,279","24,866","21,265","30,733","26,199","21,670","6,820","18,174","17,063","17,051","12,284"
2020년11월_계_80~89세,"114,826","2,069","5,369","4,589","5,851","12,828","8,191","9,422","8,153","12,904","9,649","8,681","2,644","6,851","6,695","5,826","5,104"
2020년11월_계_90~99세,"14,969",377,741,588,735,"1,521","1,083","1,123","1,026","1,698","1,346","1,176",441,841,879,655,739
2020년11월_계_100세 이상,"1,881",85,123,101,132,231,137,136,100,160,162,200,46,90,62,71,45
2020년11월_남_총인구수,"1,663,055","20,294","52,358","43,603","55,985","173,709","132,022","131,310","140,976","193,777","155,766","113,883","70,896","101,023","83,576","107,721","86,156"
2020년11월_남_연령구간인구수,"1,663,055","20,294","52,358","43,603","55,985","173,709","132,022","131,310","140,976","193,777","155,766","113,883","70,896","101,023","83,576","107,721","86,156"
2020년11월_남_0~9세,"119,651",708,"2,922","2,166","2,627","10,803","10,227","9,228","9,889","14,755","10,314","6,694","10,344","7,567","5,307","6,346","9,754"
2020년11월_남_10~19세,"141,060","1,029","3,690","2,671","3,852","12,772","13,045","12,015","12,214","19,764","13,278","9,173","5,900","8,479","6,123","7,963","9,092"
2020년11월_남_20~29세,"225,107","2,793","6,702","5,330","6,595","25,876","17,220","18,683","20,384","25,773","21,483","18,004","6,583","13,304","11,801","15,569","9,007"
2020년11월_남_30~39세,"215,058","2,429","5,777","5,571","5,769","24,470","16,646","15,526","17,502","22,835","19,710","13,216","13,888","13,790","11,932","13,603","12,394"
2020년11월_남_40~49세,"257,696","2,963","7,640","6,404","7,999","26,067","21,072","21,121","20,117","31,297","23,686","16,085","13,086","15,631","12,560","15,467","16,501"
2020년11월_남_50~59세,"276,797","3,562","9,184","7,534","10,002","28,423","21,178","20,907","25,911","33,517","26,941","19,346","8,656","16,197","12,732","20,643","12,064"
2020년11월_남_60~69세,"250,776","3,701","8,887","7,602","10,559","26,262","18,993","18,811","22,281","27,307","24,668","18,016","8,033","14,908","12,698","18,169","9,881"
2020년11월_남_70~79세,"131,981","2,224","5,392","4,582","6,336","14,001","10,270","11,138","9,710","13,547","12,024","9,884","3,417","8,292","7,655","7,910","5,599"
2020년11월_남_80~89세,"41,233",759,"1,958","1,565","2,064","4,626","3,100","3,609","2,744","4,575","3,362","3,142",897,"2,642","2,534","1,930","1,726"
2020년11월_남_90~99세,"3,280",106,171,147,149,361,249,250,202,363,267,281,79,193,220,112,130
2020년11월_남_100세 이상,416,20,35,31,33,48,22,22,22,44,33,42,13,20,14,9,8
2020년11월_여_총인구수,"1,732,459","21,207","55,761","45,428","57,636","185,666","139,165","136,939","143,896","208,741","157,074","119,420","66,333","108,665","93,309","105,457","87,762"
2020년11월_여_연령구간인구수,"1,732,459","21,207","55,761","45,428","57,636","185,666","139,165","136,939","143,896","208,741","157,074","119,420","66,333","108,665","93,309","105,457","87,762"
2020년11월_여_0~9세,"113,688",628,"2,708","1,940","2,571","10,562","9,506","8,902","9,218","13,785","9,822","6,387","9,769","7,291","5,026","6,146","9,427"
2020년11월_여_10~19세,"131,800","1,006","3,612","2,494","3,605","12,272","11,942","11,145","11,278","18,479","12,262","8,664","5,707","8,017","5,773","7,233","8,311"
2020년11월_여_20~29세,"206,802","2,836","6,847","5,184","5,427","26,768","15,671","16,605","17,432","23,444","18,584","15,451","5,671","12,959","12,460","13,455","8,008"
2020년11월_여_30~39세,"205,378","2,046","5,475","4,854","4,921","23,405","16,557","14,786","16,261","24,023","17,552","12,210","13,375","13,654","11,981","11,757","12,521"
2020년11월_여_40~49세,"254,428","2,488","7,088","5,564","7,247","25,603","22,160","20,926","20,505","34,681","22,591","16,257","10,326","16,366","12,987","14,050","15,589"
2020년11월_여_50~59세,"293,757","3,513","8,827","7,263","9,629","30,253","23,356","21,974","28,437","36,966","28,183","21,462","8,236","18,018","15,024","20,772","11,844"
2020년11월_여_60~69세,"278,979","4,161","10,162","8,466","11,540","29,544","21,924","22,073","22,899","30,397","26,410","20,611","7,704","17,551","15,782","18,402","11,353"
2020년11월_여_70~79세,"160,880","2,883","6,973","6,128","8,224","17,714","12,009","13,728","11,555","17,186","14,175","11,786","3,403","9,882","9,408","9,141","6,685"
2020년11월_여_80~89세,"73,593","1,310","3,411","3,024","3,787","8,202","5,091","5,813","5,409","8,329","6,287","5,539","1,747","4,209","4,161","3,896","3,378"
2020년11월_여_90~99세,"11,689",271,570,441,586,"1,160",834,873,824,"1,335","1,079",895,362,648,659,543,609
2020년11월_여_100세 이상,"1,465",65,88,70,99,183,115,114,78,116,129,158,33,70,48,62,37
