카테고리,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2021년01월_계_총인구수,"3,389,388","41,549","107,978","88,763","113,048","359,978","270,695","267,351","283,452","401,710","311,052","231,959","138,610","208,900","176,742","212,173","175,428"
2021년01월_계_연령구간인구수,"3,389,388","41,549","107,978","88,763","113,048","359,978","270,695","267,351","283,452","401,710","311,052","231,959","138,610","208,900","176,742","212,173","175,428"
2021년01월_계_0~9세,"230,816","1,302","5,557","4,039","5,083","21,215","19,553","17,889","18,821","28,346","19,741","12,934","20,089","14,599","10,278","12,249","19,121"
2021년01월_계_10~19세,"271,560","2,029","7,296","5,103","7,369","24,965","24,981","22,959","23,181","38,114","25,269","17,617","11,869","16,422","11,813","15,012","17,561"
2021년01월_계_20~29세,"429,313","5,685","13,482","10,433","11,890","52,727","32,565","35,072","37,383","48,891","39,673","33,036","12,317","26,013","24,298","28,755","17,093"
2021년01월_계_30~39세,"417,816","4,484","11,123","10,400","10,562","48,123","32,963","30,044","33,415","46,693","36,717","25,055","27,338","27,051","23,809","25,081","24,958"
2021년01월_계_40~49세,"510,191","5,387","14,695","11,889","15,082","51,552","43,145","41,800","40,307","65,575","45,850","32,059","23,930","31,827","25,425","29,277","32,391"
2021년01월_계_50~59세,"567,681","7,051","17,924","14,666","19,444","58,457","44,329","42,784","53,738","70,207","54,678","40,419","16,967","34,143","27,651","40,984","24,239"
2021년01월_계_60~69세,"534,388","7,914","19,178","16,148","22,261","56,298","41,242","41,034","45,812","58,125","51,535","38,921","15,982","32,688","28,658","36,944","21,648"
2021년01월_계_70~79세,"293,881","5,115","12,400","10,717","14,544","31,827","22,334","24,951","21,368","30,799","26,316","21,689","6,907","18,206","17,053","17,231","12,424"
2021년01월_계_80~89세,"116,604","2,117","5,466","4,672","5,943","13,018","8,336","9,540","8,264","13,061","9,742","8,812","2,705","7,014","6,821","5,893","5,200"
2021년01월_계_90~99세,"15,237",378,734,595,734,"1,562","1,108","1,144","1,054","1,736","1,369","1,216",459,846,876,677,749
2021년01월_계_100세 이상,"1,901",87,123,101,136,234,139,134,109,163,162,201,47,91,60,70,44
2021년01월_남_총인구수,"1,659,527","20,269","52,295","43,462","55,697","173,861","131,698","130,792","140,245","193,341","154,893","113,238","71,620","100,563","83,514","107,191","86,848"
2021년01월_남_연령구간인구수,"1,659,527","20,269","52,295","43,462","55,697","173,861","131,698","130,792","140,245","193,341","154,893","113,238","71,620","100,563","83,514","107,191","86,848"
2021년01월_남_0~9세,"118,407",686,"2,897","2,124","2,563","10,728","10,118","9,140","9,728","14,672","10,136","6,625","10,323","7,409","5,291","6,235","9,732"
2021년01월_남_10~19세,"140,305","1,021","3,705","2,646","3,814","12,700","13,014","11,905","12,079","19,661","13,134","9,084","6,050","8,435","6,090","7,844","9,123"
2021년01월_남_20~29세,"223,537","2,806","6,648","5,289","6,536","25,821","17,045","18,514","20,110","25,643","21,263","17,788","6,646","13,159","11,801","15,408","9,060"
2021년01월_남_30~39세,"213,618","2,416","5,730","5,564","5,685","24,559","16,516","15,381","17,307","22,755","19,449","13,013","13,923","13,588","11,871","13,457","12,404"
2021년01월_남_40~49세,"256,870","2,951","7,597","6,361","7,897","26,034","21,058","20,976","20,006","31,112","23,485","15,979","13,369","15,548","12,520","15,366","16,611"
2021년01월_남_50~59세,"275,594","3,535","9,160","7,478","9,934","28,346","21,082","20,885","25,592","33,355","26,785","19,169","8,701","16,176","12,710","20,433","12,253"
2021년01월_남_60~69세,"252,875","3,717","8,946","7,636","10,659","26,489","19,158","18,879","22,610","27,485","24,816","18,150","8,121","15,002","12,759","18,369","10,079"
2021년01월_남_70~79세,"132,502","2,231","5,407","4,599","6,318","14,071","10,271","11,167","9,779","13,595","12,112","9,888","3,474","8,302","7,645","7,978","5,665"
2021년01월_남_80~89세,"42,054",779,"1,996","1,589","2,107","4,707","3,156","3,672","2,800","4,636","3,417","3,203",919,"2,728","2,591","1,978","1,776"
2021년01월_남_90~99세,"3,344",107,174,145,150,358,258,250,212,381,263,296,81,196,222,114,137
2021년01월_남_100세 이상,421,20,35,31,34,48,22,23,22,46,33,43,13,20,14,9,8
