,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2021년05월_계_총인구수,"140,215","6,597","7,055","4,340","51,723","30,311","2,387","33,968","3,834"
2021년05월_계_연령구간인구수,"140,215","6,597","7,055","4,340","51,723","30,311","2,387","33,968","3,834"
2021년05월_계_0~9세,"19,956",182,481,84,"9,682","5,028",49,"4,340",110
2021년05월_계_10~19세,"12,280",269,462,130,"4,386","4,281",69,"2,541",142
2021년05월_계_20~29세,"12,551",631,830,342,"4,444","2,455",187,"3,355",307
2021년05월_계_30~39세,"27,202",581,869,351,"13,141","4,806",183,"6,926",345
2021년05월_계_40~49세,"24,608",670,870,342,"9,307","6,746",197,"6,035",441
2021년05월_계_50~59세,"16,971","1,206","1,084",868,"4,760","3,336",459,"4,494",764
2021년05월_계_60~69세,"16,459","1,644","1,355","1,308","4,019","2,482",617,"4,049",985
2021년05월_계_70~79세,"6,970",965,708,607,"1,407",850,401,"1,558",474
2021년05월_계_80~89세,"2,748",394,337,257,493,278,189,579,221
2021년05월_계_90~99세,448,54,57,49,75,48,34,90,41
2021년05월_계_100세 이상,22,1,2,2,9,1,2,1,4
2021년05월_남_총인구수,"72,541","3,640","3,960","2,319","25,977","15,124","1,267","18,249","2,005"
2021년05월_남_연령구간인구수,"72,541","3,640","3,960","2,319","25,977","15,124","1,267","18,249","2,005"
2021년05월_남_0~9세,"10,300",87,259,46,"4,940","2,622",22,"2,267",57
2021년05월_남_10~19세,"6,245",146,249,67,"2,140","2,191",42,"1,342",68
2021년05월_남_20~29세,"6,806",377,550,219,"2,206","1,256",114,"1,899",185
2021년05월_남_30~39세,"13,885",332,506,212,"6,496","2,165",109,"3,848",217
2021년05월_남_40~49세,"13,714",424,531,215,"5,105","3,462",125,"3,590",262
2021년05월_남_50~59세,"8,757",696,631,467,"2,268","1,695",259,"2,352",389
2021년05월_남_60~69세,"8,326",915,735,715,"1,920","1,195",321,"2,020",505
2021년05월_남_70~79세,"3,494",503,368,286,719,428,207,740,243
2021년05월_남_80~89세,934,151,125,81,169,97,61,177,73
2021년05월_남_90~99세,74,9,5,10,11,12,7,14,6
2021년05월_남_100세 이상,6,0,1,1,3,1,0,0,0
2021년05월_여_총인구수,"67,674","2,957","3,095","2,021","25,746","15,187","1,120","15,719","1,829"
2021년05월_여_연령구간인구수,"67,674","2,957","3,095","2,021","25,746","15,187","1,120","15,719","1,829"
2021년05월_여_0~9세,"9,656",95,222,38,"4,742","2,406",27,"2,073",53
2021년05월_여_10~19세,"6,035",123,213,63,"2,246","2,090",27,"1,199",74
2021년05월_여_20~29세,"5,745",254,280,123,"2,238","1,199",73,"1,456",122
2021년05월_여_30~39세,"13,317",249,363,139,"6,645","2,641",74,"3,078",128
2021년05월_여_40~49세,"10,894",246,339,127,"4,202","3,284",72,"2,445",179
2021년05월_여_50~59세,"8,214",510,453,401,"2,492","1,641",200,"2,142",375
2021년05월_여_60~69세,"8,133",729,620,593,"2,099","1,287",296,"2,029",480
2021년05월_여_70~79세,"3,476",462,340,321,688,422,194,818,231
2021년05월_여_80~89세,"1,814",243,212,176,324,181,128,402,148
2021년05월_여_90~99세,374,45,52,39,64,36,27,76,35
2021년05월_여_100세 이상,16,1,1,1,6,0,2,1,4
