카테고리,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2021년10월_계_총인구수,"229,148","5,375","9,273","11,267","7,913","8,318","17,870","15,881","12,907","18,109","26,882","2,332","9,758","29,087","19,778","33,349","1,049"
2021년10월_계_연령구간인구수,"229,148","5,375","9,273","11,267","7,913","8,318","17,870","15,881","12,907","18,109","26,882","2,332","9,758","29,087","19,778","33,349","1,049"
2021년10월_계_0~9세,"12,269",90,283,325,241,284,950,"1,077",502,832,"2,544",73,477,"1,111","1,306","2,115",59
2021년10월_계_10~19세,"17,281",243,460,520,348,421,"1,532","1,310",769,"1,211","2,496",90,679,"1,937","1,924","3,217",124
2021년10월_계_20~29세,"32,353",488,"1,068","1,216",772,824,"2,633","2,190","1,503","5,895","3,278",209,"1,011","4,439","2,461","4,289",77
2021년10월_계_30~39세,"24,467",418,908,"1,093",732,780,"1,969","1,897","1,416","2,019","3,565",208,918,"2,930","2,221","3,323",70
2021년10월_계_40~49세,"31,337",698,"1,104","1,307",927,"1,068","2,593","2,238","1,723","2,158","4,682",231,"1,161","3,489","2,993","4,804",161
2021년10월_계_50~59세,"39,232","1,018","1,795","2,168","1,505","1,378","3,054","2,732","2,213","2,216","3,723",460,"1,738","5,448","3,584","6,039",161
2021년10월_계_60~69세,"39,783","1,281","2,180","2,540","1,936","1,774","2,856","2,540","2,638","2,021","3,456",551,"1,947","5,308","3,066","5,467",222
2021년10월_계_70~79세,"21,896",762,"1,057","1,485","1,039","1,234","1,515","1,203","1,553","1,175","2,056",325,"1,218","2,971","1,494","2,696",113
2021년10월_계_80~89세,"9,286",346,381,559,375,497,669,602,528,513,917,163,540,"1,294",653,"1,199",50
2021년10월_계_90~99세,"1,203",31,36,53,35,57,97,90,59,68,156,21,67,155,74,194,10
2021년10월_계_100세 이상,41,0,1,1,3,1,2,2,3,1,9,1,2,5,2,6,2
2021년10월_남_총인구수,"111,981","2,766","4,624","5,633","4,166","4,002","8,526","7,642","6,207","9,399","12,976","1,254","4,779","14,173","9,405","15,923",506
2021년10월_남_연령구간인구수,"111,981","2,766","4,624","5,633","4,166","4,002","8,526","7,642","6,207","9,399","12,976","1,254","4,779","14,173","9,405","15,923",506
2021년10월_남_0~9세,"6,293",49,143,168,138,156,501,558,254,389,"1,330",44,253,570,668,"1,045",27
2021년10월_남_10~19세,"8,913",136,231,256,177,216,788,659,429,608,"1,378",55,357,976,941,"1,639",67
2021년10월_남_20~29세,"17,446",272,581,684,432,442,"1,331","1,127",789,"3,431","1,706",114,585,"2,392","1,279","2,238",43
2021년10월_남_30~39세,"12,817",265,485,626,423,427,"1,006",996,758,"1,139","1,717",130,471,"1,587","1,102","1,652",33
2021년10월_남_40~49세,"15,577",418,604,722,555,593,"1,219","1,063",896,"1,117","2,307",134,555,"1,723","1,407","2,187",77
2021년10월_남_50~59세,"18,723",545,905,"1,085",786,673,"1,435","1,290","1,022","1,075","1,727",243,828,"2,583","1,638","2,803",85
2021년10월_남_60~69세,"18,548",609,"1,032","1,211",986,792,"1,307","1,165","1,157",907,"1,537",311,891,"2,498","1,445","2,594",106
2021년10월_남_70~79세,"9,953",343,502,658,521,518,670,557,700,512,910,154,588,"1,310",689,"1,268",53
2021년10월_남_80~89세,"3,431",126,134,214,141,167,242,206,192,206,343,63,225,499,219,443,11
2021년10월_남_90~99세,273,3,7,9,6,17,27,20,10,15,20,6,26,34,17,53,3
2021년10월_남_100세 이상,7,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1
2021년10월_여_총인구수,"117,167","2,609","4,649","5,634","3,747","4,316","9,344","8,239","6,700","8,710","13,906","1,078","4,979","14,914","10,373","17,426",543
2021년10월_여_연령구간인구수,"117,167","2,609","4,649","5,634","3,747","4,316","9,344","8,239","6,700","8,710","13,906","1,078","4,979","14,914","10,373","17,426",543
2021년10월_여_0~9세,"5,976",41,140,157,103,128,449,519,248,443,"1,214",29,224,541,638,"1,070",32
2021년10월_여_10~19세,"8,368",107,229,264,171,205,744,651,340,603,"1,118",35,322,961,983,"1,578",57
2021년10월_여_20~29세,"14,907",216,487,532,340,382,"1,302","1,063",714,"2,464","1,572",95,426,"2,047","1,182","2,051",34
2021년10월_여_30~39세,"11,650",153,423,467,309,353,963,901,658,880,"1,848",78,447,"1,343","1,119","1,671",37
2021년10월_여_40~49세,"15,760",280,500,585,372,475,"1,374","1,175",827,"1,041","2,375",97,606,"1,766","1,586","2,617",84
2021년10월_여_50~59세,"20,509",473,890,"1,083",719,705,"1,619","1,442","1,191","1,141","1,996",217,910,"2,865","1,946","3,236",76
2021년10월_여_60~69세,"21,235",672,"1,148","1,329",950,982,"1,549","1,375","1,481","1,114","1,919",240,"1,056","2,810","1,621","2,873",116
2021년10월_여_70~79세,"11,943",419,555,827,518,716,845,646,853,663,"1,146",171,630,"1,661",805,"1,428",60
2021년10월_여_80~89세,"5,855",220,247,345,234,330,427,396,336,307,574,100,315,795,434,756,39
2021년10월_여_90~99세,930,28,29,44,29,40,70,70,49,53,136,15,41,121,57,141,7
2021년10월_여_100세 이상,34,0,1,1,2,0,2,1,3,1,8,1,2,4,2,5,1
