카테고리,부산광역시 기장군,부산광역시 기장군 기장읍,부산광역시 기장군 장안읍,부산광역시 기장군 정관읍,부산광역시 기장군 일광면,부산광역시 기장군 철마면
2021년10월_계_총인구수,"176,879","52,793","8,598","81,798","25,805","7,885"
2021년10월_계_연령구간인구수,"176,879","52,793","8,598","81,798","25,805","7,885"
2021년10월_계_0~9세,"18,483","3,011",416,"11,440","3,278",338
2021년10월_계_10~19세,"17,972","4,295",402,"10,957","1,878",440
2021년10월_계_20~29세,"16,969","6,176","1,000","6,618","2,503",672
2021년10월_계_30~39세,"24,212","5,647","1,046","12,394","4,491",634
2021년10월_계_40~49세,"32,938","7,952",966,"18,838","4,207",975
2021년10월_계_50~59세,"24,909","9,431","1,502","8,837","3,796","1,343"
2021년10월_계_60~69세,"22,345","8,509","1,703","7,054","3,261","1,818"
2021년10월_계_70~79세,"12,765","5,073",950,"4,017","1,619","1,106"
2021년10월_계_80~89세,"5,489","2,371",518,"1,441",663,496
2021년10월_계_90~99세,766,317,90,197,104,58
2021년10월_계_100세 이상,31,11,5,5,5,5
2021년10월_남_총인구수,"87,529","25,736","4,636","40,387","12,779","3,991"
2021년10월_남_연령구간인구수,"87,529","25,736","4,636","40,387","12,779","3,991"
2021년10월_남_0~9세,"9,425","1,593",218,"5,830","1,623",161
2021년10월_남_10~19세,"9,306","2,239",222,"5,679",939,227
2021년10월_남_20~29세,"8,999","3,272",601,"3,320","1,387",419
2021년10월_남_30~39세,"12,042","2,975",620,"5,909","2,207",331
2021년10월_남_40~49세,"16,776","3,970",579,"9,545","2,147",535
2021년10월_남_50~59세,"12,739","4,676",857,"4,624","1,886",696
2021년10월_남_60~69세,"10,359","3,976",879,"3,040","1,592",872
2021년10월_남_70~79세,"5,834","2,156",481,"1,876",762,559
2021년10월_남_80~89세,"1,888",817,157,527,211,176
2021년10월_남_90~99세,159,62,21,37,24,15
2021년10월_남_100세 이상,2,0,1,0,1,0
2021년10월_여_총인구수,"89,350","27,057","3,962","41,411","13,026","3,894"
2021년10월_여_연령구간인구수,"89,350","27,057","3,962","41,411","13,026","3,894"
2021년10월_여_0~9세,"9,058","1,418",198,"5,610","1,655",177
2021년10월_여_10~19세,"8,666","2,056",180,"5,278",939,213
2021년10월_여_20~29세,"7,970","2,904",399,"3,298","1,116",253
2021년10월_여_30~39세,"12,170","2,672",426,"6,485","2,284",303
2021년10월_여_40~49세,"16,162","3,982",387,"9,293","2,060",440
2021년10월_여_50~59세,"12,170","4,755",645,"4,213","1,910",647
2021년10월_여_60~69세,"11,986","4,533",824,"4,014","1,669",946
2021년10월_여_70~79세,"6,931","2,917",469,"2,141",857,547
2021년10월_여_80~89세,"3,601","1,554",361,914,452,320
2021년10월_여_90~99세,607,255,69,160,80,43
2021년10월_여_100세 이상,29,11,4,5,4,5
