카테고리,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2020년01월_계_총인구수,"273,707","16,365","33,303","12,927","17,136","16,400","45,813","17,850","12,807","8,959","8,182","14,613","7,323","13,803","14,863","9,087","14,611","9,665"
2020년01월_계_연령구간인구수,"273,707","16,365","33,303","12,927","17,136","16,400","45,813","17,850","12,807","8,959","8,182","14,613","7,323","13,803","14,863","9,087","14,611","9,665"
2020년01월_계_0~9세,"19,414",636,"2,990","1,064","1,191","1,906","3,735","1,572",583,617,511,809,362,703,912,419,962,442
2020년01월_계_10~19세,"24,176","1,039","3,241",885,"1,501","1,545","5,383","1,873",957,688,805,"1,068",545,957,"1,352",419,"1,276",642
2020년01월_계_20~29세,"35,543","3,467","6,077","1,346","2,556","1,896","5,161","1,777","1,492",977,983,"1,670",727,"1,402","1,799","1,303","1,808","1,102"
2020년01월_계_30~39세,"32,621","2,004","4,542","1,921","2,191","2,516","4,592","1,988","1,243","1,167",797,"1,613",749,"1,441","1,555","1,401","1,898","1,003"
2020년01월_계_40~49세,"43,092","2,143","5,727","1,866","2,684","2,743","8,098","3,019","1,717","1,379","1,335","2,157","1,100","1,942","2,340","1,225","2,252","1,365"
2020년01월_계_50~59세,"44,231","2,360","4,728","1,990","2,515","2,364","7,941","2,819","2,274","1,380","1,457","2,487","1,235","2,351","2,646","1,425","2,519","1,740"
2020년01월_계_60~69세,"40,018","2,417","3,336","1,959","2,358","1,895","6,032","2,723","2,455","1,560","1,297","2,586","1,292","2,697","2,215","1,364","2,115","1,717"
2020년01월_계_70~79세,"24,516","1,640","1,839","1,357","1,523","1,087","3,387","1,472","1,520",860,738,"1,598",951,"1,635","1,464","1,025","1,260","1,160"
2020년01월_계_80~89세,"8,886",585,716,481,559,393,"1,282",524,504,282,228,552,335,570,526,444,469,436
2020년01월_계_90~99세,"1,084",65,91,50,52,49,195,75,55,42,29,58,25,95,49,52,50,52
2020년01월_계_100세 이상,126,9,16,8,6,6,7,8,7,7,2,15,2,10,5,10,2,6
2020년01월_남_총인구수,"134,125","8,133","16,245","6,314","8,270","7,889","22,071","8,781","6,234","4,339","4,160","7,444","3,650","6,890","7,272","4,547","7,127","4,759"
2020년01월_남_연령구간인구수,"134,125","8,133","16,245","6,314","8,270","7,889","22,071","8,781","6,234","4,339","4,160","7,444","3,650","6,890","7,272","4,547","7,127","4,759"
2020년01월_남_0~9세,"9,874",297,"1,544",543,619,904,"1,875",815,282,317,268,422,202,400,478,220,478,210
2020년01월_남_10~19세,"12,513",545,"1,650",461,749,822,"2,750","1,000",489,340,405,575,289,499,691,234,652,362
2020년01월_남_20~29세,"18,909","1,885","3,081",717,"1,305",979,"2,783",984,820,509,572,956,402,790,951,592,968,615
2020년01월_남_30~39세,"16,622","1,090","2,238",996,"1,086","1,203","2,104",986,686,606,423,877,424,769,793,776,"1,006",559
2020년01월_남_40~49세,"21,615","1,125","2,806",987,"1,324","1,321","3,797","1,498",854,703,691,"1,178",596,"1,046","1,187",698,"1,075",729
2020년01월_남_50~59세,"21,446","1,124","2,214",917,"1,210","1,139","3,846","1,331","1,103",647,746,"1,236",624,"1,170","1,310",749,"1,229",851
2020년01월_남_60~69세,"18,528","1,064","1,580",894,"1,059",839,"2,875","1,274","1,106",700,640,"1,252",559,"1,239","1,042",675,965,765
