,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2020년09월_계_총인구수,"269,251","16,097","33,235","12,699","16,942","15,602","45,152","17,533","12,639","8,843","8,083","14,110","7,127","13,509","14,282","8,923","15,509","8,966"
2020년09월_계_연령구간인구수,"269,251","16,097","33,235","12,699","16,942","15,602","45,152","17,533","12,639","8,843","8,083","14,110","7,127","13,509","14,282","8,923","15,509","8,966"
2020년09월_계_0~9세,"18,379",561,"2,848","1,047","1,074","1,819","3,523","1,513",520,554,494,742,326,672,819,362,"1,119",386
2020년09월_계_10~19세,"23,345",973,"3,194",865,"1,487","1,511","5,171","1,813",929,667,769,"1,016",501,927,"1,265",410,"1,279",568
2020년09월_계_20~29세,"35,382","3,597","6,358","1,252","2,621","1,765","5,062","1,695","1,478",950,990,"1,612",692,"1,359","1,724","1,291","1,907","1,029"
2020년09월_계_30~39세,"30,747","1,907","4,344","1,812","2,020","2,277","4,308","1,900","1,168","1,095",757,"1,438",685,"1,325","1,389","1,348","2,078",896
2020년09월_계_40~49세,"42,242","2,078","5,708","1,893","2,659","2,698","7,888","2,963","1,670","1,365","1,283","2,055","1,066","1,899","2,219","1,182","2,377","1,239"
2020년09월_계_50~59세,"43,059","2,284","4,650","1,889","2,460","2,225","7,850","2,743","2,215","1,378","1,434","2,398","1,191","2,239","2,550","1,378","2,607","1,568"
2020년09월_계_60~69세,"40,659","2,374","3,399","2,001","2,403","1,824","6,291","2,773","2,499","1,608","1,318","2,603","1,321","2,695","2,277","1,402","2,215","1,656"
2020년09월_계_70~79세,"24,893","1,638","1,875","1,361","1,545","1,061","3,506","1,509","1,577",883,758,"1,599",966,"1,675","1,447","1,019","1,357","1,117"
2020년09월_계_80~89세,"9,276",610,735,523,609,363,"1,347",538,516,292,244,575,345,610,530,471,515,453
2020년09월_계_90~99세,"1,131",64,109,46,58,52,198,77,60,42,34,57,31,98,56,48,53,48
2020년09월_계_100세 이상,138,11,15,10,6,7,8,9,7,9,2,15,3,10,6,12,2,6
2020년09월_남_총인구수,"131,745","8,046","16,168","6,194","8,205","7,504","21,736","8,605","6,122","4,276","4,116","7,212","3,530","6,684","6,968","4,467","7,528","4,384"
2020년09월_남_연령구간인구수,"131,745","8,046","16,168","6,194","8,205","7,504","21,736","8,605","6,122","4,276","4,116","7,212","3,530","6,684","6,968","4,467","7,528","4,384"
2020년09월_남_0~9세,"9,340",266,"1,466",533,564,868,"1,747",781,247,311,263,392,178,376,416,191,557,184
2020년09월_남_10~19세,"12,092",494,"1,627",460,761,803,"2,641",970,469,318,395,557,264,480,650,228,656,319
2020년09월_남_20~29세,"18,759","1,970","3,205",649,"1,325",880,"2,738",926,803,501,575,934,392,760,917,620,996,568
2020년09월_남_30~39세,"15,743","1,078","2,135",919,"1,025","1,094","2,002",948,645,576,400,775,380,711,723,737,"1,099",496
2020년09월_남_40~49세,"21,144","1,094","2,776","1,025","1,310","1,314","3,669","1,461",843,685,657,"1,118",579,"1,012","1,111",660,"1,165",665
2020년09월_남_50~59세,"20,979","1,103","2,213",874,"1,196","1,068","3,820","1,308","1,062",640,741,"1,222",611,"1,112","1,262",725,"1,266",756
2020년09월_남_60~69세,"18,715","1,038","1,581",918,"1,069",820,"2,973","1,282","1,132",709,647,"1,261",563,"1,223","1,071",696,985,747
2020년09월_남_70~79세,"11,162",724,855,598,679,498,"1,570",728,722,409,335,721,425,782,619,438,596,463
2020년09월_남_80~89세,"3,539",263,283,206,257,144,519,187,189,112,98,219,134,212,189,158,193,176
2020년09월_남_90~99세,248,14,25,11,18,15,55,13,10,13,4,10,4,14,8,11,15,8
2020년09월_남_100세 이상,24,2,2,1,1,0,2,1,0,2,1,3,0,2,2,3,0,2
2020년09월_여_총인구수,"137,506","8,051","17,067","6,505","8,737","8,098","23,416","8,928","6,517","4,567","3,967","6,898","3,597","6,825","7,314","4,456","7,981","4,582"
2020년09월_여_연령구간인구수,"137,506","8,051","17,067","6,505","8,737","8,098","23,416","8,928","6,517","4,567","3,967","6,898","3,597","6,825","7,314","4,456","7,981","4,582"
2020년09월_여_0~9세,"9,039",295,"1,382",514,510,951,"1,776",732,273,243,231,350,148,296,403,171,562,202
2020년09월_여_10~19세,"11,253",479,"1,567",405,726,708,"2,530",843,460,349,374,459,237,447,615,182,623,249
2020년09월_여_20~29세,"16,623","1,627","3,153",603,"1,296",885,"2,324",769,675,449,415,678,300,599,807,671,911,461
2020년09월_여_30~39세,"15,004",829,"2,209",893,995,"1,183","2,306",952,523,519,357,663,305,614,666,611,979,400
2020년09월_여_40~49세,"21,098",984,"2,932",868,"1,349","1,384","4,219","1,502",827,680,626,937,487,887,"1,108",522,"1,212",574
2020년09월_여_50~59세,"22,080","1,181","2,437","1,015","1,264","1,157","4,030","1,435","1,153",738,693,"1,176",580,"1,127","1,288",653,"1,341",812
2020년09월_여_60~69세,"21,944","1,336","1,818","1,083","1,334","1,004","3,318","1,491","1,367",899,671,"1,342",758,"1,472","1,206",706,"1,230",909
2020년09월_여_70~79세,"13,731",914,"1,020",763,866,563,"1,936",781,855,474,423,878,541,893,828,581,761,654
2020년09월_여_80~89세,"5,737",347,452,317,352,219,828,351,327,180,146,356,211,398,341,313,322,277
2020년09월_여_90~99세,883,50,84,35,40,37,143,64,50,29,30,47,27,84,48,37,38,40
2020년09월_여_100세 이상,114,9,13,9,5,7,6,8,7,7,1,12,3,8,4,9,2,4
