,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2021년07월_계_총인구수,"87,764","4,802","5,742","12,707","6,055","4,177","9,933","3,972","5,387","10,848","11,739","8,002","4,400"
2021년07월_계_연령구간인구수,"87,764","4,802","5,742","12,707","6,055","4,177","9,933","3,972","5,387","10,848","11,739","8,002","4,400"
2021년07월_계_0~9세,"4,013",147,144,"1,158",152,190,400,95,162,436,338,427,364
2021년07월_계_10~19세,"4,917",269,259,823,387,304,537,201,330,583,601,378,245
2021년07월_계_20~29세,"10,293",667,624,"1,883",610,491,"1,139",357,553,"1,294","1,291",960,424
2021년07월_계_30~39세,"10,386",515,564,"2,610",475,393,"1,165",305,420,"1,090","1,103","1,085",661
2021년07월_계_40~49세,"11,600",697,702,"1,975",781,577,"1,224",438,648,"1,392","1,348","1,122",696
2021년07월_계_50~59세,"14,322",794,984,"1,752","1,018",674,"1,631",679,933,"1,814","2,032","1,427",584
2021년07월_계_60~69세,"16,152",860,"1,206","1,438","1,204",755,"1,926",813,"1,080","2,034","2,594","1,492",750
2021년07월_계_70~79세,"10,628",594,840,707,899,545,"1,274",707,836,"1,470","1,576",748,432
2021년07월_계_80~89세,"4,812",238,347,309,457,223,566,340,374,657,778,314,209
2021년07월_계_90~99세,575,21,62,50,61,22,55,37,51,65,76,42,33
2021년07월_계_100세 이상,66,0,10,2,11,3,16,0,0,13,2,7,2
2021년07월_남_총인구수,"42,907","2,424","2,835","6,190","2,957","2,031","4,731","1,954","2,562","5,264","5,774","4,027","2,158"
2021년07월_남_연령구간인구수,"42,907","2,424","2,835","6,190","2,957","2,031","4,731","1,954","2,562","5,264","5,774","4,027","2,158"
2021년07월_남_0~9세,"2,119",62,84,616,79,104,201,52,89,240,172,221,199
2021년07월_남_10~19세,"2,530",150,134,419,212,154,272,113,159,286,299,204,128
2021년07월_남_20~29세,"5,187",344,305,820,340,258,546,200,309,699,692,485,189
2021년07월_남_30~39세,"5,497",283,321,"1,297",277,213,627,175,230,569,615,558,332
2021년07월_남_40~49세,"6,213",387,399,"1,017",403,297,635,241,348,745,752,602,387
2021년07월_남_50~59세,"7,363",448,535,880,538,351,805,383,467,881,"1,041",737,297
2021년07월_남_60~69세,"7,621",394,552,696,561,333,889,401,469,966,"1,238",742,380
2021년07월_남_70~79세,"4,577",272,359,329,380,228,550,275,358,626,691,337,172
2021년07월_남_80~89세,"1,644",82,120,103,153,91,189,102,122,237,252,126,67
2021년07월_남_90~99세,137,2,21,12,11,2,14,12,11,12,21,13,6
2021년07월_남_100세 이상,19,0,5,1,3,0,3,0,0,3,1,2,1
2021년07월_여_총인구수,"44,857","2,378","2,907","6,517","3,098","2,146","5,202","2,018","2,825","5,584","5,965","3,975","2,242"
2021년07월_여_연령구간인구수,"44,857","2,378","2,907","6,517","3,098","2,146","5,202","2,018","2,825","5,584","5,965","3,975","2,242"
2021년07월_여_0~9세,"1,894",85,60,542,73,86,199,43,73,196,166,206,165
2021년07월_여_10~19세,"2,387",119,125,404,175,150,265,88,171,297,302,174,117
2021년07월_여_20~29세,"5,106",323,319,"1,063",270,233,593,157,244,595,599,475,235
2021년07월_여_30~39세,"4,889",232,243,"1,313",198,180,538,130,190,521,488,527,329
2021년07월_여_40~49세,"5,387",310,303,958,378,280,589,197,300,647,596,520,309
2021년07월_여_50~59세,"6,959",346,449,872,480,323,826,296,466,933,991,690,287
2021년07월_여_60~69세,"8,531",466,654,742,643,422,"1,037",412,611,"1,068","1,356",750,370
2021년07월_여_70~79세,"6,051",322,481,378,519,317,724,432,478,844,885,411,260
2021년07월_여_80~89세,"3,168",156,227,206,304,132,377,238,252,420,526,188,142
2021년07월_여_90~99세,438,19,41,38,50,20,41,25,40,53,55,29,27
2021년07월_여_100세 이상,47,0,5,1,8,3,13,0,0,10,1,5,1
