카테고리,부산광역시 동래구,부산광역시 동래구 수민동,부산광역시 동래구 복산동,부산광역시 동래구 명륜동,부산광역시 동래구 온천제1동,부산광역시 동래구 온천제2동,부산광역시 동래구 온천제3동,부산광역시 동래구 사직제1동,부산광역시 동래구 사직제2동,부산광역시 동래구 사직제3동,부산광역시 동래구 안락제1동,부산광역시 동래구 안락제2동,부산광역시 동래구 명장제1동,부산광역시 동래구 명장제2동
2020년10월_계_총인구수,"271,633","32,978","10,309","24,675","19,412","15,248","39,247","10,866","28,377","17,799","15,027","27,937","14,581","15,177"
2020년10월_계_연령구간인구수,"271,633","32,978","10,309","24,675","19,412","15,248","39,247","10,866","28,377","17,799","15,027","27,937","14,581","15,177"
2020년10월_계_0~9세,"19,782","2,660",378,"2,614","1,068",881,"2,634",822,"2,553","1,565",817,"1,922","1,000",868
2020년10월_계_10~19세,"25,060","2,792",666,"3,167","1,123","1,452","2,916","1,029","4,178","1,773","1,010","2,852","1,066","1,036"
2020년10월_계_20~29세,"32,981","4,011","1,135","2,492","2,899","1,783","5,660","1,331","3,238","1,870","1,751","3,264","1,661","1,886"
2020년10월_계_30~39세,"33,422","4,386",902,"3,120","3,175","1,461","5,492","1,411","2,819","2,054","1,695","3,192","1,819","1,896"
2020년10월_계_40~49세,"43,296","5,043","1,305","4,907","3,046","2,140","5,708","1,787","5,740","3,196","2,092","4,408","1,991","1,933"
2020년10월_계_50~59세,"44,691","5,369","1,831","3,613","3,021","2,552","6,667","1,696","4,632","2,609","2,621","4,864","2,484","2,732"
2020년10월_계_60~69세,"40,799","4,917","2,049","2,598","2,658","2,555","5,908","1,442","3,243","2,581","2,827","4,421","2,655","2,945"
2020년10월_계_70~79세,"22,225","2,683","1,348","1,499","1,628","1,602","3,041",922,"1,453","1,561","1,585","2,159","1,359","1,385"
2020년10월_계_80~89세,"8,151",971,592,565,674,704,"1,081",377,446,524,553,753,480,431
2020년10월_계_90~99세,"1,090",129,81,93,92,111,125,47,70,61,70,91,59,61
2020년10월_계_100세 이상,136,17,22,7,28,7,15,2,5,5,6,11,7,4
2020년10월_남_총인구수,"132,262","16,113","5,020","12,032","9,171","7,384","19,230","5,208","13,733","8,822","7,425","13,605","7,109","7,410"
2020년10월_남_연령구간인구수,"132,262","16,113","5,020","12,032","9,171","7,384","19,230","5,208","13,733","8,822","7,425","13,605","7,109","7,410"
2020년10월_남_0~9세,"10,241","1,355",193,"1,354",522,437,"1,356",425,"1,299",896,446,988,522,448
2020년10월_남_10~19세,"13,107","1,516",361,"1,737",564,781,"1,530",468,"2,071",987,545,"1,479",509,559
2020년10월_남_20~29세,"17,308","2,146",615,"1,263","1,313",991,"2,900",709,"1,746",983,921,"1,789",891,"1,041"
2020년10월_남_30~39세,"16,732","2,191",513,"1,444","1,573",752,"2,809",698,"1,323",997,899,"1,612",920,"1,001"
2020년10월_남_40~49세,"21,084","2,512",684,"2,372","1,483","1,024","2,788",874,"2,620","1,609","1,093","2,066","1,018",941
2020년10월_남_50~59세,"21,237","2,485",883,"1,750","1,475","1,193","3,171",829,"2,284","1,284","1,241","2,283","1,143","1,216"
2020년10월_남_60~69세,"18,964","2,274",964,"1,194","1,247","1,175","2,777",634,"1,573","1,156","1,305","2,065","1,259","1,341"
2020년10월_남_70~79세,"10,240","1,225",573,677,711,735,"1,414",411,678,702,742,"1,029",651,692
2020년10월_남_80~89세,"3,076",364,216,222,258,268,450,152,127,200,214,271,177,157
2020년10월_남_90~99세,251,37,18,19,22,25,34,7,11,8,17,23,17,13
2020년10월_남_100세 이상,22,8,0,0,3,3,1,1,1,0,2,0,2,1
2020년10월_여_총인구수,"139,371","16,865","5,289","12,643","10,241","7,864","20,017","5,658","14,644","8,977","7,602","14,332","7,472","7,767"
2020년10월_여_연령구간인구수,"139,371","16,865","5,289","12,643","10,241","7,864","20,017","5,658","14,644","8,977","7,602","14,332","7,472","7,767"
2020년10월_여_0~9세,"9,541","1,305",185,"1,260",546,444,"1,278",397,"1,254",669,371,934,478,420
2020년10월_여_10~19세,"11,953","1,276",305,"1,430",559,671,"1,386",561,"2,107",786,465,"1,373",557,477
2020년10월_여_20~29세,"15,673","1,865",520,"1,229","1,586",792,"2,760",622,"1,492",887,830,"1,475",770,845
2020년10월_여_30~39세,"16,690","2,195",389,"1,676","1,602",709,"2,683",713,"1,496","1,057",796,"1,580",899,895
2020년10월_여_40~49세,"22,212","2,531",621,"2,535","1,563","1,116","2,920",913,"3,120","1,587",999,"2,342",973,992
2020년10월_여_50~59세,"23,454","2,884",948,"1,863","1,546","1,359","3,496",867,"2,348","1,325","1,380","2,581","1,341","1,516"
2020년10월_여_60~69세,"21,835","2,643","1,085","1,404","1,411","1,380","3,131",808,"1,670","1,425","1,522","2,356","1,396","1,604"
2020년10월_여_70~79세,"11,985","1,458",775,822,917,867,"1,627",511,775,859,843,"1,130",708,693
2020년10월_여_80~89세,"5,075",607,376,343,416,436,631,225,319,324,339,482,303,274
2020년10월_여_90~99세,839,92,63,74,70,86,91,40,59,53,53,68,42,48
2020년10월_여_100세 이상,114,9,22,7,25,4,14,1,4,5,4,11,5,3
