카테고리,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2021년05월_계_총인구수,"356,706","15,707","9,852","20,837","22,214","20,283","12,696","22,267","20,954","22,888","17,725","23,342","10,345","11,453","19,379","17,000","16,901","11,157","29,188","11,989","20,529"
2021년05월_계_연령구간인구수,"356,706","15,707","9,852","20,837","22,214","20,283","12,696","22,267","20,954","22,888","17,725","23,342","10,345","11,453","19,379","17,000","16,901","11,157","29,188","11,989","20,529"
2021년05월_계_0~9세,"20,831",653,624,"1,425","1,296","1,161",530,"1,418",944,"1,950","1,116","1,146",744,653,861,"1,002","1,225",593,"1,795",483,"1,212"
2021년05월_계_10~19세,"24,452",541,462,"1,841","1,552","1,508",561,"1,294","1,146","1,876","1,873","1,897",689,893,"1,179","1,369",993,833,"2,440",470,"1,035"
2021년05월_계_20~29세,"52,524","3,523","1,909","2,095","2,254","2,891","2,990","4,722","3,444","2,547","1,994","2,880","1,330","1,265","3,131","2,115","3,198","1,542","3,613","2,527","2,554"
2021년05월_계_30~39세,"47,638","2,514","1,724","2,286","2,426","2,473","2,231","4,340","2,951","3,038","1,673","2,317","1,641","1,265","2,236","1,824","2,705","1,162","3,383","2,287","3,162"
2021년05월_계_40~49세,"50,924","1,795","1,487","3,353","3,128","2,950","1,720","3,093","2,942","3,759","2,839","3,334","1,477","1,710","2,596","2,402","2,390","1,505","4,147","1,527","2,770"
2021년05월_계_50~59세,"57,442","2,450","1,516","3,290","3,627","3,585","1,600","2,760","3,033","3,735","3,315","4,326","1,472","2,193","3,262","2,830","2,488","1,907","5,220","1,666","3,167"
2021년05월_계_60~69세,"56,661","2,396","1,316","3,510","4,039","3,099","1,598","2,448","3,366","3,298","2,801","4,172","1,659","1,949","3,392","3,004","2,164","1,951","5,171","1,666","3,662"
2021년05월_계_70~79세,"31,489","1,251",552,"2,085","2,673","1,712",987,"1,440","2,126","1,907","1,484","2,156",926,"1,056","1,934","1,727","1,196","1,137","2,267",884,"1,989"
2021년05월_계_80~89세,"13,217",528,222,839,"1,096",814,427,673,919,700,560,976,373,426,720,643,493,484,"1,036",424,864
2021년05월_계_90~99세,"1,466",55,39,111,118,88,51,76,81,74,66,136,34,43,68,78,49,43,113,53,90
2021년05월_계_100세 이상,62,1,1,2,5,2,1,3,2,4,4,2,0,0,0,6,0,0,3,2,24
2021년05월_남_총인구수,"172,228","7,867","4,898","9,855","10,773","9,564","5,808","10,688","9,860","11,217","8,705","11,154","4,943","5,609","9,696","8,255","8,090","5,454","14,131","5,686","9,975"
2021년05월_남_연령구간인구수,"172,228","7,867","4,898","9,855","10,773","9,564","5,808","10,688","9,860","11,217","8,705","11,154","4,943","5,609","9,696","8,255","8,090","5,454","14,131","5,686","9,975"
2021년05월_남_0~9세,"10,558",320,336,698,671,575,277,715,488,"1,033",572,552,380,343,414,502,623,278,931,227,623
2021년05월_남_10~19세,"12,394",288,221,930,849,750,265,641,585,949,948,972,346,433,601,698,472,429,"1,223",243,551
2021년05월_남_20~29세,"25,605","1,572",908,"1,093","1,214","1,417","1,186","2,090","1,592","1,301","1,101","1,554",635,683,"1,710","1,129","1,424",829,"1,900","1,069","1,198"
2021년05월_남_30~39세,"24,279","1,336",908,"1,170","1,243","1,202","1,059","2,226","1,473","1,502",849,"1,200",824,668,"1,198",923,"1,357",626,"1,692","1,168","1,655"
2021년05월_남_40~49세,"25,817","1,003",794,"1,599","1,580","1,444",874,"1,594","1,434","1,904","1,368","1,626",751,868,"1,413","1,193","1,252",773,"2,072",786,"1,489"
2021년05월_남_50~59세,"27,902","1,344",739,"1,533","1,766","1,703",808,"1,362","1,454","1,822","1,634","2,035",702,"1,065","1,625","1,335","1,232",930,"2,432",850,"1,531"
