,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2021년12월_계_총인구수,"353,159","15,902","9,930","20,607","22,133","20,028","11,985","21,776","20,853","22,999","17,437","23,065","10,274","11,323","19,224","16,844","16,724","10,948","28,813","11,965","20,329"
2021년12월_계_연령구간인구수,"353,159","15,902","9,930","20,607","22,133","20,028","11,985","21,776","20,853","22,999","17,437","23,065","10,274","11,323","19,224","16,844","16,724","10,948","28,813","11,965","20,329"
2021년12월_계_0~9세,"20,097",626,632,"1,408","1,272","1,110",476,"1,412",866,"1,861","1,056","1,087",713,641,811,963,"1,156",569,"1,739",511,"1,188"
2021년12월_계_10~19세,"24,034",546,469,"1,771","1,559","1,453",524,"1,284","1,143","1,894","1,835","1,857",678,854,"1,191","1,342",974,799,"2,393",444,"1,024"
2021년12월_계_20~29세,"50,989","3,572","1,945","2,050","2,156","2,746","2,936","4,504","3,413","2,577","1,874","2,765","1,283","1,227","3,007","2,054","3,093","1,495","3,463","2,399","2,430"
2021년12월_계_30~39세,"47,020","2,591","1,707","2,248","2,359","2,469","2,155","4,328","2,934","3,016","1,589","2,297","1,592","1,233","2,163","1,790","2,639","1,106","3,297","2,389","3,118"
2021년12월_계_40~49세,"50,121","1,777","1,516","3,261","3,120","2,855","1,610","3,075","2,850","3,773","2,791","3,215","1,485","1,654","2,616","2,324","2,388","1,439","4,043","1,548","2,781"
2021년12월_계_50~59세,"56,616","2,432","1,497","3,240","3,611","3,522","1,493","2,684","3,039","3,771","3,231","4,275","1,467","2,151","3,194","2,808","2,486","1,895","5,100","1,637","3,083"
2021년12월_계_60~69세,"57,250","2,435","1,350","3,534","4,064","3,186","1,433","2,369","3,394","3,363","2,901","4,230","1,703","1,989","3,442","3,030","2,212","1,941","5,304","1,666","3,704"
2021년12월_계_70~79세,"31,720","1,291",560,"2,124","2,705","1,752",890,"1,382","2,161","1,935","1,505","2,169",936,"1,064","1,956","1,775","1,193","1,155","2,302",879,"1,986"
2021년12월_계_80~89세,"13,738",575,209,873,"1,154",834,416,656,963,726,594,"1,028",382,463,777,667,529,505,"1,042",433,912
2021년12월_계_90~99세,"1,549",57,44,98,130,99,50,81,89,79,60,140,35,47,67,90,53,44,128,59,99
2021년12월_계_100세 이상,25,0,1,0,3,2,2,1,1,4,1,2,0,0,0,1,1,0,2,0,4
2021년12월_남_총인구수,"170,181","7,948","4,953","9,736","10,680","9,427","5,483","10,418","9,761","11,228","8,571","11,013","4,898","5,535","9,624","8,179","8,024","5,343","13,899","5,630","9,831"
2021년12월_남_연령구간인구수,"170,181","7,948","4,953","9,736","10,680","9,427","5,483","10,418","9,761","11,228","8,571","11,013","4,898","5,535","9,624","8,179","8,024","5,343","13,899","5,630","9,831"
2021년12월_남_0~9세,"10,192",304,329,694,655,554,248,717,447,988,543,524,354,338,398,479,592,276,904,238,610
2021년12월_남_10~19세,"12,174",293,230,900,870,727,248,639,579,960,924,950,351,416,598,681,463,396,"1,195",219,535
2021년12월_남_20~29세,"24,653","1,571",936,"1,056","1,129","1,358","1,155","1,968","1,562","1,301","1,046","1,485",606,663,"1,635","1,093","1,351",799,"1,824",997,"1,118"
2021년12월_남_30~39세,"24,003","1,388",906,"1,143","1,202","1,187","1,016","2,208","1,472","1,473",809,"1,204",799,646,"1,165",930,"1,363",607,"1,636","1,225","1,624"
2021년12월_남_40~49세,"25,405",999,809,"1,557","1,576","1,403",829,"1,574","1,368","1,908","1,341","1,562",746,843,"1,440","1,154","1,253",732,"2,018",785,"1,508"
2021년12월_남_50~59세,"27,521","1,333",745,"1,516","1,769","1,658",761,"1,322","1,479","1,837","1,588","2,018",700,"1,034","1,596","1,328","1,228",920,"2,365",833,"1,491"
2021년12월_남_60~69세,"26,771","1,242",654,"1,574","1,803","1,496",667,"1,115","1,531","1,591","1,401","1,986",761,973,"1,617","1,369","1,005",912,"2,536",791,"1,747"
2021년12월_남_70~79세,"14,130",592,262,933,"1,216",728,381,605,940,895,689,928,416,458,888,843,554,509,"1,054",370,869
2021년12월_남_80~89세,"4,986",214,71,339,431,286,166,250,370,253,221,332,156,155,280,276,199,183,341,156,307
2021년12월_남_90~99세,343,12,11,24,28,30,11,20,13,21,9,24,9,9,7,26,16,9,26,16,22
2021년12월_남_100세 이상,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
