카테고리,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2020년12월_계_총인구수,"212,586","6,002","28,199","11,022","8,892","13,200","22,045","13,829","15,551","23,455","13,405","28,998","27,988"
2020년12월_계_연령구간인구수,"212,586","6,002","28,199","11,022","8,892","13,200","22,045","13,829","15,551","23,455","13,405","28,998","27,988"
2020년12월_계_0~9세,"12,355",230,"1,594",290,499,718,"1,089",522,972,"1,473",747,"1,915","2,306"
2020년12월_계_10~19세,"15,088",301,"2,010",480,660,939,"1,060",711,"1,121","1,831","1,069","2,277","2,629"
2020년12월_계_20~29세,"28,932",647,"3,623",891,"1,061","1,747","4,021","1,721","2,151","4,107","1,810","3,478","3,675"
2020년12월_계_30~39세,"25,224",594,"3,265",828,"1,006","1,455","3,213","1,629","1,832","3,038","1,516","3,493","3,355"
2020년12월_계_40~49세,"29,363",724,"3,782","1,279","1,220","1,728","2,730","1,794","2,014","3,448","1,805","4,305","4,534"
2020년12월_계_50~59세,"41,190","1,321","5,575","2,219","1,805","2,742","4,292","2,839","3,148","3,940","2,484","5,401","5,424"
2020년12월_계_60~69세,"36,718","1,249","5,161","2,522","1,507","2,460","3,601","2,755","2,740","3,318","2,376","5,082","3,947"
2020년12월_계_70~79세,"17,132",684,"2,325","1,690",817,"1,036","1,546","1,373","1,147","1,636","1,105","2,215","1,558"
2020년12월_계_80~89세,"5,849",223,765,742,287,328,432,422,375,589,446,742,498
2020년12월_계_90~99세,665,24,83,77,26,45,47,55,49,68,47,84,60
2020년12월_계_100세 이상,70,5,16,4,4,2,14,8,2,7,0,6,2
2020년12월_남_총인구수,"107,405","3,226","14,144","5,268","4,546","6,687","11,430","7,331","7,964","11,716","6,567","14,529","13,997"
2020년12월_남_연령구간인구수,"107,405","3,226","14,144","5,268","4,546","6,687","11,430","7,331","7,964","11,716","6,567","14,529","13,997"
2020년12월_남_0~9세,"6,292",125,783,146,256,372,547,271,502,734,380,993,"1,183"
2020년12월_남_10~19세,"7,882",162,"1,054",252,344,490,567,378,597,946,556,"1,204","1,332"
2020년12월_남_20~29세,"15,519",381,"1,989",518,614,938,"1,983",930,"1,178","2,094",944,"1,917","2,033"
2020년12월_남_30~39세,"13,528",322,"1,761",454,539,770,"1,773",957,981,"1,624",817,"1,839","1,691"
2020년12월_남_40~49세,"15,422",427,"1,941",765,652,918,"1,507","1,046","1,022","1,792",926,"2,200","2,226"
2020년12월_남_50~59세,"20,502",750,"2,707","1,165",957,"1,318","2,237","1,522","1,540","1,868","1,118","2,639","2,681"
2020년12월_남_60~69세,"18,258",665,"2,518","1,140",721,"1,243","1,893","1,421","1,433","1,665","1,140","2,483","1,936"
2020년12월_남_70~79세,"7,935",317,"1,108",625,365,516,747,635,565,776,519,996,766
2020년12월_남_80~89세,"1,944",74,266,189,91,116,171,161,140,205,156,234,141
2020년12월_남_90~99세,114,3,17,13,6,5,4,8,5,11,11,23,8
2020년12월_남_100세 이상,9,0,0,1,1,1,1,2,1,1,0,1,0
2020년12월_여_총인구수,"105,181","2,776","14,055","5,754","4,346","6,513","10,615","6,498","7,587","11,739","6,838","14,469","13,991"
2020년12월_여_연령구간인구수,"105,181","2,776","14,055","5,754","4,346","6,513","10,615","6,498","7,587","11,739","6,838","14,469","13,991"
2020년12월_여_0~9세,"6,063",105,811,144,243,346,542,251,470,739,367,922,"1,123"
2020년12월_여_10~19세,"7,206",139,956,228,316,449,493,333,524,885,513,"1,073","1,297"
2020년12월_여_20~29세,"13,413",266,"1,634",373,447,809,"2,038",791,973,"2,013",866,"1,561","1,642"
2020년12월_여_30~39세,"11,696",272,"1,504",374,467,685,"1,440",672,851,"1,414",699,"1,654","1,664"
2020년12월_여_40~49세,"13,941",297,"1,841",514,568,810,"1,223",748,992,"1,656",879,"2,105","2,308"
2020년12월_여_50~59세,"20,688",571,"2,868","1,054",848,"1,424","2,055","1,317","1,608","2,072","1,366","2,762","2,743"
2020년12월_여_60~69세,"18,460",584,"2,643","1,382",786,"1,217","1,708","1,334","1,307","1,653","1,236","2,599","2,011"
2020년12월_여_70~79세,"9,197",367,"1,217","1,065",452,520,799,738,582,860,586,"1,219",792
2020년12월_여_80~89세,"3,905",149,499,553,196,212,261,261,235,384,290,508,357
2020년12월_여_90~99세,551,21,66,64,20,40,43,47,44,57,36,61,52
2020년12월_여_100세 이상,61,5,16,3,3,1,13,6,1,6,0,5,2
