,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2021년02월_계_총인구수,"212,038","6,004","28,128","10,970","8,872","13,119","22,184","13,761","15,517","23,383","13,341","28,935","27,824"
2021년02월_계_연령구간인구수,"212,038","6,004","28,128","10,970","8,872","13,119","22,184","13,761","15,517","23,383","13,341","28,935","27,824"
2021년02월_계_0~9세,"12,167",234,"1,563",280,505,701,"1,070",519,955,"1,438",742,"1,886","2,274"
2021년02월_계_10~19세,"14,939",301,"2,002",470,647,927,"1,067",698,"1,103","1,824","1,059","2,263","2,578"
2021년02월_계_20~29세,"28,715",652,"3,575",867,"1,045","1,718","4,079","1,681","2,130","4,095","1,776","3,451","3,646"
2021년02월_계_30~39세,"24,958",580,"3,237",806,"1,010","1,449","3,231","1,605","1,815","3,002","1,514","3,416","3,293"
2021년02월_계_40~49세,"29,241",720,"3,766","1,286","1,211","1,722","2,728","1,778","2,015","3,414","1,789","4,321","4,491"
2021년02월_계_50~59세,"40,820","1,305","5,518","2,194","1,787","2,671","4,222","2,831","3,132","3,938","2,462","5,362","5,398"
2021년02월_계_60~69세,"37,220","1,273","5,243","2,528","1,532","2,507","3,688","2,777","2,775","3,349","2,396","5,150","4,002"
2021년02월_계_70~79세,"17,264",682,"2,343","1,707",816,"1,046","1,583","1,371","1,153","1,642","1,104","2,242","1,575"
2021년02월_계_80~89세,"5,970",226,778,754,290,332,453,436,387,609,451,752,502
2021년02월_계_90~99세,672,26,87,74,25,44,48,57,49,65,48,86,63
2021년02월_계_100세 이상,72,5,16,4,4,2,15,8,3,7,0,6,2
2021년02월_남_총인구수,"107,128","3,225","14,099","5,249","4,542","6,631","11,514","7,301","7,950","11,683","6,544","14,485","13,905"
2021년02월_남_연령구간인구수,"107,128","3,225","14,099","5,249","4,542","6,631","11,514","7,301","7,950","11,683","6,544","14,485","13,905"
2021년02월_남_0~9세,"6,200",129,771,143,264,363,540,267,493,710,378,972,"1,170"
2021년02월_남_10~19세,"7,807",162,"1,047",247,338,477,567,371,592,937,552,"1,205","1,312"
2021년02월_남_20~29세,"15,365",385,"1,955",503,609,919,"1,996",909,"1,155","2,095",934,"1,892","2,013"
2021년02월_남_30~39세,"13,422",312,"1,749",443,546,766,"1,799",947,980,"1,602",813,"1,804","1,661"
2021년02월_남_40~49세,"15,370",421,"1,943",773,637,907,"1,510","1,032","1,028","1,779",920,"2,223","2,197"
2021년02월_남_50~59세,"20,346",743,"2,673","1,156",950,"1,287","2,216","1,528","1,532","1,882","1,114","2,603","2,662"
2021년02월_남_60~69세,"18,482",677,"2,548","1,144",736,"1,268","1,928","1,431","1,447","1,673","1,149","2,511","1,970"
2021년02월_남_70~79세,"7,997",314,"1,120",626,362,520,777,636,570,780,513,"1,015",764
2021년02월_남_80~89세,"2,015",78,276,200,94,118,176,170,146,213,159,235,150
2021년02월_남_90~99세,115,4,17,13,5,5,4,8,6,11,12,24,6
2021년02월_남_100세 이상,9,0,0,1,1,1,1,2,1,1,0,1,0
2021년02월_여_총인구수,"104,910","2,779","14,029","5,721","4,330","6,488","10,670","6,460","7,567","11,700","6,797","14,450","13,919"
2021년02월_여_연령구간인구수,"104,910","2,779","14,029","5,721","4,330","6,488","10,670","6,460","7,567","11,700","6,797","14,450","13,919"
2021년02월_여_0~9세,"5,967",105,792,137,241,338,530,252,462,728,364,914,"1,104"
2021년02월_여_10~19세,"7,132",139,955,223,309,450,500,327,511,887,507,"1,058","1,266"
2021년02월_여_20~29세,"13,350",267,"1,620",364,436,799,"2,083",772,975,"2,000",842,"1,559","1,633"
2021년02월_여_30~39세,"11,536",268,"1,488",363,464,683,"1,432",658,835,"1,400",701,"1,612","1,632"
2021년02월_여_40~49세,"13,871",299,"1,823",513,574,815,"1,218",746,987,"1,635",869,"2,098","2,294"
2021년02월_여_50~59세,"20,474",562,"2,845","1,038",837,"1,384","2,006","1,303","1,600","2,056","1,348","2,759","2,736"
2021년02월_여_60~69세,"18,738",596,"2,695","1,384",796,"1,239","1,760","1,346","1,328","1,676","1,247","2,639","2,032"
2021년02월_여_70~79세,"9,267",368,"1,223","1,081",454,526,806,735,583,862,591,"1,227",811
2021년02월_여_80~89세,"3,955",148,502,554,196,214,277,266,241,396,292,517,352
2021년02월_여_90~99세,557,22,70,61,20,39,44,49,43,54,36,62,57
2021년02월_여_100세 이상,63,5,16,3,3,1,14,6,2,6,0,5,2
