카테고리,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2020년02월_계_총인구수,"319,542","20,589","14,764","13,280","11,730","28,160","22,242","25,927","18,073","16,247","12,138","28,079","40,741","28,816","11,792","20,130","6,834"
2020년02월_계_연령구간인구수,"319,542","20,589","14,764","13,280","11,730","28,160","22,242","25,927","18,073","16,247","12,138","28,079","40,741","28,816","11,792","20,130","6,834"
2020년02월_계_0~9세,"21,639","1,198",998,620,585,"1,810","1,327","1,578","1,166","1,195","1,108","2,169","3,422","1,885","1,363","1,050",165
2020년02월_계_10~19세,"26,812","1,657","1,164",790,857,"2,505","1,780","2,288","1,241","1,380","1,028","2,517","4,185","2,649",886,"1,569",316
2020년02월_계_20~29세,"41,297","2,435","1,642","1,570","1,485","3,676","3,753","4,945","2,066","2,270","1,204","3,617","4,656","3,569","1,338","2,440",631
2020년02월_계_30~39세,"39,672","2,444","1,677","1,653","1,254","3,335","3,030","3,424","2,394","2,319","1,733","3,921","4,762","2,972","2,194","2,020",540
2020년02월_계_40~49세,"47,756","2,857","2,260","1,725","1,639","4,082","3,129","3,661","2,668","2,474","2,139","4,481","6,875","4,320","1,804","2,799",843
2020년02월_계_50~59세,"56,924","3,587","2,450","2,344","2,068","5,066","3,805","4,293","3,370","2,998","2,021","4,907","7,244","5,681","1,843","3,901","1,346"
2020년02월_계_60~69세,"49,305","3,398","2,550","2,529","2,140","4,556","3,196","3,381","2,976","2,284","1,682","4,065","5,548","4,467","1,486","3,660","1,387"
2020년02월_계_70~79세,"25,441","2,025","1,466","1,417","1,218","2,232","1,568","1,716","1,564",930,906,"1,802","2,769","2,192",636,"1,931","1,069"
2020년02월_계_80~89세,"9,263",842,480,540,423,801,574,577,523,347,285,528,"1,106",927,196,660,454
2020년02월_계_90~99세,"1,272",121,68,78,53,85,70,60,83,48,30,69,163,147,41,88,68
2020년02월_계_100세 이상,161,25,9,14,8,12,10,4,22,2,2,3,11,7,5,12,15
2020년02월_남_총인구수,"159,437","9,957","7,256","6,392","5,694","13,880","11,178","12,942","9,298","8,159","6,322","14,247","20,392","14,207","5,988","10,010","3,515"
2020년02월_남_연령구간인구수,"159,437","9,957","7,256","6,392","5,694","13,880","11,178","12,942","9,298","8,159","6,322","14,247","20,392","14,207","5,988","10,010","3,515"
2020년02월_남_0~9세,"11,078",630,512,314,307,952,673,813,594,623,549,"1,153","1,707",948,702,522,79
2020년02월_남_10~19세,"14,000",875,592,406,432,"1,302",921,"1,115",652,746,559,"1,306","2,255","1,385",481,817,156
2020년02월_남_20~29세,"22,236","1,258",879,805,805,"1,977","2,025","2,764","1,143","1,150",666,"1,925","2,547","1,980",674,"1,275",363
2020년02월_남_30~39세,"20,982","1,292",857,911,678,"1,727","1,664","1,848","1,348","1,212",917,"2,090","2,387","1,497","1,128","1,098",328
2020년02월_남_40~49세,"24,363","1,399","1,179",916,773,"1,989","1,558","1,818","1,460","1,276","1,183","2,322","3,409","2,114",971,"1,491",505
2020년02월_남_50~59세,"27,784","1,641","1,202","1,096",986,"2,313","1,815","2,022","1,713","1,431","1,135","2,400","3,654","2,783",925,"1,895",773
2020년02월_남_60~69세,"23,874","1,593","1,169","1,115",973,"2,209","1,560","1,572","1,514","1,137",816,"2,006","2,800","2,229",727,"1,756",698
2020년02월_남_70~79세,"11,687",945,690,627,573,"1,103",736,766,680,454,398,855,"1,241",956,312,908,443
2020년02월_남_80~89세,"3,144",290,163,174,152,290,214,211,168,120,94,181,348,287,63,233,156
2020년02월_남_90~99세,256,29,13,22,14,15,9,12,21,10,4,8,43,27,5,14,10
2020년02월_남_100세 이상,33,5,0,6,1,3,3,1,5,0,1,1,1,1,0,1,4
2020년02월_여_총인구수,"160,105","10,632","7,508","6,888","6,036","14,280","11,064","12,985","8,775","8,088","5,816","13,832","20,349","14,609","5,804","10,120","3,319"
2020년02월_여_연령구간인구수,"160,105","10,632","7,508","6,888","6,036","14,280","11,064","12,985","8,775","8,088","5,816","13,832","20,349","14,609","5,804","10,120","3,319"
2020년02월_여_0~9세,"10,561",568,486,306,278,858,654,765,572,572,559,"1,016","1,715",937,661,528,86
2020년02월_여_10~19세,"12,812",782,572,384,425,"1,203",859,"1,173",589,634,469,"1,211","1,930","1,264",405,752,160
2020년02월_여_20~29세,"19,061","1,177",763,765,680,"1,699","1,728","2,181",923,"1,120",538,"1,692","2,109","1,589",664,"1,165",268
2020년02월_여_30~39세,"18,690","1,152",820,742,576,"1,608","1,366","1,576","1,046","1,107",816,"1,831","2,375","1,475","1,066",922,212
2020년02월_여_40~49세,"23,393","1,458","1,081",809,866,"2,093","1,571","1,843","1,208","1,198",956,"2,159","3,466","2,206",833,"1,308",338
2020년02월_여_50~59세,"29,140","1,946","1,248","1,248","1,082","2,753","1,990","2,271","1,657","1,567",886,"2,507","3,590","2,898",918,"2,006",573
2020년02월_여_60~69세,"25,431","1,805","1,381","1,414","1,167","2,347","1,636","1,809","1,462","1,147",866,"2,059","2,748","2,238",759,"1,904",689
2020년02월_여_70~79세,"13,754","1,080",776,790,645,"1,129",832,950,884,476,508,947,"1,528","1,236",324,"1,023",626
2020년02월_여_80~89세,"6,119",552,317,366,271,511,360,366,355,227,191,347,758,640,133,427,298
2020년02월_여_90~99세,"1,016",92,55,56,39,70,61,48,62,38,26,61,120,120,36,74,58
2020년02월_여_100세 이상,128,20,9,8,7,9,7,3,17,2,1,2,10,6,5,11,11
