카테고리,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2020년04월_계_총인구수,"107,722","4,653","7,803","7,026","12,188","8,874","8,087","8,007","7,306","4,809","10,153","4,867","9,952","13,997"
2020년04월_계_연령구간인구수,"107,722","4,653","7,803","7,026","12,188","8,874","8,087","8,007","7,306","4,809","10,153","4,867","9,952","13,997"
2020년04월_계_0~9세,"5,608",228,359,331,927,648,675,472,106,121,524,110,384,723
2020년04월_계_10~19세,"7,381",297,554,475,938,879,783,604,331,209,544,207,557,"1,003"
2020년04월_계_20~29세,"13,540",633,780,"1,102","1,603","1,072",978,"1,571",778,442,"1,402",416,958,"1,805"
2020년04월_계_30~39세,"11,420",525,705,732,"1,613",942,939,"1,038",578,408,"1,282",427,841,"1,390"
2020년04월_계_40~49세,"14,646",594,"1,065",950,"1,814","1,389","1,271","1,073",889,643,"1,344",557,"1,290","1,767"
2020년04월_계_50~59세,"18,311",773,"1,363","1,086","1,889","1,490","1,317","1,136","1,325",845,"1,774",913,"1,788","2,612"
2020년04월_계_60~69세,"18,574",789,"1,412","1,171","1,682","1,267","1,114","1,127","1,547","1,003","1,686","1,113","2,081","2,582"
2020년04월_계_70~79세,"12,203",512,"1,023",759,"1,138",771,641,632,"1,139",748,"1,119",781,"1,465","1,475"
2020년04월_계_80~89세,"5,177",265,480,357,498,361,316,291,513,335,410,295,507,549
2020년04월_계_90~99세,744,33,58,53,81,52,50,57,73,46,53,41,67,80
2020년04월_계_100세 이상,118,4,4,10,5,3,3,6,27,9,15,7,14,11
2020년04월_남_총인구수,"52,251","2,224","3,809","3,264","5,750","4,115","3,930","3,824","3,716","2,394","4,880","2,477","4,964","6,904"
2020년04월_남_연령구간인구수,"52,251","2,224","3,809","3,264","5,750","4,115","3,930","3,824","3,716","2,394","4,880","2,477","4,964","6,904"
2020년04월_남_0~9세,"2,914",113,192,165,474,332,369,252,51,56,281,56,198,375
2020년04월_남_10~19세,"3,727",142,261,227,469,407,415,293,178,107,283,104,299,542
2020년04월_남_20~29세,"6,724",319,427,504,771,530,501,708,409,235,645,228,521,926
2020년04월_남_30~39세,"5,929",274,374,374,787,451,447,523,332,223,678,258,472,736
2020년04월_남_40~49세,"7,574",312,555,476,896,650,608,551,522,374,682,341,689,918
2020년04월_남_50~59세,"9,358",389,682,542,920,686,647,564,739,478,896,499,972,"1,344"
2020년04월_남_60~69세,"8,651",349,661,508,755,583,540,534,777,486,771,523,995,"1,169"
2020년04월_남_70~79세,"5,309",225,457,336,484,341,272,271,493,323,472,339,638,658
2020년04월_남_80~89세,"1,859",92,189,116,174,121,121,116,189,95,154,115,163,214
2020년04월_남_90~99세,173,9,10,14,18,14,10,9,16,15,14,12,14,18
2020년04월_남_100세 이상,33,0,1,2,2,0,0,3,10,2,4,2,3,4
2020년04월_여_총인구수,"55,471","2,429","3,994","3,762","6,438","4,759","4,157","4,183","3,590","2,415","5,273","2,390","4,988","7,093"
2020년04월_여_연령구간인구수,"55,471","2,429","3,994","3,762","6,438","4,759","4,157","4,183","3,590","2,415","5,273","2,390","4,988","7,093"
2020년04월_여_0~9세,"2,694",115,167,166,453,316,306,220,55,65,243,54,186,348
2020년04월_여_10~19세,"3,654",155,293,248,469,472,368,311,153,102,261,103,258,461
2020년04월_여_20~29세,"6,816",314,353,598,832,542,477,863,369,207,757,188,437,879
2020년04월_여_30~39세,"5,491",251,331,358,826,491,492,515,246,185,604,169,369,654
2020년04월_여_40~49세,"7,072",282,510,474,918,739,663,522,367,269,662,216,601,849
2020년04월_여_50~59세,"8,953",384,681,544,969,804,670,572,586,367,878,414,816,"1,268"
2020년04월_여_60~69세,"9,923",440,751,663,927,684,574,593,770,517,915,590,"1,086","1,413"
2020년04월_여_70~79세,"6,894",287,566,423,654,430,369,361,646,425,647,442,827,817
2020년04월_여_80~89세,"3,318",173,291,241,324,240,195,175,324,240,256,180,344,335
2020년04월_여_90~99세,571,24,48,39,63,38,40,48,57,31,39,29,53,62
2020년04월_여_100세 이상,85,4,3,8,3,3,3,3,17,7,11,5,11,7
