,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2020년06월_계_총인구수,"107,947","4,639","7,764","7,569","12,127","8,847","8,038","7,975","7,249","4,771","10,146","5,092","9,833","13,897"
2020년06월_계_연령구간인구수,"107,947","4,639","7,764","7,569","12,127","8,847","8,038","7,975","7,249","4,771","10,146","5,092","9,833","13,897"
2020년06월_계_0~9세,"5,634",227,347,401,908,644,671,469,108,125,509,132,372,721
2020년06월_계_10~19세,"7,350",292,550,528,918,865,781,592,325,207,544,211,554,983
2020년06월_계_20~29세,"13,593",622,778,"1,156","1,588","1,079",967,"1,576",768,449,"1,416",445,940,"1,809"
2020년06월_계_30~39세,"11,435",528,702,833,"1,593",922,927,"1,030",575,397,"1,264",475,818,"1,371"
2020년06월_계_40~49세,"14,671",597,"1,039","1,039","1,805","1,385","1,263","1,064",876,628,"1,345",594,"1,280","1,756"
2020년06월_계_50~59세,"18,243",762,"1,357","1,147","1,884","1,491","1,299","1,129","1,307",832,"1,738",969,"1,749","2,579"
2020년06월_계_60~69세,"18,661",792,"1,420","1,243","1,686","1,273","1,119","1,134","1,543",989,"1,710","1,131","2,063","2,558"
2020년06월_계_70~79세,"12,270",514,"1,033",788,"1,154",770,640,622,"1,131",756,"1,130",787,"1,469","1,476"
2020년06월_계_80~89세,"5,230",268,479,368,501,361,319,297,516,336,422,298,511,554
2020년06월_계_90~99세,739,33,55,56,85,54,48,55,72,43,53,43,64,78
2020년06월_계_100세 이상,121,4,4,10,5,3,4,7,28,9,15,7,13,12
2020년06월_남_총인구수,"52,341","2,217","3,787","3,530","5,723","4,101","3,910","3,799","3,674","2,377","4,858","2,582","4,917","6,866"
2020년06월_남_연령구간인구수,"52,341","2,217","3,787","3,530","5,723","4,101","3,910","3,799","3,674","2,377","4,858","2,582","4,917","6,866"
2020년06월_남_0~9세,"2,927",112,186,203,468,326,366,249,54,61,267,64,194,377
2020년06월_남_10~19세,"3,714",141,262,251,461,404,416,291,173,103,285,105,295,527
2020년06월_남_20~29세,"6,732",313,420,523,771,525,500,703,399,242,649,242,513,932
2020년06월_남_30~39세,"5,912",275,375,421,772,446,439,513,328,217,655,284,458,729
2020년06월_남_40~49세,"7,600",314,543,523,883,653,607,547,510,368,689,351,693,919
2020년06월_남_50~59세,"9,308",385,668,572,924,686,635,563,729,465,879,530,955,"1,317"
2020년06월_남_60~69세,"8,711",351,669,547,757,587,543,536,775,478,785,530,987,"1,166"
2020년06월_남_70~79세,"5,344",225,462,348,489,342,273,269,489,331,472,346,636,662
2020년06월_남_80~89세,"1,884",92,190,124,175,119,121,117,191,96,158,116,170,215
2020년06월_남_90~99세,175,9,11,16,21,13,10,8,16,14,15,12,13,17
2020년06월_남_100세 이상,34,0,1,2,2,0,0,3,10,2,4,2,3,5
2020년06월_여_총인구수,"55,606","2,422","3,977","4,039","6,404","4,746","4,128","4,176","3,575","2,394","5,288","2,510","4,916","7,031"
2020년06월_여_연령구간인구수,"55,606","2,422","3,977","4,039","6,404","4,746","4,128","4,176","3,575","2,394","5,288","2,510","4,916","7,031"
2020년06월_여_0~9세,"2,707",115,161,198,440,318,305,220,54,64,242,68,178,344
2020년06월_여_10~19세,"3,636",151,288,277,457,461,365,301,152,104,259,106,259,456
2020년06월_여_20~29세,"6,861",309,358,633,817,554,467,873,369,207,767,203,427,877
2020년06월_여_30~39세,"5,523",253,327,412,821,476,488,517,247,180,609,191,360,642
2020년06월_여_40~49세,"7,071",283,496,516,922,732,656,517,366,260,656,243,587,837
2020년06월_여_50~59세,"8,935",377,689,575,960,805,664,566,578,367,859,439,794,"1,262"
2020년06월_여_60~69세,"9,950",441,751,696,929,686,576,598,768,511,925,601,"1,076","1,392"
2020년06월_여_70~79세,"6,926",289,571,440,665,428,367,353,642,425,658,441,833,814
2020년06월_여_80~89세,"3,346",176,289,244,326,242,198,180,325,240,264,182,341,339
2020년06월_여_90~99세,564,24,44,40,64,41,38,47,56,29,38,31,51,61
2020년06월_여_100세 이상,87,4,3,8,3,3,4,4,18,7,11,5,10,7
