카테고리,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2020년07월_계_총인구수,"41,633","2,355","2,946","6,560","10,672","4,725","1,071","1,045","4,829","7,430"
2020년07월_계_연령구간인구수,"41,633","2,355","2,946","6,560","10,672","4,725","1,071","1,045","4,829","7,430"
2020년07월_계_0~9세,"1,398",40,85,215,400,119,18,17,195,309
2020년07월_계_10~19세,"2,114",86,101,405,594,209,38,29,218,434
2020년07월_계_20~29세,"5,596",526,319,937,"1,473",544,108,79,798,812
2020년07월_계_30~39세,"4,516",400,262,691,"1,125",494,113,100,665,666
2020년07월_계_40~49세,"5,546",280,366,938,"1,492",570,121,108,693,978
2020년07월_계_50~59세,"7,123",351,552,"1,102","1,816",819,197,208,722,"1,356"
2020년07월_계_60~69세,"7,784",372,580,"1,140","1,926","1,005",258,291,767,"1,445"
2020년07월_계_70~79세,"5,045",189,466,759,"1,234",618,132,154,498,995
2020년07월_계_80~89세,"2,068",83,171,297,528,274,64,47,229,375
2020년07월_계_90~99세,362,26,39,68,71,49,18,11,35,45
2020년07월_계_100세 이상,81,2,5,8,13,24,4,1,9,15
2020년07월_남_총인구수,"20,380","1,173","1,465","3,111","5,210","2,234",542,581,"2,438","3,626"
2020년07월_남_연령구간인구수,"20,380","1,173","1,465","3,111","5,210","2,234",542,581,"2,438","3,626"
2020년07월_남_0~9세,735,20,39,118,205,68,10,10,102,163
2020년07월_남_10~19세,"1,068",39,47,190,305,112,22,14,108,231
2020년07월_남_20~29세,"2,799",230,162,471,741,260,64,44,395,432
2020년07월_남_30~39세,"2,438",207,139,364,596,259,58,56,383,376
2020년07월_남_40~49세,"3,008",149,213,486,800,312,66,68,404,510
2020년07월_남_50~59세,"3,570",192,281,516,921,387,95,134,371,673
2020년07월_남_60~69세,"3,672",196,274,540,887,451,136,167,363,658
2020년07월_남_70~79세,"2,202",101,225,308,518,272,59,70,222,427
2020년07월_남_80~89세,770,33,72,103,214,94,24,12,78,140
2020년07월_남_90~99세,100,6,12,11,20,14,6,6,10,15
2020년07월_남_100세 이상,18,0,1,4,3,5,2,0,2,1
2020년07월_여_총인구수,"21,253","1,182","1,481","3,449","5,462","2,491",529,464,"2,391","3,804"
2020년07월_여_연령구간인구수,"21,253","1,182","1,481","3,449","5,462","2,491",529,464,"2,391","3,804"
2020년07월_여_0~9세,663,20,46,97,195,51,8,7,93,146
2020년07월_여_10~19세,"1,046",47,54,215,289,97,16,15,110,203
2020년07월_여_20~29세,"2,797",296,157,466,732,284,44,35,403,380
2020년07월_여_30~39세,"2,078",193,123,327,529,235,55,44,282,290
2020년07월_여_40~49세,"2,538",131,153,452,692,258,55,40,289,468
2020년07월_여_50~59세,"3,553",159,271,586,895,432,102,74,351,683
2020년07월_여_60~69세,"4,112",176,306,600,"1,039",554,122,124,404,787
2020년07월_여_70~79세,"2,843",88,241,451,716,346,73,84,276,568
2020년07월_여_80~89세,"1,298",50,99,194,314,180,40,35,151,235
2020년07월_여_90~99세,262,20,27,57,51,35,12,5,25,30
2020년07월_여_100세 이상,63,2,4,4,10,19,2,1,7,14
