,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2020년05월_계_총인구수,"404,459","23,442","31,214","28,515","24,479","15,850","18,421","32,534","16,752","23,811","10,111","35,652","13,606","9,282","16,568","14,814","24,809","38,383","26,216"
2020년05월_계_연령구간인구수,"404,459","23,442","31,214","28,515","24,479","15,850","18,421","32,534","16,752","23,811","10,111","35,652","13,606","9,282","16,568","14,814","24,809","38,383","26,216"
2020년05월_계_0~9세,"29,280","1,371","2,876","2,796","1,789","1,257","1,313","2,208","1,191","1,819",546,"2,736",546,300,"1,349",418,"1,026","4,258","1,481"
2020년05월_계_10~19세,"38,919","1,644","3,213","3,148","2,234","1,139","2,155","2,987","1,888","3,144",541,"4,334",759,569,"1,595",871,"1,640","4,924","2,134"
2020년05월_계_20~29세,"49,907","3,129","3,552","2,993","3,134","1,773","2,825","5,163","2,046","3,108","1,240","4,282","1,584","1,049","2,242","1,730","2,570","4,165","3,322"
2020년05월_계_30~39세,"47,846","3,073","3,923","3,447","2,960","2,241","2,152","4,546","1,800","2,416","1,339","3,772","1,628",876,"2,103","1,226","2,182","5,027","3,135"
2020년05월_계_40~49세,"66,732","3,576","5,387","4,932","4,222","2,691","3,346","5,154","2,632","4,250","1,339","6,459","1,870","1,209","2,638","1,900","3,368","7,750","4,009"
2020년05월_계_50~59세,"71,010","3,978","5,388","4,859","4,301","2,798","3,153","5,815","3,087","4,365","1,787","6,329","2,548","1,838","3,051","2,852","4,495","5,449","4,917"
2020년05월_계_60~69세,"56,004","3,602","3,790","3,644","3,188","2,385","1,756","3,587","2,121","2,551","1,853","4,529","2,489","1,829","2,293","2,808","5,018","4,113","4,448"
2020년05월_계_70~79세,"30,431","2,162","2,075","1,840","1,794","1,106","1,028","1,954","1,210","1,356",965,"2,181","1,540","1,123",963,"2,081","3,122","1,961","1,970"
2020년05월_계_80~89세,"12,508",775,860,743,752,396,607,"1,007",687,711,436,896,568,433,290,793,"1,205",642,707
2020년05월_계_90~99세,"1,664",105,143,111,89,56,84,112,90,91,61,131,59,50,42,108,158,88,86
2020년05월_계_100세 이상,158,27,7,2,16,8,2,1,0,0,4,3,15,6,2,27,25,6,7
2020년05월_남_총인구수,"194,943","11,227","14,928","13,430","11,791","7,556","8,628","15,030","7,908","11,378","4,886","17,697","6,623","4,535","8,172","7,452","12,093","18,862","12,747"
2020년05월_남_연령구간인구수,"194,943","11,227","14,928","13,430","11,791","7,556","8,628","15,030","7,908","11,378","4,886","17,697","6,623","4,535","8,172","7,452","12,093","18,862","12,747"
2020년05월_남_0~9세,"15,227",681,"1,512","1,437",947,637,670,"1,127",600,972,298,"1,441",279,158,696,213,534,"2,258",767
2020년05월_남_10~19세,"20,070",836,"1,645","1,574","1,156",579,"1,150","1,553",987,"1,582",287,"2,265",391,295,811,472,847,"2,557","1,083"
2020년05월_남_20~29세,"26,084","1,572","1,860","1,557","1,615",922,"1,333","2,423","1,094","1,653",670,"2,341",865,563,"1,219",963,"1,437","2,165","1,832"
2020년05월_남_30~39세,"23,311","1,520","1,784","1,474","1,442","1,097",974,"2,115",862,"1,127",717,"1,817",911,509,"1,060",713,"1,221","2,333","1,635"
2020년05월_남_40~49세,"31,684","1,722","2,476","2,223","1,957","1,293","1,457","2,265","1,158","1,882",713,"3,031",980,650,"1,268","1,079","1,834","3,718","1,978"
2020년05월_남_50~59세,"33,807","1,872","2,568","2,238","2,065","1,259","1,548","2,635","1,451","2,074",786,"3,174","1,237",894,"1,426","1,475","2,194","2,683","2,228"
2020년05월_남_60~69세,"26,512","1,668","1,767","1,736","1,505","1,130",849,"1,707",989,"1,250",857,"2,248","1,122",817,"1,140","1,366","2,343","1,937","2,081"
2020년05월_남_70~79세,"13,418","1,008",954,864,785,483,390,805,495,573,408,"1,027",641,489,468,860,"1,300",960,908
2020년05월_남_80~89세,"4,418",319,328,297,291,139,223,373,241,245,142,321,184,146,76,283,349,237,224
2020년05월_남_90~99세,370,22,32,30,25,15,33,27,31,20,8,29,11,12,7,18,28,12,10
2020년05월_남_100세 이상,42,7,2,0,3,2,1,0,0,0,0,3,2,2,1,10,6,2,1
2020년05월_여_총인구수,"209,516","12,215","16,286","15,085","12,688","8,294","9,793","17,504","8,844","12,433","5,225","17,955","6,983","4,747","8,396","7,362","12,716","19,521","13,469"
2020년05월_여_연령구간인구수,"209,516","12,215","16,286","15,085","12,688","8,294","9,793","17,504","8,844","12,433","5,225","17,955","6,983","4,747","8,396","7,362","12,716","19,521","13,469"
2020년05월_여_0~9세,"14,053",690,"1,364","1,359",842,620,643,"1,081",591,847,248,"1,295",267,142,653,205,492,"2,000",714
2020년05월_여_10~19세,"18,849",808,"1,568","1,574","1,078",560,"1,005","1,434",901,"1,562",254,"2,069",368,274,784,399,793,"2,367","1,051"
2020년05월_여_20~29세,"23,823","1,557","1,692","1,436","1,519",851,"1,492","2,740",952,"1,455",570,"1,941",719,486,"1,023",767,"1,133","2,000","1,490"
2020년05월_여_30~39세,"24,535","1,553","2,139","1,973","1,518","1,144","1,178","2,431",938,"1,289",622,"1,955",717,367,"1,043",513,961,"2,694","1,500"
2020년05월_여_40~49세,"35,048","1,854","2,911","2,709","2,265","1,398","1,889","2,889","1,474","2,368",626,"3,428",890,559,"1,370",821,"1,534","4,032","2,031"
2020년05월_여_50~59세,"37,203","2,106","2,820","2,621","2,236","1,539","1,605","3,180","1,636","2,291","1,001","3,155","1,311",944,"1,625","1,377","2,301","2,766","2,689"
2020년05월_여_60~69세,"29,492","1,934","2,023","1,908","1,683","1,255",907,"1,880","1,132","1,301",996,"2,281","1,367","1,012","1,153","1,442","2,675","2,176","2,367"
2020년05월_여_70~79세,"17,013","1,154","1,121",976,"1,009",623,638,"1,149",715,783,557,"1,154",899,634,495,"1,221","1,822","1,001","1,062"
2020년05월_여_80~89세,"8,090",456,532,446,461,257,384,634,446,466,294,575,384,287,214,510,856,405,483
2020년05월_여_90~99세,"1,294",83,111,81,64,41,51,85,59,71,53,102,48,38,35,90,130,76,76
2020년05월_여_100세 이상,116,20,5,2,13,6,1,1,0,0,4,0,13,4,1,17,19,4,6
