카테고리,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2020년07월_계_총인구수,"403,878","23,355","31,191","28,537","24,730","15,810","18,391","32,497","16,634","23,706","10,072","35,627","13,509","9,198","16,725","14,732","24,683","38,513","25,968"
2020년07월_계_연령구간인구수,"403,878","23,355","31,191","28,537","24,730","15,810","18,391","32,497","16,634","23,706","10,072","35,627","13,509","9,198","16,725","14,732","24,683","38,513","25,968"
2020년07월_계_0~9세,"29,023","1,346","2,874","2,798","1,783","1,266","1,311","2,189","1,171","1,800",534,"2,692",539,284,"1,345",415,"1,014","4,231","1,431"
2020년07월_계_10~19세,"38,726","1,645","3,212","3,125","2,279","1,127","2,133","2,967","1,873","3,113",527,"4,326",736,557,"1,603",856,"1,619","4,921","2,107"
2020년07월_계_20~29세,"49,558","3,090","3,548","2,976","3,177","1,737","2,807","5,165","2,003","3,072","1,234","4,285","1,543","1,029","2,216","1,695","2,551","4,171","3,259"
2020년07월_계_30~39세,"47,608","3,062","3,903","3,409","2,966","2,242","2,154","4,539","1,771","2,412","1,333","3,773","1,624",869,"2,113","1,215","2,137","4,995","3,091"
2020년07월_계_40~49세,"66,552","3,558","5,356","4,962","4,253","2,683","3,334","5,134","2,612","4,209","1,317","6,418","1,851","1,197","2,682","1,887","3,323","7,800","3,976"
2020년07월_계_50~59세,"70,818","3,939","5,401","4,865","4,363","2,796","3,157","5,766","3,043","4,344","1,778","6,337","2,510","1,803","3,062","2,826","4,463","5,484","4,881"
2020년07월_계_60~69세,"56,586","3,636","3,800","3,705","3,224","2,391","1,770","3,650","2,162","2,590","1,873","4,595","2,517","1,838","2,367","2,821","5,035","4,185","4,427"
2020년07월_계_70~79세,"30,602","2,179","2,076","1,838","1,820","1,108","1,035","1,952","1,224","1,364",972,"2,192","1,557","1,125",994,"2,064","3,130","1,979","1,993"
2020년07월_계_80~89세,"12,576",769,871,749,755,395,609,"1,020",686,706,440,876,559,441,299,817,"1,223",647,714
2020년07월_계_90~99세,"1,670",105,142,108,94,57,79,114,89,96,60,129,58,49,42,109,163,94,82
2020년07월_계_100세 이상,159,26,8,2,16,8,2,1,0,0,4,4,15,6,2,27,25,6,7
2020년07월_남_총인구수,"194,573","11,193","14,859","13,443","11,892","7,539","8,617","15,027","7,851","11,302","4,876","17,696","6,566","4,503","8,250","7,404","12,002","18,941","12,612"
2020년07월_남_연령구간인구수,"194,573","11,193","14,859","13,443","11,892","7,539","8,617","15,027","7,851","11,302","4,876","17,696","6,566","4,503","8,250","7,404","12,002","18,941","12,612"
2020년07월_남_0~9세,"15,062",670,"1,491","1,445",940,642,670,"1,117",597,960,291,"1,409",272,149,694,211,525,"2,241",738
2020년07월_남_10~19세,"19,975",843,"1,630","1,560","1,177",572,"1,132","1,547",972,"1,568",280,"2,276",378,293,813,456,842,"2,568","1,068"
2020년07월_남_20~29세,"25,931","1,551","1,848","1,548","1,640",925,"1,331","2,431","1,085","1,619",675,"2,344",851,549,"1,210",948,"1,418","2,167","1,791"
2020년07월_남_30~39세,"23,190","1,522","1,783","1,449","1,441","1,081",973,"2,130",841,"1,120",717,"1,824",907,511,"1,058",709,"1,188","2,325","1,611"
2020년07월_남_40~49세,"31,610","1,712","2,443","2,253","1,960","1,301","1,451","2,245","1,155","1,861",704,"3,010",968,645,"1,305","1,079","1,819","3,735","1,964"
2020년07월_남_50~59세,"33,705","1,852","2,596","2,231","2,084","1,250","1,555","2,609","1,421","2,060",787,"3,175","1,210",883,"1,429","1,453","2,170","2,721","2,219"
2020년07월_남_60~69세,"26,755","1,686","1,754","1,760","1,528","1,131",853,"1,741","1,011","1,274",857,"2,272","1,135",822,"1,167","1,376","2,352","1,965","2,071"
2020년07월_남_70~79세,"13,487","1,010",948,867,797,481,399,802,500,573,413,"1,040",650,488,487,850,"1,296",966,920
2020년07월_남_80~89세,"4,447",319,333,301,296,139,222,378,240,243,143,313,181,149,79,294,359,238,220
2020년07월_남_90~99세,368,21,31,28,26,15,30,27,29,24,9,30,12,12,7,18,27,13,9
2020년07월_남_100세 이상,43,7,2,1,3,2,1,0,0,0,0,3,2,2,1,10,6,2,1
2020년07월_여_총인구수,"209,305","12,162","16,332","15,094","12,838","8,271","9,774","17,470","8,783","12,404","5,196","17,931","6,943","4,695","8,475","7,328","12,681","19,572","13,356"
2020년07월_여_연령구간인구수,"209,305","12,162","16,332","15,094","12,838","8,271","9,774","17,470","8,783","12,404","5,196","17,931","6,943","4,695","8,475","7,328","12,681","19,572","13,356"
2020년07월_여_0~9세,"13,961",676,"1,383","1,353",843,624,641,"1,072",574,840,243,"1,283",267,135,651,204,489,"1,990",693
2020년07월_여_10~19세,"18,751",802,"1,582","1,565","1,102",555,"1,001","1,420",901,"1,545",247,"2,050",358,264,790,400,777,"2,353","1,039"
2020년07월_여_20~29세,"23,627","1,539","1,700","1,428","1,537",812,"1,476","2,734",918,"1,453",559,"1,941",692,480,"1,006",747,"1,133","2,004","1,468"
2020년07월_여_30~39세,"24,418","1,540","2,120","1,960","1,525","1,161","1,181","2,409",930,"1,292",616,"1,949",717,358,"1,055",506,949,"2,670","1,480"
2020년07월_여_40~49세,"34,942","1,846","2,913","2,709","2,293","1,382","1,883","2,889","1,457","2,348",613,"3,408",883,552,"1,377",808,"1,504","4,065","2,012"
2020년07월_여_50~59세,"37,113","2,087","2,805","2,634","2,279","1,546","1,602","3,157","1,622","2,284",991,"3,162","1,300",920,"1,633","1,373","2,293","2,763","2,662"
