카테고리,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2020년05월_계_총인구수,"456,312","31,779","31,778","26,388","17,445","26,437","21,140","35,974","15,555","18,408","27,821","34,852","26,746","20,243","24,356","23,514","46,399",263,"27,214"
2020년05월_계_연령구간인구수,"456,312","31,779","31,778","26,388","17,445","26,437","21,140","35,974","15,555","18,408","27,821","34,852","26,746","20,243","24,356","23,514","46,399",263,"27,214"
2020년05월_계_0~9세,"34,902","2,560","4,037","2,141","1,202","3,262","2,388","2,310","1,457","2,094","1,559","1,854","1,404","1,606","1,150","1,322","2,650",6,"1,900"
2020년05월_계_10~19세,"39,517","4,463","3,155","2,624","2,553","3,443","1,875","2,766","1,058","1,940","1,888","1,946","1,379","1,772","1,248","1,900","3,164",9,"2,334"
2020년05월_계_20~29세,"61,160","3,973","3,515","3,304","2,182","2,528","2,318","4,931","2,040","1,986","3,902","5,013","4,114","2,715","3,995","3,646","7,052",18,"3,928"
2020년05월_계_30~39세,"71,609","3,397","5,292","4,192","1,880","3,873","3,649","5,548","2,933","2,695","4,161","6,259","4,754","3,359","4,360","3,569","7,605",28,"4,055"
2020년05월_계_40~49세,"73,502","5,516","5,508","4,297","3,113","5,449","3,527","5,695","2,450","3,259","4,152","5,094","3,861","3,411","3,548","3,676","6,870",50,"4,026"
2020년05월_계_50~59세,"72,975","5,011","4,709","4,155","2,794","3,550","3,225","6,120","2,290","2,696","4,741","5,994","4,428","3,038","3,905","4,032","7,668",30,"4,589"
2020년05월_계_60~69세,"60,826","3,734","3,708","3,460","2,375","2,676","2,643","4,927","1,859","2,309","4,294","4,910","3,934","2,547","3,551","3,116","6,828",55,"3,900"
2020년05월_계_70~79세,"29,674","2,041","1,360","1,554",930,"1,072","1,073","2,617","1,088","1,033","2,243","2,733","2,050","1,292","1,873","1,664","3,276",40,"1,735"
2020년05월_계_80~89세,"10,087",916,398,535,322,432,360,896,324,324,741,877,712,423,619,499,"1,076",11,622
2020년05월_계_90~99세,"1,817",153,87,115,88,126,78,140,44,64,126,148,96,75,90,79,187,8,113
2020년05월_계_100세 이상,243,15,9,11,6,26,4,24,12,8,14,24,14,5,17,11,23,8,12
2020년05월_남_총인구수,"224,869","15,358","15,724","12,898","8,600","13,435","10,752","17,809","7,549","8,993","13,717","17,298","13,125","9,798","11,959","11,575","22,705",127,"13,447"
2020년05월_남_연령구간인구수,"224,869","15,358","15,724","12,898","8,600","13,435","10,752","17,809","7,549","8,993","13,717","17,298","13,125","9,798","11,959","11,575","22,705",127,"13,447"
