,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2020년10월_계_총인구수,"458,495","32,776","33,129","26,381","17,455","26,264","22,234","35,647","15,445","18,334","27,626","34,803","26,730","20,286","24,189","23,448","46,641",258,"26,849"
2020년10월_계_연령구간인구수,"458,495","32,776","33,129","26,381","17,455","26,264","22,234","35,647","15,445","18,334","27,626","34,803","26,730","20,286","24,189","23,448","46,641",258,"26,849"
2020년10월_계_0~9세,"34,757","2,645","4,210","2,151","1,187","3,143","2,546","2,244","1,445","2,049","1,507","1,793","1,351","1,592","1,108","1,320","2,589",6,"1,871"
2020년10월_계_10~19세,"39,103","4,503","3,280","2,531","2,547","3,519","1,953","2,675","1,028","1,921","1,794","1,917","1,333","1,768","1,215","1,798","3,079",8,"2,234"
2020년10월_계_20~29세,"61,294","4,042","3,587","3,282","2,160","2,488","2,390","4,886","2,006","1,998","3,861","5,021","4,216","2,732","3,988","3,632","7,127",18,"3,860"
2020년10월_계_30~39세,"71,837","3,809","5,417","4,199","1,858","3,675","3,917","5,374","2,903","2,632","4,138","6,279","4,837","3,350","4,299","3,572","7,608",25,"3,945"
2020년10월_계_40~49세,"73,865","5,636","5,862","4,274","3,125","5,501","3,746","5,601","2,419","3,240","4,109","5,107","3,812","3,394","3,481","3,614","6,922",50,"3,972"
2020년10월_계_50~59세,"72,398","5,070","4,823","4,089","2,764","3,528","3,294","6,061","2,251","2,710","4,675","5,812","4,336","3,038","3,824","3,990","7,629",29,"4,475"
2020년10월_계_60~69세,"62,454","3,867","3,963","3,570","2,422","2,725","2,810","5,026","1,913","2,327","4,380","5,041","3,949","2,572","3,634","3,224","7,021",54,"3,956"
2020년10월_계_70~79세,"30,391","2,098","1,464","1,608",969,"1,095","1,114","2,720","1,082","1,052","2,285","2,754","2,074","1,320","1,900","1,692","3,342",39,"1,783"
2020년10월_계_80~89세,"10,275",931,428,556,327,435,368,894,339,331,730,901,713,438,636,511,"1,104",13,620
2020년10월_계_90~99세,"1,874",161,89,112,89,127,92,141,47,65,132,154,94,77,86,83,196,8,121
2020년10월_계_100세 이상,247,14,6,9,7,28,4,25,12,9,15,24,15,5,18,12,24,8,12
2020년10월_남_총인구수,"225,664","15,861","16,331","12,881","8,624","13,356","11,250","17,633","7,486","8,974","13,601","17,194","13,096","9,847","11,854","11,546","22,781",123,"13,226"
2020년10월_남_연령구간인구수,"225,664","15,861","16,331","12,881","8,624","13,356","11,250","17,633","7,486","8,974","13,601","17,194","13,096","9,847","11,854","11,546","22,781",123,"13,226"
2020년10월_남_0~9세,"18,001","1,353","2,185","1,115",598,"1,635","1,322","1,117",750,"1,042",750,936,718,845,595,691,"1,352",4,993
2020년10월_남_10~19세,"20,574","2,326","1,653","1,333","1,396","2,020","1,025","1,384",491,"1,003",933,996,679,916,590,"1,059","1,604",4,"1,162"
2020년10월_남_20~29세,"30,275","2,013","1,864","1,647","1,115","1,347","1,259","2,538",971,990,"1,931","2,375","1,862","1,350","1,787","1,880","3,399",10,"1,937"
2020년10월_남_30~39세,"35,824","1,797","2,505","2,116",912,"1,715","1,918","2,767","1,433","1,213","2,172","3,232","2,428","1,630","2,259","1,805","3,895",13,"2,014"
2020년10월_남_40~49세,"37,064","2,714","2,951","2,037","1,409","2,762","1,950","2,867","1,214","1,610","2,156","2,645","1,988","1,646","1,804","1,768","3,542",24,"1,977"
2020년10월_남_50~59세,"35,271","2,500","2,293","1,949","1,363","1,798","1,659","2,985","1,072","1,308","2,225","2,913","2,237","1,431","1,889","1,895","3,626",17,"2,111"
2020년10월_남_60~69세,"29,670","1,807","1,947","1,675","1,183","1,352","1,380","2,367",891,"1,138","2,065","2,423","1,898","1,176","1,717","1,443","3,287",27,"1,894"
2020년10월_남_70~79세,"14,708",967,766,780,516,530,577,"1,258",512,520,"1,081","1,283","1,002",655,924,804,"1,627",13,893
2020년10월_남_80~89세,"3,818",338,152,206,114,161,135,310,136,134,263,353,263,172,268,181,407,9,216
2020년10월_남_90~99세,397,43,13,21,18,26,22,35,14,12,21,30,16,26,17,17,37,1,28
2020년10월_남_100세 이상,62,3,2,2,0,10,3,5,2,4,4,8,5,0,4,3,5,1,1
2020년10월_여_총인구수,"232,831","16,915","16,798","13,500","8,831","12,908","10,984","18,014","7,959","9,360","14,025","17,609","13,634","10,439","12,335","11,902","23,860",135,"13,623"
2020년10월_여_연령구간인구수,"232,831","16,915","16,798","13,500","8,831","12,908","10,984","18,014","7,959","9,360","14,025","17,609","13,634","10,439","12,335","11,902","23,860",135,"13,623"
2020년10월_여_0~9세,"16,756","1,292","2,025","1,036",589,"1,508","1,224","1,127",695,"1,007",757,857,633,747,513,629,"1,237",2,878
2020년10월_여_10~19세,"18,529","2,177","1,627","1,198","1,151","1,499",928,"1,291",537,918,861,921,654,852,625,739,"1,475",4,"1,072"
2020년10월_여_20~29세,"31,019","2,029","1,723","1,635","1,045","1,141","1,131","2,348","1,035","1,008","1,930","2,646","2,354","1,382","2,201","1,752","3,728",8,"1,923"
2020년10월_여_30~39세,"36,013","2,012","2,912","2,083",946,"1,960","1,999","2,607","1,470","1,419","1,966","3,047","2,409","1,720","2,040","1,767","3,713",12,"1,931"
2020년10월_여_40~49세,"36,801","2,922","2,911","2,237","1,716","2,739","1,796","2,734","1,205","1,630","1,953","2,462","1,824","1,748","1,677","1,846","3,380",26,"1,995"
2020년10월_여_50~59세,"37,127","2,570","2,530","2,140","1,401","1,730","1,635","3,076","1,179","1,402","2,450","2,899","2,099","1,607","1,935","2,095","4,003",12,"2,364"
2020년10월_여_60~69세,"32,784","2,060","2,016","1,895","1,239","1,373","1,430","2,659","1,022","1,189","2,315","2,618","2,051","1,396","1,917","1,781","3,734",27,"2,062"
2020년10월_여_70~79세,"15,683","1,131",698,828,453,565,537,"1,462",570,532,"1,204","1,471","1,072",665,976,888,"1,715",26,890
2020년10월_여_80~89세,"6,457",593,276,350,213,274,233,584,203,197,467,548,450,266,368,330,697,4,404
2020년10월_여_90~99세,"1,477",118,76,91,71,101,70,106,33,53,111,124,78,51,69,66,159,7,93
2020년10월_여_100세 이상,185,11,4,7,7,18,1,20,10,5,11,16,10,5,14,9,19,7,11
