,서울특별시 강북구,서울특별시 강북구 삼양동,서울특별시 강북구 미아동,서울특별시 강북구 송중동,서울특별시 강북구 송천동,서울특별시 강북구 삼각산동,서울특별시 강북구 번1동,서울특별시 강북구 번2동,서울특별시 강북구 번3동,서울특별시 강북구 수유1동,서울특별시 강북구 수유2동,서울특별시 강북구 수유3동,서울특별시 강북구 우이동,서울특별시 강북구 인수동
2020년03월_계_총인구수,"312,985","25,143","22,276","30,702","28,002","32,538","19,231","16,901","18,007","21,470","21,790","23,673","21,145","32,107"
2020년03월_계_연령구간인구수,"312,985","25,143","22,276","30,702","28,002","32,538","19,231","16,901","18,007","21,470","21,790","23,673","21,145","32,107"
2020년03월_계_0~9세,"17,037","1,429",893,"1,616","1,225","3,175",772,780,"1,034","1,113","1,138",916,"1,189","1,757"
2020년03월_계_10~19세,"23,182","2,070","1,430","2,158","1,754","4,105","1,157","1,180","1,453","1,423","1,512","1,214","1,449","2,277"
2020년03월_계_20~29세,"43,426","3,214","3,744","4,317","3,783","3,470","3,325","2,169","2,072","3,145","3,102","4,175","2,714","4,196"
2020년03월_계_30~39세,"40,231","3,142","2,954","4,295","3,439","3,985","2,880","1,930","1,870","2,862","2,593","3,542","2,656","4,083"
2020년03월_계_40~49세,"48,619","3,913","3,187","4,805","4,088","6,778","2,989","2,587","2,815","3,079","3,209","3,387","3,070","4,712"
2020년03월_계_50~59세,"53,437","4,471","3,877","5,223","5,199","4,962","3,142","2,907","2,826","3,747","3,854","4,061","3,656","5,512"
2020년03월_계_60~69세,"44,717","3,681","3,245","4,417","4,482","3,222","2,544","2,647","2,655","3,193","3,200","3,338","3,197","4,896"
2020년03월_계_70~79세,"29,719","2,247","2,056","2,776","2,826","1,964","1,752","1,977","2,498","1,975","2,154","2,147","2,165","3,182"
2020년03월_계_80~89세,"10,932",819,785,949,"1,053",760,580,647,688,787,908,783,879,"1,294"
2020년03월_계_90~99세,"1,447",127,96,119,132,93,83,71,86,109,115,96,140,180
2020년03월_계_100세 이상,238,30,9,27,21,24,7,6,10,37,5,14,30,18
2020년03월_남_총인구수,"152,747","12,530","10,704","14,777","13,960","15,679","9,580","8,237","8,510","10,628","10,474","11,824","10,310","15,534"
2020년03월_남_연령구간인구수,"152,747","12,530","10,704","14,777","13,960","15,679","9,580","8,237","8,510","10,628","10,474","11,824","10,310","15,534"
2020년03월_남_0~9세,"8,820",737,478,834,638,"1,667",396,415,537,554,582,450,639,893
2020년03월_남_10~19세,"11,934","1,073",742,"1,056",871,"2,092",620,630,738,740,803,663,760,"1,146"
2020년03월_남_20~29세,"21,355","1,669","1,631","2,083","1,947","1,718","1,603","1,131","1,049","1,578","1,486","2,057","1,314","2,089"
2020년03월_남_30~39세,"21,150","1,655","1,574","2,206","1,852","1,856","1,517","1,072",961,"1,562","1,388","1,939","1,420","2,148"
2020년03월_남_40~49세,"24,875","1,992","1,636","2,456","2,174","3,275","1,575","1,322","1,437","1,646","1,609","1,801","1,556","2,396"
2020년03월_남_50~59세,"26,037","2,270","1,850","2,438","2,615","2,471","1,604","1,422","1,347","1,800","1,812","2,042","1,733","2,633"
2020년03월_남_60~69세,"20,822","1,727","1,543","2,035","2,172","1,501","1,218","1,193","1,169","1,491","1,490","1,542","1,500","2,241"
2020년03월_남_70~79세,"12,981","1,042",912,"1,237","1,236",812,784,797,987,903,917,979,952,"1,423"
2020년03월_남_80~89세,"4,309",318,311,388,408,259,240,239,262,316,354,317,383,514
2020년03월_남_90~99세,404,37,26,33,42,20,22,13,22,34,32,32,45,46
2020년03월_남_100세 이상,60,10,1,11,5,8,1,3,1,4,1,2,8,5
2020년03월_여_총인구수,"160,238","12,613","11,572","15,925","14,042","16,859","9,651","8,664","9,497","10,842","11,316","11,849","10,835","16,573"
2020년03월_여_연령구간인구수,"160,238","12,613","11,572","15,925","14,042","16,859","9,651","8,664","9,497","10,842","11,316","11,849","10,835","16,573"
2020년03월_여_0~9세,"8,217",692,415,782,587,"1,508",376,365,497,559,556,466,550,864
2020년03월_여_10~19세,"11,248",997,688,"1,102",883,"2,013",537,550,715,683,709,551,689,"1,131"
2020년03월_여_20~29세,"22,071","1,545","2,113","2,234","1,836","1,752","1,722","1,038","1,023","1,567","1,616","2,118","1,400","2,107"
2020년03월_여_30~39세,"19,081","1,487","1,380","2,089","1,587","2,129","1,363",858,909,"1,300","1,205","1,603","1,236","1,935"
2020년03월_여_40~49세,"23,744","1,921","1,551","2,349","1,914","3,503","1,414","1,265","1,378","1,433","1,600","1,586","1,514","2,316"
2020년03월_여_50~59세,"27,400","2,201","2,027","2,785","2,584","2,491","1,538","1,485","1,479","1,947","2,042","2,019","1,923","2,879"
2020년03월_여_60~69세,"23,895","1,954","1,702","2,382","2,310","1,721","1,326","1,454","1,486","1,702","1,710","1,796","1,697","2,655"
2020년03월_여_70~79세,"16,738","1,205","1,144","1,539","1,590","1,152",968,"1,180","1,511","1,072","1,237","1,168","1,213","1,759"
2020년03월_여_80~89세,"6,623",501,474,561,645,501,340,408,426,471,554,466,496,780
2020년03월_여_90~99세,"1,043",90,70,86,90,73,61,58,64,75,83,64,95,134
2020년03월_여_100세 이상,178,20,8,16,16,16,6,3,9,33,4,12,22,13
