카테고리,서울특별시 강북구,서울특별시 강북구 삼양동,서울특별시 강북구 미아동,서울특별시 강북구 송중동,서울특별시 강북구 송천동,서울특별시 강북구 삼각산동,서울특별시 강북구 번1동,서울특별시 강북구 번2동,서울특별시 강북구 번3동,서울특별시 강북구 수유1동,서울특별시 강북구 수유2동,서울특별시 강북구 수유3동,서울특별시 강북구 우이동,서울특별시 강북구 인수동
2021년11월_계_총인구수,"299,792","23,688","21,597","29,563","26,448","31,395","18,383","15,856","16,898","20,603","21,292","23,042","20,581","30,446"
2021년11월_계_연령구간인구수,"299,792","23,688","21,597","29,563","26,448","31,395","18,383","15,856","16,898","20,603","21,292","23,042","20,581","30,446"
2021년11월_계_0~9세,"14,241","1,176",694,"1,431",965,"2,776",610,609,865,923,"1,003",741,"1,012","1,436"
2021년11월_계_10~19세,"20,886","1,853","1,260","1,952","1,533","3,904","1,014","1,001","1,245","1,285","1,351","1,083","1,364","2,041"
2021년11월_계_20~29세,"41,222","3,059","3,699","4,170","3,441","3,318","3,142","2,144","1,827","2,982","2,891","4,120","2,539","3,890"
2021년11월_계_30~39세,"37,237","2,858","2,856","3,932","3,115","3,612","2,642","1,700","1,639","2,727","2,502","3,336","2,586","3,732"
2021년11월_계_40~49세,"44,083","3,429","2,909","4,370","3,671","6,232","2,740","2,224","2,448","2,841","2,961","3,170","2,872","4,216"
2021년11월_계_50~59세,"51,687","4,287","3,699","5,110","4,864","5,131","3,071","2,708","2,788","3,503","3,744","3,963","3,539","5,280"
2021년11월_계_60~69세,"47,182","3,820","3,443","4,693","4,714","3,456","2,714","2,695","2,695","3,400","3,503","3,511","3,396","5,142"
2021년11월_계_70~79세,"29,342","2,199","2,037","2,707","2,836","2,006","1,705","1,936","2,431","1,969","2,147","2,130","2,119","3,120"
2021년11월_계_80~89세,"12,412",884,903,"1,075","1,176",857,670,760,871,866,"1,055",889,"1,015","1,391"
2021년11월_계_90~99세,"1,452",117,96,120,124,99,73,77,87,103,134,95,134,193
2021년11월_계_100세 이상,48,6,1,3,9,4,2,2,2,4,1,4,5,5
2021년11월_남_총인구수,"146,000","11,814","10,393","14,201","13,133","15,069","9,292","7,678","7,910","10,181","10,167","11,490","9,954","14,718"
2021년11월_남_연령구간인구수,"146,000","11,814","10,393","14,201","13,133","15,069","9,292","7,678","7,910","10,181","10,167","11,490","9,954","14,718"
2021년11월_남_0~9세,"7,359",624,361,729,487,"1,442",322,326,434,468,516,380,522,748
2021년11월_남_10~19세,"10,709",975,664,938,783,"1,970",522,527,630,651,716,590,715,"1,028"
2021년11월_남_20~29세,"20,248","1,587","1,611","2,048","1,740","1,658","1,565","1,121",943,"1,482","1,381","1,985","1,193","1,934"
2021년11월_남_30~39세,"19,437","1,510","1,506","1,972","1,650","1,676","1,423",917,844,"1,472","1,316","1,824","1,371","1,956"
2021년11월_남_40~49세,"22,677","1,752","1,526","2,224","1,976","2,999","1,478","1,134","1,217","1,532","1,504","1,701","1,481","2,153"
2021년11월_남_50~59세,"25,478","2,171","1,792","2,441","2,451","2,568","1,607","1,345","1,358","1,704","1,782","2,006","1,727","2,526"
2021년11월_남_60~69세,"22,061","1,812","1,672","2,182","2,303","1,568","1,295","1,235","1,209","1,611","1,584","1,629","1,566","2,395"
2021년11월_남_70~79세,"12,654",999,882,"1,182","1,242",867,772,774,908,874,911,959,906,"1,378"
2021년11월_남_80~89세,"4,974",348,358,455,464,301,284,283,348,352,413,378,435,555
2021년11월_남_90~99세,391,33,21,29,36,19,24,16,18,35,43,38,37,42
2021년11월_남_100세 이상,12,3,0,1,1,1,0,0,1,0,1,0,1,3
2021년11월_여_총인구수,"153,792","11,874","11,204","15,362","13,315","16,326","9,091","8,178","8,988","10,422","11,125","11,552","10,627","15,728"
2021년11월_여_연령구간인구수,"153,792","11,874","11,204","15,362","13,315","16,326","9,091","8,178","8,988","10,422","11,125","11,552","10,627","15,728"
2021년11월_여_0~9세,"6,882",552,333,702,478,"1,334",288,283,431,455,487,361,490,688
2021년11월_여_10~19세,"10,177",878,596,"1,014",750,"1,934",492,474,615,634,635,493,649,"1,013"
2021년11월_여_20~29세,"20,974","1,472","2,088","2,122","1,701","1,660","1,577","1,023",884,"1,500","1,510","2,135","1,346","1,956"
2021년11월_여_30~39세,"17,800","1,348","1,350","1,960","1,465","1,936","1,219",783,795,"1,255","1,186","1,512","1,215","1,776"
2021년11월_여_40~49세,"21,406","1,677","1,383","2,146","1,695","3,233","1,262","1,090","1,231","1,309","1,457","1,469","1,391","2,063"
2021년11월_여_50~59세,"26,209","2,116","1,907","2,669","2,413","2,563","1,464","1,363","1,430","1,799","1,962","1,957","1,812","2,754"
2021년11월_여_60~69세,"25,121","2,008","1,771","2,511","2,411","1,888","1,419","1,460","1,486","1,789","1,919","1,882","1,830","2,747"
2021년11월_여_70~79세,"16,688","1,200","1,155","1,525","1,594","1,139",933,"1,162","1,523","1,095","1,236","1,171","1,213","1,742"
2021년11월_여_80~89세,"7,438",536,545,620,712,556,386,477,523,514,642,511,580,836
2021년11월_여_90~99세,"1,061",84,75,91,88,80,49,61,69,68,91,57,97,151
2021년11월_여_100세 이상,36,3,1,2,8,3,2,2,1,4,0,4,4,2
