,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2021년12월_계_총인구수,"485,699","24,412","15,118","29,209","28,931","16,847","35,422","33,156","15,106","25,799","18,085","22,593","17,840","23,062","22,560","22,365","15,298","17,338","23,385","21,902","30,512","26,759"
2021년12월_계_연령구간인구수,"485,699","24,412","15,118","29,209","28,931","16,847","35,422","33,156","15,106","25,799","18,085","22,593","17,840","23,062","22,560","22,365","15,298","17,338","23,385","21,902","30,512","26,759"
2021년12월_계_0~9세,"19,843","1,107","1,148","1,839","1,047",597,"1,183","1,887",392,"1,005",893,635,504,717,743,328,"1,081",608,651,774,"1,582","1,122"
2021년12월_계_10~19세,"27,057","1,419","1,146","2,806","1,301",781,"1,548","2,625",547,"1,477",775,809,791,"1,015","1,033",486,"1,405",800,932,"1,367","2,208","1,786"
2021년12월_계_20~29세,"108,154","4,786","1,783","3,753","7,529","5,521","11,583","5,352","4,424","5,832","3,923","6,352","4,357","5,450","5,863","8,676","1,700","4,039","5,896","2,572","4,725","4,038"
2021년12월_계_30~39세,"85,556","4,048","2,503","3,658","5,951","3,533","6,967","5,127","3,032","4,937","3,651","4,630","3,158","4,590","3,970","5,774","1,787","3,235","4,838","2,431","4,177","3,559"
2021년12월_계_40~49세,"65,543","3,297","2,405","4,854","3,548","1,969","3,979","5,069","1,687","3,429","2,221","2,735","2,201","3,124","2,790","2,468","2,834","2,261","3,453","2,991","4,488","3,740"
2021년12월_계_50~59세,"67,025","3,396","2,318","4,763","3,473","1,659","3,775","4,848","1,739","3,494","2,539","2,741","2,390","3,101","3,186","1,822","2,572","2,379","3,236","4,001","4,871","4,722"
2021년12월_계_60~69세,"59,970","3,371","1,948","3,936","3,207","1,394","3,370","4,380","1,688","3,008","2,257","2,514","2,254","2,796","2,665","1,511","2,121","2,192","2,410","4,040","4,723","4,185"
2021년12월_계_70~79세,"36,640","2,092","1,195","2,470","2,061",965,"2,150","2,734","1,110","1,838","1,297","1,545","1,507","1,576","1,633",925,"1,261","1,247","1,312","2,501","2,690","2,531"
