카테고리,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2021년09월_계_총인구수,"397,506","35,733","20,874","23,899","23,554","19,835","29,235","8,916","22,502","26,782","33,881","31,054","20,257","22,727","38,310","23,638","16,309"
2021년09월_계_연령구간인구수,"397,506","35,733","20,874","23,899","23,554","19,835","29,235","8,916","22,502","26,782","33,881","31,054","20,257","22,727","38,310","23,638","16,309"
2021년09월_계_0~9세,"26,324","3,468","1,773",809,"1,218",755,"1,742",231,"1,249","1,662","2,158","1,999","1,073","1,174","2,913","1,398","2,702"
2021년09월_계_10~19세,"29,325","3,519","1,925","1,372","1,359","1,033","1,523",270,"1,857","2,186","2,281","2,240","1,373","1,194","3,981","1,939","1,273"
2021년09월_계_20~29세,"54,112","4,147","2,756","3,167","4,187","2,816","5,050","1,549","3,115","3,446","4,513","3,747","2,516","4,071","4,483","2,996","1,553"
2021년09월_계_30~39세,"61,057","5,992","3,686","2,818","4,849","2,853","5,498","1,241","2,810","3,124","5,033","4,266","2,606","4,445","4,971","3,236","3,629"
2021년09월_계_40~49세,"61,595","6,534","3,597","3,288","3,991","2,775","4,074","1,066","3,344","4,158","4,842","4,713","3,095","3,112","6,451","3,677","2,878"
2021년09월_계_50~59세,"62,301","5,083","2,973","4,587","3,049","3,429","4,473","1,745","3,843","4,703","5,727","4,842","3,406","3,041","5,666","3,945","1,789"
2021년09월_계_60~69세,"57,306","4,160","2,718","4,081","2,641","3,097","3,867","1,583","3,581","4,118","5,245","5,184","3,541","3,034","5,175","3,698","1,583"
2021년09월_계_70~79세,"31,865","1,991",988,"2,608","1,572","2,103","2,112",831,"1,915","2,333","2,878","2,971","1,838","1,831","3,279","1,974",641
2021년09월_계_80~89세,"12,048",734,391,"1,044",617,883,805,351,696,938,"1,059",967,727,723,"1,214",683,216
2021년09월_계_90~99세,"1,522",101,62,121,70,91,89,45,90,110,141,119,78,98,175,89,43
2021년09월_계_100세 이상,51,4,5,4,1,0,2,4,2,4,4,6,4,4,2,3,2
2021년09월_남_총인구수,"196,027","17,427","10,226","12,084","12,096","9,613","14,202","4,880","11,190","13,243","16,903","15,127","9,877","11,038","18,429","11,672","8,020"
2021년09월_남_연령구간인구수,"196,027","17,427","10,226","12,084","12,096","9,613","14,202","4,880","11,190","13,243","16,903","15,127","9,877","11,038","18,429","11,672","8,020"
2021년09월_남_0~9세,"13,442","1,752",913,425,640,404,895,116,620,846,"1,072","1,026",516,576,"1,490",729,"1,422"
2021년09월_남_10~19세,"15,055","1,794","1,018",718,669,525,774,149,954,"1,113","1,153","1,126",723,601,"2,034","1,068",636
2021년09월_남_20~29세,"26,478","2,006","1,300","1,623","2,077","1,311","2,201",854,"1,627","1,772","2,320","1,864","1,283","1,760","2,204","1,544",732
2021년09월_남_30~39세,"31,197","2,874","1,840","1,579","2,676","1,503","2,768",734,"1,469","1,571","2,622","2,135","1,348","2,281","2,429","1,639","1,729"
2021년09월_남_40~49세,"31,566","3,177","1,813","1,746","2,212","1,417","2,097",603,"1,694","2,075","2,488","2,427","1,606","1,640","3,206","1,825","1,540"
2021년09월_남_50~59세,"30,847","2,505","1,414","2,413","1,611","1,728","2,238","1,036","1,888","2,329","2,836","2,320","1,595","1,527","2,712","1,871",824
2021년09월_남_60~69세,"27,100","1,996","1,263","1,957","1,231","1,388","1,893",864,"1,718","2,040","2,536","2,341","1,630","1,459","2,311","1,775",698
2021년09월_남_70~79세,"15,079","1,013",491,"1,160",722,957,978,389,935,"1,085","1,382","1,443",868,877,"1,498",935,346
2021년09월_남_80~89세,"4,878",290,154,438,237,355,335,124,264,381,456,407,287,300,503,265,82
