,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2021년10월_계_총인구수,"397,330","35,888","20,858","23,872","23,508","19,803","29,234","8,940","22,444","26,703","33,851","31,042","20,231","22,672","38,336","23,597","16,351"
2021년10월_계_연령구간인구수,"397,330","35,888","20,858","23,872","23,508","19,803","29,234","8,940","22,444","26,703","33,851","31,042","20,231","22,672","38,336","23,597","16,351"
2021년10월_계_0~9세,"26,201","3,477","1,765",809,"1,207",755,"1,735",237,"1,245","1,630","2,156","1,994","1,051","1,156","2,879","1,393","2,712"
2021년10월_계_10~19세,"29,274","3,528","1,925","1,365","1,354","1,024","1,510",271,"1,844","2,180","2,286","2,225","1,370","1,193","3,985","1,931","1,283"
2021년10월_계_20~29세,"53,997","4,204","2,736","3,156","4,166","2,800","5,053","1,565","3,095","3,433","4,470","3,745","2,522","4,029","4,500","2,982","1,541"
2021년10월_계_30~39세,"61,042","6,049","3,681","2,818","4,837","2,880","5,504","1,248","2,800","3,118","5,042","4,263","2,610","4,442","4,929","3,217","3,604"
2021년10월_계_40~49세,"61,442","6,549","3,599","3,276","3,977","2,730","4,062","1,057","3,334","4,129","4,820","4,688","3,063","3,113","6,471","3,663","2,911"
2021년10월_계_50~59세,"62,366","5,090","2,966","4,581","3,064","3,432","4,477","1,743","3,829","4,707","5,728","4,858","3,420","3,033","5,683","3,964","1,791"
2021년10월_계_60~69세,"57,400","4,150","2,735","4,095","2,630","3,099","3,868","1,587","3,586","4,121","5,258","5,185","3,549","3,042","5,199","3,692","1,604"
2021년10월_계_70~79세,"31,895","1,995",995,"2,597","1,577","2,107","2,120",823,"1,922","2,321","2,888","2,976","1,821","1,846","3,295","1,973",639
2021년10월_계_80~89세,"12,132",738,388,"1,052",626,887,808,361,697,954,"1,056",979,741,720,"1,217",688,220
2021년10월_계_90~99세,"1,529",104,63,119,69,89,94,44,90,106,143,123,80,94,176,91,44
2021년10월_계_100세 이상,52,4,5,4,1,0,3,4,2,4,4,6,4,4,2,3,2
2021년10월_남_총인구수,"195,909","17,485","10,221","12,067","12,065","9,594","14,213","4,888","11,177","13,215","16,882","15,124","9,859","11,015","18,441","11,630","8,033"
2021년10월_남_연령구간인구수,"195,909","17,485","10,221","12,067","12,065","9,594","14,213","4,888","11,177","13,215","16,882","15,124","9,859","11,015","18,441","11,630","8,033"
2021년10월_남_0~9세,"13,403","1,757",910,430,632,403,896,120,627,828,"1,066","1,026",509,569,"1,486",724,"1,420"
2021년10월_남_10~19세,"15,001","1,799","1,017",703,672,525,763,151,939,"1,104","1,155","1,116",717,604,"2,030","1,061",645
2021년10월_남_20~29세,"26,435","2,023","1,292","1,628","2,064","1,291","2,206",866,"1,626","1,776","2,298","1,856","1,291","1,736","2,214","1,538",730
2021년10월_남_30~39세,"31,134","2,892","1,840","1,577","2,672","1,516","2,767",734,"1,459","1,572","2,619","2,136","1,345","2,280","2,396","1,626","1,703"
2021년10월_남_40~49세,"31,496","3,187","1,812","1,742","2,198","1,398","2,099",600,"1,693","2,058","2,482","2,411","1,588","1,637","3,219","1,813","1,559"
2021년10월_남_50~59세,"30,903","2,513","1,410","2,402","1,617","1,734","2,240","1,030","1,881","2,333","2,842","2,332","1,609","1,528","2,725","1,881",826
2021년10월_남_60~69세,"27,135","1,986","1,274","1,958","1,227","1,387","1,896",867,"1,723","2,046","2,538","2,350","1,628","1,460","2,317","1,768",710
2021년10월_남_70~79세,"15,082","1,008",492,"1,155",722,957,985,384,941,"1,080","1,386","1,444",860,882,"1,511",930,345
2021년10월_남_80~89세,"4,933",298,153,447,240,361,337,125,267,387,455,414,291,304,501,269,84
2021년10월_남_90~99세,373,20,20,25,21,22,24,10,20,30,40,36,20,15,41,18,11
2021년10월_남_100세 이상,14,2,1,0,0,0,0,1,1,1,1,3,1,0,1,2,0
2021년10월_여_총인구수,"201,421","18,403","10,637","11,805","11,443","10,209","15,021","4,052","11,267","13,488","16,969","15,918","10,372","11,657","19,895","11,967","8,318"
2021년10월_여_연령구간인구수,"201,421","18,403","10,637","11,805","11,443","10,209","15,021","4,052","11,267","13,488","16,969","15,918","10,372","11,657","19,895","11,967","8,318"
2021년10월_여_0~9세,"12,798","1,720",855,379,575,352,839,117,618,802,"1,090",968,542,587,"1,393",669,"1,292"
2021년10월_여_10~19세,"14,273","1,729",908,662,682,499,747,120,905,"1,076","1,131","1,109",653,589,"1,955",870,638
2021년10월_여_20~29세,"27,562","2,181","1,444","1,528","2,102","1,509","2,847",699,"1,469","1,657","2,172","1,889","1,231","2,293","2,286","1,444",811
2021년10월_여_30~39세,"29,908","3,157","1,841","1,241","2,165","1,364","2,737",514,"1,341","1,546","2,423","2,127","1,265","2,162","2,533","1,591","1,901"
2021년10월_여_40~49세,"29,946","3,362","1,787","1,534","1,779","1,332","1,963",457,"1,641","2,071","2,338","2,277","1,475","1,476","3,252","1,850","1,352"
