,서울특별시 금천구,서울특별시 금천구 가산동,서울특별시 금천구 독산제1동,서울특별시 금천구 독산제2동,서울특별시 금천구 독산제3동,서울특별시 금천구 독산제4동,서울특별시 금천구 시흥제1동,서울특별시 금천구 시흥제2동,서울특별시 금천구 시흥제3동,서울특별시 금천구 시흥제4동,서울특별시 금천구 시흥제5동
2020년03월_계_총인구수,"232,583","21,354","42,174","19,289","25,045","15,877","34,008","22,300","11,295","21,194","20,047"
2020년03월_계_연령구간인구수,"232,583","21,354","42,174","19,289","25,045","15,877","34,008","22,300","11,295","21,194","20,047"
2020년03월_계_0~9세,"13,405",752,"3,304",970,"1,133",697,"2,040","1,683",601,"1,214","1,011"
2020년03월_계_10~19세,"15,446",736,"2,367","1,315","1,479","1,056","2,405","2,216",757,"1,604","1,511"
2020년03월_계_20~29세,"36,517","5,515","7,417","2,827","3,938","2,346","4,967","2,591","1,480","2,820","2,616"
2020년03월_계_30~39세,"35,523","4,917","8,528","2,529","3,487","2,026","4,864","2,591","1,489","2,706","2,386"
2020년03월_계_40~49세,"33,909","2,682","6,207","2,758","3,515","2,286","5,153","3,641","1,612","3,078","2,977"
2020년03월_계_50~59세,"41,112","2,977","6,207","3,939","4,973","3,344","6,044","3,867","2,065","4,026","3,670"
2020년03월_계_60~69세,"31,918","2,254","4,638","2,891","3,753","2,397","4,653","3,134","1,872","3,279","3,047"
2020년03월_계_70~79세,"17,649","1,117","2,501","1,510","1,966","1,275","2,776","1,779","1,018","1,771","1,936"
2020년03월_계_80~89세,"6,130",351,881,464,677,385,943,666,351,615,797
2020년03월_계_90~99세,805,44,108,70,103,50,141,96,47,67,79
2020년03월_계_100세 이상,169,9,16,16,21,15,22,36,3,14,17
2020년03월_남_총인구수,"118,044","11,815","21,814","9,796","12,616","7,979","17,022","10,842","5,654","10,524","9,982"
2020년03월_남_연령구간인구수,"118,044","11,815","21,814","9,796","12,616","7,979","17,022","10,842","5,654","10,524","9,982"
2020년03월_남_0~9세,"6,861",370,"1,713",486,611,371,"1,039",847,304,601,519
2020년03월_남_10~19세,"7,852",374,"1,175",702,736,534,"1,298","1,097",375,798,763
2020년03월_남_20~29세,"18,707","2,689","3,769","1,512","1,991","1,176","2,539","1,356",787,"1,490","1,398"
2020년03월_남_30~39세,"19,647","3,045","4,777","1,354","1,925","1,104","2,615","1,274",817,"1,436","1,300"
2020년03월_남_40~49세,"17,699","1,663","3,365","1,396","1,821","1,144","2,626","1,777",835,"1,536","1,536"
2020년03월_남_50~59세,"20,679","1,725","3,146","1,992","2,490","1,704","2,979","1,848",995,"1,958","1,842"
2020년03월_남_60~69세,"15,691","1,232","2,354","1,434","1,812","1,170","2,228","1,524",903,"1,599","1,435"
2020년03월_남_70~79세,"8,237",558,"1,118",726,927,610,"1,290",817,486,838,867
2020년03월_남_80~89세,"2,418",146,371,172,273,152,359,260,145,241,299
2020년03월_남_90~99세,197,10,23,17,24,10,43,23,7,22,18
2020년03월_남_100세 이상,56,3,3,5,6,4,6,19,0,5,5
2020년03월_여_총인구수,"114,539","9,539","20,360","9,493","12,429","7,898","16,986","11,458","5,641","10,670","10,065"
2020년03월_여_연령구간인구수,"114,539","9,539","20,360","9,493","12,429","7,898","16,986","11,458","5,641","10,670","10,065"
2020년03월_여_0~9세,"6,544",382,"1,591",484,522,326,"1,001",836,297,613,492
2020년03월_여_10~19세,"7,594",362,"1,192",613,743,522,"1,107","1,119",382,806,748
2020년03월_여_20~29세,"17,810","2,826","3,648","1,315","1,947","1,170","2,428","1,235",693,"1,330","1,218"
2020년03월_여_30~39세,"15,876","1,872","3,751","1,175","1,562",922,"2,249","1,317",672,"1,270","1,086"
2020년03월_여_40~49세,"16,210","1,019","2,842","1,362","1,694","1,142","2,527","1,864",777,"1,542","1,441"
2020년03월_여_50~59세,"20,433","1,252","3,061","1,947","2,483","1,640","3,065","2,019","1,070","2,068","1,828"
2020년03월_여_60~69세,"16,227","1,022","2,284","1,457","1,941","1,227","2,425","1,610",969,"1,680","1,612"
2020년03월_여_70~79세,"9,412",559,"1,383",784,"1,039",665,"1,486",962,532,933,"1,069"
2020년03월_여_80~89세,"3,712",205,510,292,404,233,584,406,206,374,498
2020년03월_여_90~99세,608,34,85,53,79,40,98,73,40,45,61
2020년03월_여_100세 이상,113,6,13,11,15,11,16,17,3,9,12
