카테고리,서울특별시 금천구,서울특별시 금천구 가산동,서울특별시 금천구 독산제1동,서울특별시 금천구 독산제2동,서울특별시 금천구 독산제3동,서울특별시 금천구 독산제4동,서울특별시 금천구 시흥제1동,서울특별시 금천구 시흥제2동,서울특별시 금천구 시흥제3동,서울특별시 금천구 시흥제4동,서울특별시 금천구 시흥제5동
2020년10월_계_총인구수,"232,173","22,798","42,259","19,113","24,583","15,660","33,914","22,010","11,155","20,930","19,751"
2020년10월_계_연령구간인구수,"232,173","22,798","42,259","19,113","24,583","15,660","33,914","22,010","11,155","20,930","19,751"
2020년10월_계_0~9세,"12,791",703,"3,284",911,"1,040",664,"1,908","1,601",560,"1,151",969
2020년10월_계_10~19세,"14,832",714,"2,320","1,254","1,382",981,"2,338","2,141",719,"1,530","1,453"
2020년10월_계_20~29세,"37,081","6,372","7,375","2,836","3,847","2,333","5,035","2,517","1,462","2,743","2,561"
2020년10월_계_30~39세,"35,497","5,371","8,442","2,510","3,531","1,990","4,819","2,507","1,425","2,607","2,295"
2020년10월_계_40~49세,"33,179","2,753","6,221","2,649","3,316","2,162","5,068","3,513","1,568","3,026","2,903"
2020년10월_계_50~59세,"40,533","2,971","6,234","3,857","4,842","3,259","5,976","3,807","2,039","3,956","3,592"
2020년10월_계_60~69세,"32,807","2,311","4,787","2,993","3,846","2,485","4,809","3,242","1,907","3,364","3,063"
2020년10월_계_70~79세,"18,005","1,176","2,551","1,539","1,940","1,309","2,793","1,832","1,066","1,829","1,970"
2020년10월_계_80~89세,"6,422",368,929,477,710,407,994,707,360,631,839
2020년10월_계_90~99세,850,50,99,72,106,54,152,105,45,77,90
2020년10월_계_100세 이상,176,9,17,15,23,16,22,38,4,16,16
2020년10월_남_총인구수,"117,429","12,435","21,752","9,683","12,360","7,887","16,939","10,627","5,553","10,384","9,809"
2020년10월_남_연령구간인구수,"117,429","12,435","21,752","9,683","12,360","7,887","16,939","10,627","5,553","10,384","9,809"
2020년10월_남_0~9세,"6,548",332,"1,706",452,564,353,977,806,285,577,496
2020년10월_남_10~19세,"7,486",353,"1,143",670,679,481,"1,247","1,048",355,779,731
2020년10월_남_20~29세,"18,694","2,947","3,684","1,490","1,927","1,179","2,576","1,303",780,"1,445","1,363"
2020년10월_남_30~39세,"19,614","3,322","4,700","1,356","1,951","1,099","2,583","1,225",767,"1,383","1,228"
2020년10월_남_40~49세,"17,404","1,714","3,391","1,342","1,730","1,081","2,594","1,730",813,"1,516","1,493"
2020년10월_남_50~59세,"20,352","1,747","3,149","1,954","2,408","1,659","2,919","1,795",979,"1,903","1,839"
2020년10월_남_60~69세,"16,124","1,260","2,411","1,470","1,872","1,230","2,321","1,572",907,"1,639","1,442"
2020년10월_남_70~79세,"8,389",592,"1,148",742,917,618,"1,294",833,511,861,873
2020년10월_남_80~89세,"2,546",156,394,183,280,170,375,273,150,250,315
2020년10월_남_90~99세,213,9,23,19,26,13,47,21,6,25,24
2020년10월_남_100세 이상,59,3,3,5,6,4,6,21,0,6,5
2020년10월_여_총인구수,"114,744","10,363","20,507","9,430","12,223","7,773","16,975","11,383","5,602","10,546","9,942"
2020년10월_여_연령구간인구수,"114,744","10,363","20,507","9,430","12,223","7,773","16,975","11,383","5,602","10,546","9,942"
2020년10월_여_0~9세,"6,243",371,"1,578",459,476,311,931,795,275,574,473
2020년10월_여_10~19세,"7,346",361,"1,177",584,703,500,"1,091","1,093",364,751,722
2020년10월_여_20~29세,"18,387","3,425","3,691","1,346","1,920","1,154","2,459","1,214",682,"1,298","1,198"
2020년10월_여_30~39세,"15,883","2,049","3,742","1,154","1,580",891,"2,236","1,282",658,"1,224","1,067"
2020년10월_여_40~49세,"15,775","1,039","2,830","1,307","1,586","1,081","2,474","1,783",755,"1,510","1,410"
2020년10월_여_50~59세,"20,181","1,224","3,085","1,903","2,434","1,600","3,057","2,012","1,060","2,053","1,753"
2020년10월_여_60~69세,"16,683","1,051","2,376","1,523","1,974","1,255","2,488","1,670","1,000","1,725","1,621"
2020년10월_여_70~79세,"9,616",584,"1,403",797,"1,023",691,"1,499",999,555,968,"1,097"
2020년10월_여_80~89세,"3,876",212,535,294,430,237,619,434,210,381,524
2020년10월_여_90~99세,637,41,76,53,80,41,105,84,39,52,66
2020년10월_여_100세 이상,117,6,14,10,17,12,16,17,4,10,11
