,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2020년04월_계_총인구수,"530,302","23,025","27,835","31,123","38,103","40,049","28,082","23,039","25,572","27,756","21,019","36,159","39,735","20,863","27,321","24,992","34,143","23,502","21,591","16,393"
2020년04월_계_연령구간인구수,"530,302","23,025","27,835","31,123","38,103","40,049","28,082","23,039","25,572","27,756","21,019","36,159","39,735","20,863","27,321","24,992","34,143","23,502","21,591","16,393"
2020년04월_계_0~9세,"35,152","1,314","1,858","2,397","2,281","3,040","1,254","1,602","1,676","2,049","1,244","2,276","2,527","1,054","1,496","1,183","2,708","2,631","1,528","1,034"
2020년04월_계_10~19세,"55,535","1,828","2,299","2,256","2,866","4,653","3,429","2,909","4,584","5,871","2,455","3,378","3,482","1,987","2,204","2,177","3,210","2,210","2,281","1,456"
2020년04월_계_20~29세,"73,988","3,893","3,285","3,694","6,709","6,577","4,894","3,237","3,374","3,014","2,641","4,439","5,530","3,337","3,276","3,485","4,727","2,719","2,748","2,409"
2020년04월_계_30~39세,"66,731","2,888","3,432","4,841","5,578","5,322","2,796","2,607","1,992","2,091","2,067","4,454","5,052","2,415","3,043","2,720","5,050","4,948","2,907","2,528"
2020년04월_계_40~49세,"88,827","3,523","4,431","4,764","5,589","6,785","4,441","4,206","5,300","6,780","3,670","6,130","5,883","3,222","4,128","3,865","5,831","3,994","3,673","2,612"
2020년04월_계_50~59세,"88,537","3,668","4,641","4,900","5,941","6,107","5,012","3,987","4,628","4,452","3,638","5,724","7,199","3,982","4,874","4,581","5,633","3,029","3,641","2,900"
2020년04월_계_60~69세,"66,025","3,105","4,329","4,492","5,270","4,286","3,408","2,388","2,249","1,975","2,583","4,758","5,735","2,798","4,224","3,622","3,857","2,192","2,716","2,038"
2020년04월_계_70~79세,"36,962","1,970","2,437","2,562","2,686","2,215","1,804","1,341","1,121",980,"1,858","3,290","2,864","1,414","2,770","2,274","1,976","1,163","1,351",886
2020년04월_계_80~89세,"15,899",713,963,"1,057","1,013",912,908,667,547,473,748,"1,481","1,207",557,"1,140",915,972,534,640,452
2020년04월_계_90~99세,"2,385",109,147,145,155,139,129,91,88,58,102,215,208,86,139,145,174,78,103,74
2020년04월_계_100세 이상,261,14,13,15,15,13,7,4,13,13,13,14,48,11,27,25,5,4,3,4
2020년04월_남_총인구수,"256,344","11,881","13,404","14,900","18,656","19,526","13,529","11,001","12,522","13,591","10,188","16,748","19,313","10,316","13,579","12,168","15,863","11,302","10,310","7,547"
2020년04월_남_연령구간인구수,"256,344","11,881","13,404","14,900","18,656","19,526","13,529","11,001","12,522","13,591","10,188","16,748","19,313","10,316","13,579","12,168","15,863","11,302","10,310","7,547"
2020년04월_남_0~9세,"18,106",671,942,"1,247","1,169","1,566",642,817,878,"1,118",626,"1,159","1,321",542,764,602,"1,374","1,358",788,522
2020년04월_남_10~19세,"28,760",976,"1,186","1,158","1,436","2,365","1,916","1,493","2,312","3,094","1,371","1,625","1,804","1,029","1,198","1,104","1,647","1,119","1,208",719
2020년04월_남_20~29세,"38,117","2,265","1,739","1,848","3,408","3,249","2,632","1,637","1,765","1,583","1,383","2,294","2,831","1,663","1,764","1,835","2,308","1,314","1,446","1,153"
2020년04월_남_30~39세,"33,259","1,556","1,717","2,425","2,865","2,627","1,416","1,247",933,899,"1,053","2,181","2,548","1,245","1,603","1,445","2,358","2,460","1,454","1,227"
2020년04월_남_40~49세,"42,370","1,835","2,236","2,404","2,842","3,232","1,982","1,945","2,359","3,007","1,722","2,987","2,799","1,568","2,091","1,897","2,661","1,961","1,677","1,165"
2020년04월_남_50~59세,"42,882","1,847","2,236","2,254","2,838","3,012","2,389","1,944","2,405","2,357","1,808","2,726","3,383","1,968","2,447","2,238","2,589","1,442","1,694","1,305"
2020년04월_남_60~69세,"30,782","1,480","1,929","2,014","2,464","2,057","1,560","1,115","1,183",972,"1,209","2,066","2,792","1,391","2,009","1,695","1,739",952,"1,238",917
