,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2021년02월_계_총인구수,"323,431","25,114","29,445","14,247","27,038","25,057","21,590","27,616","21,685","19,065","16,736","19,111","28,837","20,158","27,732"
2021년02월_계_연령구간인구수,"323,431","25,114","29,445","14,247","27,038","25,057","21,590","27,616","21,685","19,065","16,736","19,111","28,837","20,158","27,732"
2021년02월_계_0~9세,"18,308","1,532","1,760",749,"1,749","1,564",859,"1,583","1,169",989,793,"1,185","1,522",914,"1,940"
2021년02월_계_10~19세,"25,336","2,142","2,260","1,091","2,618","1,943","1,172","1,703","1,602","1,365","1,017","2,000","2,189","1,490","2,744"
2021년02월_계_20~29세,"42,920","3,296","4,089","1,810","3,695","3,654","2,621","3,317","3,036","2,505","2,476","2,540","3,837","2,688","3,356"
2021년02월_계_30~39세,"40,442","3,344","4,079","1,669","3,382","3,537","2,346","3,609","2,586","2,573","2,352","2,321","3,318","2,186","3,140"
2021년02월_계_40~49세,"48,049","4,072","4,563","2,163","4,377","3,560","2,945","3,769","3,209","2,746","2,429","2,941","4,203","2,875","4,197"
2021년02월_계_50~59세,"56,791","4,220","5,129","2,589","4,916","4,416","3,799","4,489","3,676","3,310","2,850","3,397","5,404","3,776","4,820"
2021년02월_계_60~69세,"50,170","3,480","4,194","2,203","3,532","3,632","3,964","4,961","3,370","3,056","2,487","2,848","4,627","3,369","4,447"
2021년02월_계_70~79세,"27,769","1,999","2,301","1,379","1,723","1,806","2,712","2,830","2,059","1,651","1,632","1,186","2,605","1,973","1,913"
2021년02월_계_80~89세,"11,779",903,962,529,898,800,"1,026","1,147",858,744,608,581,959,759,"1,005"
2021년02월_계_90~99세,"1,691",119,105,54,139,133,129,180,104,107,84,105,160,111,161
2021년02월_계_100세 이상,176,7,3,11,9,12,17,28,16,19,8,7,13,17,9
2021년02월_남_총인구수,"157,603","11,955","14,382","7,112","13,002","12,029","10,910","13,474","10,438","9,177","8,107","9,010","14,334","10,186","13,487"
2021년02월_남_연령구간인구수,"157,603","11,955","14,382","7,112","13,002","12,029","10,910","13,474","10,438","9,177","8,107","9,010","14,334","10,186","13,487"
2021년02월_남_0~9세,"9,480",775,923,393,918,810,424,812,600,515,405,633,743,471,"1,058"
2021년02월_남_10~19세,"13,055","1,085","1,177",574,"1,332",999,626,874,771,720,535,996,"1,115",781,"1,470"
2021년02월_남_20~29세,"21,816","1,632","2,042",946,"1,876","1,787","1,410","1,675","1,446","1,273","1,207","1,268","1,972","1,461","1,821"
2021년02월_남_30~39세,"20,664","1,673","2,056",890,"1,638","1,800","1,300","1,819","1,319","1,331","1,215","1,115","1,724","1,208","1,576"
2021년02월_남_40~49세,"23,816","1,973","2,320","1,113","2,060","1,695","1,594","1,897","1,632","1,392","1,256","1,330","2,097","1,496","1,961"
2021년02월_남_50~59세,"27,055","1,972","2,440","1,291","2,322","2,029","1,884","2,185","1,767","1,489","1,320","1,535","2,709","1,871","2,241"
2021년02월_남_60~69세,"23,873","1,609","1,948","1,065","1,700","1,719","1,909","2,352","1,588","1,428","1,158","1,355","2,264","1,669","2,109"
2021년02월_남_70~79세,"12,778",863,"1,039",617,784,836,"1,293","1,357",949,713,717,551,"1,284",898,877
2021년02월_남_80~89세,"4,544",336,406,211,321,309,422,452,335,281,269,193,386,294,329
2021년02월_남_90~99세,474,35,31,9,47,42,45,45,25,27,24,33,38,32,41
2021년02월_남_100세 이상,48,2,0,3,4,3,3,6,6,8,1,1,2,5,4
2021년02월_여_총인구수,"165,828","13,159","15,063","7,135","14,036","13,028","10,680","14,142","11,247","9,888","8,629","10,101","14,503","9,972","14,245"
2021년02월_여_연령구간인구수,"165,828","13,159","15,063","7,135","14,036","13,028","10,680","14,142","11,247","9,888","8,629","10,101","14,503","9,972","14,245"
2021년02월_여_0~9세,"8,828",757,837,356,831,754,435,771,569,474,388,552,779,443,882
2021년02월_여_10~19세,"12,281","1,057","1,083",517,"1,286",944,546,829,831,645,482,"1,004","1,074",709,"1,274"
2021년02월_여_20~29세,"21,104","1,664","2,047",864,"1,819","1,867","1,211","1,642","1,590","1,232","1,269","1,272","1,865","1,227","1,535"
