,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2021년01월_계_총인구수,"342,034","31,235","24,929","30,088","19,133","29,137","29,157","38,723","32,980","19,689","10,473","13,532","24,197","18,359","20,402"
2021년01월_계_연령구간인구수,"342,034","31,235","24,929","30,088","19,133","29,137","29,157","38,723","32,980","19,689","10,473","13,532","24,197","18,359","20,402"
2021년01월_계_0~9세,"20,553","1,272","1,019","1,872","1,247","2,735","1,822","2,523","2,842",778,451,782,"1,243",690,"1,277"
2021년01월_계_10~19세,"23,514","1,421","1,380","1,906","1,726","1,969","2,003","2,642","2,848","1,085",686,756,"2,025","1,255","1,812"
2021년01월_계_20~29세,"56,085","6,160","4,397","4,643","2,364","4,028","3,801","5,286","3,886","2,307","3,189","3,276","5,278","4,646","2,824"
2021년01월_계_30~39세,"49,944","5,380","3,267","4,356","2,286","5,269","4,479","6,343","5,095","2,207","1,474","2,130","3,000","2,166","2,492"
2021년01월_계_40~49세,"50,441","4,224","3,111","4,297","3,055","4,707","4,186","6,378","5,818","2,518","1,318","1,685","3,524","2,412","3,208"
2021년01월_계_50~59세,"53,221","4,702","3,847","4,925","3,275","4,312","4,983","6,060","4,962","3,425","1,245","1,931","3,528","2,624","3,402"
2021년01월_계_60~69세,"46,567","4,160","3,925","4,241","2,724","3,284","4,231","5,458","4,332","3,782",989,"1,531","2,953","2,201","2,756"
2021년01월_계_70~79세,"28,187","2,598","2,630","2,549","1,612","1,870","2,496","2,899","2,295","2,403",706,963,"1,818","1,528","1,820"
2021년01월_계_80~89세,"11,603","1,138","1,172","1,106",758,821,"1,010",962,768,"1,010",345,405,707,700,701
2021년01월_계_90~99세,"1,603",154,154,147,75,110,124,145,116,146,58,63,109,100,102
2021년01월_계_100세 이상,316,26,27,46,11,32,22,27,18,28,12,10,12,37,8
2021년01월_남_총인구수,"169,337","15,831","12,783","15,091","9,204","14,100","14,164","19,261","16,482","9,828","5,002","6,562","12,013","9,132","9,884"
2021년01월_남_연령구간인구수,"169,337","15,831","12,783","15,091","9,204","14,100","14,164","19,261","16,482","9,828","5,002","6,562","12,013","9,132","9,884"
2021년01월_남_0~9세,"10,551",654,531,973,635,"1,374",928,"1,312","1,465",400,236,398,644,345,656
2021년01월_남_10~19세,"11,894",746,713,941,837,"1,012",992,"1,356","1,524",562,333,378,962,643,895
2021년01월_남_20~29세,"27,820","2,894","2,385","2,356","1,198","1,870","1,906","2,512","2,009","1,226","1,493","1,467","2,813","2,330","1,361"
2021년01월_남_30~39세,"25,777","2,809","1,821","2,242","1,156","2,498","2,281","3,269","2,541","1,206",779,"1,114","1,595","1,219","1,247"
2021년01월_남_40~49세,"26,039","2,335","1,701","2,257","1,475","2,451","2,105","3,331","2,975","1,318",648,874,"1,739","1,227","1,603"
2021년01월_남_50~59세,"26,866","2,527","2,035","2,533","1,602","2,099","2,442","2,994","2,489","1,753",630,957,"1,745","1,358","1,702"
2021년01월_남_60~69세,"22,476","2,116","1,894","2,145","1,263","1,603","1,981","2,650","2,069","1,853",443,752,"1,386","1,024","1,297"
2021년01월_남_70~79세,"12,736","1,213","1,195","1,148",675,846,"1,124","1,397","1,076","1,073",290,416,823,654,806
2021년01월_남_80~89세,"4,615",477,455,439,333,305,371,389,300,388,130,183,259,299,287
2021년01월_남_90~99세,469,52,46,43,25,31,24,43,29,45,18,17,42,26,28
2021년01월_남_100세 이상,94,8,7,14,5,11,10,8,5,4,2,6,5,7,2
2021년01월_여_총인구수,"172,697","15,404","12,146","14,997","9,929","15,037","14,993","19,462","16,498","9,861","5,471","6,970","12,184","9,227","10,518"
2021년01월_여_연령구간인구수,"172,697","15,404","12,146","14,997","9,929","15,037","14,993","19,462","16,498","9,861","5,471","6,970","12,184","9,227","10,518"
2021년01월_여_0~9세,"10,002",618,488,899,612,"1,361",894,"1,211","1,377",378,215,384,599,345,621
2021년01월_여_10~19세,"11,620",675,667,965,889,957,"1,011","1,286","1,324",523,353,378,"1,063",612,917
2021년01월_여_20~29세,"28,265","3,266","2,012","2,287","1,166","2,158","1,895","2,774","1,877","1,081","1,696","1,809","2,465","2,316","1,463"
2021년01월_여_30~39세,"24,167","2,571","1,446","2,114","1,130","2,771","2,198","3,074","2,554","1,001",695,"1,016","1,405",947,"1,245"
2021년01월_여_40~49세,"24,402","1,889","1,410","2,040","1,580","2,256","2,081","3,047","2,843","1,200",670,811,"1,785","1,185","1,605"
2021년01월_여_50~59세,"26,355","2,175","1,812","2,392","1,673","2,213","2,541","3,066","2,473","1,672",615,974,"1,783","1,266","1,700"
2021년01월_여_60~69세,"24,091","2,044","2,031","2,096","1,461","1,681","2,250","2,808","2,263","1,929",546,779,"1,567","1,177","1,459"
2021년01월_여_70~79세,"15,451","1,385","1,435","1,401",937,"1,024","1,372","1,502","1,219","1,330",416,547,995,874,"1,014"
2021년01월_여_80~89세,"6,988",661,717,667,425,516,639,573,468,622,215,222,448,401,414
2021년01월_여_90~99세,"1,134",102,108,104,50,79,100,102,87,101,40,46,67,74,74
2021년01월_여_100세 이상,222,18,20,32,6,21,12,19,13,24,10,4,7,30,6
