카테고리,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2021년11월_계_총인구수,"337,316","30,960","24,688","29,298","18,636","29,068","28,421","38,279","32,496","18,875","10,520","13,900","24,158","18,003","20,014"
2021년11월_계_연령구간인구수,"337,316","30,960","24,688","29,298","18,636","29,068","28,421","38,279","32,496","18,875","10,520","13,900","24,158","18,003","20,014"
2021년11월_계_0~9세,"19,577","1,194",976,"1,789","1,163","2,672","1,793","2,358","2,729",713,402,809,"1,136",665,"1,178"
2021년11월_계_10~19세,"22,831","1,377","1,352","1,825","1,676","1,981","1,858","2,601","2,782","1,038",676,767,"2,008","1,171","1,719"
2021년11월_계_20~29세,"56,335","6,187","4,467","4,496","2,210","4,133","3,560","5,298","3,809","2,190","3,356","3,587","5,495","4,794","2,753"
2021년11월_계_30~39세,"48,953","5,454","3,227","4,109","2,194","5,192","4,345","6,219","4,920","2,106","1,501","2,176","2,915","2,149","2,446"
2021년11월_계_40~49세,"48,970","4,102","2,962","4,223","2,942","4,775","4,083","6,216","5,682","2,329","1,267","1,689","3,406","2,254","3,040"
2021년11월_계_50~59세,"52,235","4,566","3,803","4,811","3,206","4,249","4,800","5,963","4,960","3,234","1,221","1,918","3,537","2,588","3,379"
2021년11월_계_60~69세,"47,462","4,310","3,953","4,319","2,814","3,410","4,350","5,576","4,404","3,795","1,002","1,540","3,015","2,165","2,809"
2021년11월_계_70~79세,"27,352","2,470","2,580","2,474","1,564","1,743","2,432","2,882","2,266","2,290",668,932,"1,797","1,415","1,839"
2021년11월_계_80~89세,"12,078","1,165","1,219","1,120",779,805,"1,071","1,032",824,"1,038",376,426,753,717,753
2021년11월_계_90~99세,"1,449",128,141,123,85,99,127,127,109,138,49,53,94,82,94
2021년11월_계_100세 이상,74,7,8,9,3,9,2,7,11,4,2,3,2,3,4
2021년11월_남_총인구수,"166,591","15,554","12,655","14,677","8,976","14,028","13,823","18,946","16,220","9,386","5,003","6,620","12,051","8,984","9,668"
2021년11월_남_연령구간인구수,"166,591","15,554","12,655","14,677","8,976","14,028","13,823","18,946","16,220","9,386","5,003","6,620","12,051","8,984","9,668"
2021년11월_남_0~9세,"10,026",603,494,926,585,"1,360",890,"1,222","1,410",365,207,403,608,346,607
2021년11월_남_10~19세,"11,576",717,711,912,819,"1,010",924,"1,319","1,504",547,311,375,958,606,863
2021년11월_남_20~29세,"27,507","2,813","2,404","2,275","1,129","1,879","1,795","2,476","1,935","1,154","1,547","1,536","2,912","2,349","1,303"
2021년11월_남_30~39세,"25,164","2,815","1,774","2,075","1,133","2,449","2,215","3,186","2,467","1,139",797,"1,120","1,569","1,214","1,211"
2021년11월_남_40~49세,"25,241","2,237","1,634","2,257","1,412","2,467","2,058","3,235","2,880","1,208",628,870,"1,674","1,163","1,518"
2021년11월_남_50~59세,"26,492","2,488","2,019","2,478","1,565","2,082","2,362","2,972","2,486","1,644",621,948,"1,786","1,339","1,702"
2021년11월_남_60~69세,"23,042","2,225","1,930","2,162","1,296","1,674","2,053","2,690","2,120","1,883",456,760,"1,432","1,030","1,331"
2021년11월_남_70~79세,"12,367","1,138","1,171","1,120",675,782,"1,096","1,394","1,066","1,016",283,405,798,618,805
2021년11월_남_80~89세,"4,769",480,476,446,332,296,403,412,322,394,140,189,279,294,306
2021년11월_남_90~99세,387,36,40,25,29,28,26,40,25,36,11,13,35,24,19
2021년11월_남_100세 이상,20,2,2,1,1,1,1,0,5,0,2,1,0,1,3
2021년11월_여_총인구수,"170,725","15,406","12,033","14,621","9,660","15,040","14,598","19,333","16,276","9,489","5,517","7,280","12,107","9,019","10,346"
2021년11월_여_연령구간인구수,"170,725","15,406","12,033","14,621","9,660","15,040","14,598","19,333","16,276","9,489","5,517","7,280","12,107","9,019","10,346"
2021년11월_여_0~9세,"9,551",591,482,863,578,"1,312",903,"1,136","1,319",348,195,406,528,319,571
2021년11월_여_10~19세,"11,255",660,641,913,857,971,934,"1,282","1,278",491,365,392,"1,050",565,856
2021년11월_여_20~29세,"28,828","3,374","2,063","2,221","1,081","2,254","1,765","2,822","1,874","1,036","1,809","2,051","2,583","2,445","1,450"
2021년11월_여_30~39세,"23,789","2,639","1,453","2,034","1,061","2,743","2,130","3,033","2,453",967,704,"1,056","1,346",935,"1,235"
2021년11월_여_40~49세,"23,729","1,865","1,328","1,966","1,530","2,308","2,025","2,981","2,802","1,121",639,819,"1,732","1,091","1,522"
2021년11월_여_50~59세,"25,743","2,078","1,784","2,333","1,641","2,167","2,438","2,991","2,474","1,590",600,970,"1,751","1,249","1,677"
2021년11월_여_60~69세,"24,420","2,085","2,023","2,157","1,518","1,736","2,297","2,886","2,284","1,912",546,780,"1,583","1,135","1,478"
2021년11월_여_70~79세,"14,985","1,332","1,409","1,354",889,961,"1,336","1,488","1,200","1,274",385,527,999,797,"1,034"
2021년11월_여_80~89세,"7,309",685,743,674,447,509,668,620,502,644,236,237,474,423,447
2021년11월_여_90~99세,"1,062",92,101,98,56,71,101,87,84,102,38,40,59,58,75
2021년11월_여_100세 이상,54,5,6,8,2,8,1,7,6,4,0,2,2,2,1
