카테고리,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2020년11월_계_총인구수,"372,320","25,628","38,256","21,794","21,776","14,400","12,081","23,250","24,753","25,237","18,237","20,817","19,073","15,637","19,421","40,447","31,513"
2020년11월_계_연령구간인구수,"372,320","25,628","38,256","21,794","21,776","14,400","12,081","23,250","24,753","25,237","18,237","20,817","19,073","15,637","19,421","40,447","31,513"
2020년11월_계_0~9세,"25,086","2,796","2,276","1,501","2,256",680,920,"1,703","1,886",846,"1,148","1,062","1,215",638,991,"2,555","2,613"
2020년11월_계_10~19세,"28,419","1,640","2,344","1,625","2,021",888,"1,162","1,918","1,741","1,223",953,"1,326","1,572",824,"1,481","3,495","4,206"
2020년11월_계_20~29세,"61,920","3,172","6,464","3,016","2,236","3,370","1,784","3,518","4,662","6,219","3,571","3,511","2,930","3,208","3,170","6,791","4,298"
2020년11월_계_30~39세,"64,657","5,165","6,567","3,655","3,745","2,368","1,868","3,792","4,166","5,355","3,757","3,917","2,970","3,124","3,404","6,754","4,050"
2020년11월_계_40~49세,"61,088","4,220","5,598","3,219","4,412","2,097","2,163","3,910","4,009","3,735","2,652","3,283","3,290","2,361","3,337","6,580","6,222"
2020년11월_계_50~59세,"54,265","3,856","6,466","3,502","2,934","2,044","1,770","3,572","3,654","3,109","2,372","2,972","2,812","2,028","2,885","5,787","4,502"
2020년11월_계_60~69세,"39,448","2,731","4,437","2,681","2,163","1,488","1,150","2,477","2,448","2,280","1,926","2,397","2,178","1,719","2,184","4,215","2,974"
2020년11월_계_70~79세,"24,336","1,224","2,625","1,571","1,282",910,807,"1,562","1,405","1,556","1,216","1,615","1,464","1,109","1,347","2,903","1,740"
2020년11월_계_80~89세,"11,085",653,"1,274",850,631,447,396,666,669,748,538,641,553,520,549,"1,166",784
2020년11월_계_90~99세,"1,674",118,166,146,85,83,49,113,97,139,85,86,70,86,59,185,107
2020년11월_계_100세 이상,342,53,39,28,11,25,12,19,16,27,19,7,19,20,14,16,17
2020년11월_남_총인구수,"175,423","11,990","18,064","10,450","10,260","6,947","5,822","11,331","11,791","11,529","8,496","9,785","8,992","7,372","9,125","18,414","15,055"
2020년11월_남_연령구간인구수,"175,423","11,990","18,064","10,450","10,260","6,947","5,822","11,331","11,791","11,529","8,496","9,785","8,992","7,372","9,125","18,414","15,055"
2020년11월_남_0~9세,"12,720","1,345","1,193",813,"1,076",358,461,882,962,423,609,543,622,308,472,"1,278","1,375"
2020년11월_남_10~19세,"14,371",776,"1,168",860,996,474,582,"1,039",880,587,456,646,764,447,742,"1,834","2,120"
2020년11월_남_20~29세,"27,992","1,399","2,840","1,447","1,039","1,516",866,"1,775","2,238","2,636","1,586","1,634","1,363","1,484","1,496","2,731","1,942"
2020년11월_남_30~39세,"30,602","2,392","3,198","1,759","1,713","1,197",900,"1,844","1,960","2,492","1,802","1,868","1,402","1,511","1,634","3,073","1,857"
2020년11월_남_40~49세,"29,708","2,124","2,758","1,546","2,136","1,052","1,091","1,833","1,927","1,817","1,283","1,593","1,618","1,183","1,589","3,173","2,985"
2020년11월_남_50~59세,"26,661","1,856","3,178","1,688","1,457","1,072",888,"1,798","1,748","1,514","1,123","1,472","1,383",957,"1,377","2,821","2,329"
2020년11월_남_60~69세,"18,259","1,296","2,128","1,271","1,035",698,545,"1,204","1,180","1,010",870,"1,077",956,778,988,"1,882","1,341"
2020년11월_남_70~79세,"10,262",498,"1,100",710,542,377,310,641,595,675,536,691,632,461,575,"1,150",769
2020년11월_남_80~89세,"4,290",260,446,315,240,177,162,272,274,324,203,232,222,203,228,424,308
2020년11월_남_90~99세,478,30,46,36,23,22,15,38,26,41,25,29,24,34,19,43,27
2020년11월_남_100세 이상,80,14,9,5,3,4,2,5,1,10,3,0,6,6,5,5,2
2020년11월_여_총인구수,"196,897","13,638","20,192","11,344","11,516","7,453","6,259","11,919","12,962","13,708","9,741","11,032","10,081","8,265","10,296","22,033","16,458"
2020년11월_여_연령구간인구수,"196,897","13,638","20,192","11,344","11,516","7,453","6,259","11,919","12,962","13,708","9,741","11,032","10,081","8,265","10,296","22,033","16,458"
2020년11월_여_0~9세,"12,366","1,451","1,083",688,"1,180",322,459,821,924,423,539,519,593,330,519,"1,277","1,238"
2020년11월_여_10~19세,"14,048",864,"1,176",765,"1,025",414,580,879,861,636,497,680,808,377,739,"1,661","2,086"
