,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2021년11월_계_총인구수,"369,238","25,269","37,209","21,216","21,639","14,536","16,766","22,570","24,946","24,820","17,338","20,063","18,586","14,986","18,939","39,550","30,805"
2021년11월_계_연령구간인구수,"369,238","25,269","37,209","21,216","21,639","14,536","16,766","22,570","24,946","24,820","17,338","20,063","18,586","14,986","18,939","39,550","30,805"
2021년11월_계_0~9세,"23,772","2,725","2,212","1,444","2,126",647,"1,458","1,671","1,760",786,909,967,"1,085",566,858,"2,287","2,271"
2021년11월_계_10~19세,"27,810","1,687","2,212","1,540","2,055",829,"1,546","1,854","1,687","1,141",897,"1,244","1,510",751,"1,421","3,318","4,118"
2021년11월_계_20~29세,"61,474","3,041","6,160","2,872","2,181","3,585","2,494","3,355","5,017","6,211","3,274","3,305","2,789","3,164","3,120","6,610","4,296"
2021년11월_계_30~39세,"63,605","4,855","6,472","3,589","3,653","2,448","2,672","3,531","4,144","5,401","3,587","3,793","2,887","3,030","3,260","6,554","3,729"
2021년11월_계_40~49세,"59,917","4,314","5,292","3,068","4,325","2,042","3,119","3,801","3,895","3,611","2,573","3,112","3,194","2,214","3,221","6,235","5,901"
2021년11월_계_50~59세,"54,978","3,850","6,254","3,417","3,080","2,064","2,478","3,612","3,683","3,068","2,358","2,942","2,813","1,959","2,861","5,885","4,654"
2021년11월_계_60~69세,"41,076","2,820","4,624","2,798","2,227","1,522","1,575","2,528","2,601","2,266","1,958","2,419","2,206","1,705","2,261","4,386","3,180"
2021년11월_계_70~79세,"23,463","1,196","2,512","1,501","1,256",863,885,"1,445","1,358","1,452","1,166","1,534","1,436",997,"1,306","2,832","1,724"
2021년11월_계_80~89세,"11,452",665,"1,318",849,636,459,486,678,699,745,532,660,591,510,573,"1,246",805
2021년11월_계_90~99세,"1,610",108,140,136,98,69,52,91,100,133,82,83,70,87,55,189,117
2021년11월_계_100세 이상,81,8,13,2,2,8,1,4,2,6,2,4,5,3,3,8,10
2021년11월_남_총인구수,"173,725","11,843","17,484","10,136","10,227","7,033","8,089","11,006","11,862","11,387","8,039","9,408","8,741","7,085","8,903","17,875","14,607"
2021년11월_남_연령구간인구수,"173,725","11,843","17,484","10,136","10,227","7,033","8,089","11,006","11,862","11,387","8,039","9,408","8,741","7,085","8,903","17,875","14,607"
2021년11월_남_0~9세,"12,175","1,349","1,165",771,"1,044",349,750,853,918,391,470,480,578,271,424,"1,156","1,206"
2021년11월_남_10~19세,"14,013",809,"1,105",793,985,448,782,995,842,553,440,622,745,413,691,"1,717","2,073"
2021년11월_남_20~29세,"27,539","1,322","2,648","1,376","1,012","1,626","1,156","1,737","2,335","2,670","1,431","1,527","1,268","1,450","1,455","2,637","1,889"
2021년11월_남_30~39세,"30,019","2,223","3,081","1,727","1,689","1,225","1,279","1,697","1,967","2,519","1,703","1,826","1,359","1,498","1,585","2,950","1,691"
2021년11월_남_40~49세,"29,063","2,158","2,639","1,493","2,047","1,010","1,561","1,790","1,869","1,756","1,246","1,501","1,563","1,109","1,546","2,974","2,801"
2021년11월_남_50~59세,"26,986","1,858","3,061","1,626","1,571","1,077","1,255","1,811","1,783","1,476","1,112","1,443","1,374",934,"1,364","2,840","2,401"
2021년11월_남_60~69세,"19,172","1,356","2,224","1,324","1,073",732,737,"1,216","1,252","1,039",909,"1,104",979,767,"1,026","1,987","1,447"
2021년11월_남_70~79세,"9,868",492,"1,041",678,538,362,352,590,584,627,500,643,614,418,557,"1,118",754
2021년11월_남_80~89세,"4,426",250,479,318,238,184,200,285,280,312,202,239,239,198,240,445,317
2021년11월_남_90~99세,441,24,39,30,30,18,16,30,32,41,26,22,20,27,14,46,26
2021년11월_남_100세 이상,23,2,2,0,0,2,1,2,0,3,0,1,2,0,1,5,2
2021년11월_여_총인구수,"195,513","13,426","19,725","11,080","11,412","7,503","8,677","11,564","13,084","13,433","9,299","10,655","9,845","7,901","10,036","21,675","16,198"
2021년11월_여_연령구간인구수,"195,513","13,426","19,725","11,080","11,412","7,503","8,677","11,564","13,084","13,433","9,299","10,655","9,845","7,901","10,036","21,675","16,198"
2021년11월_여_0~9세,"11,597","1,376","1,047",673,"1,082",298,708,818,842,395,439,487,507,295,434,"1,131","1,065"
2021년11월_여_10~19세,"13,797",878,"1,107",747,"1,070",381,764,859,845,588,457,622,765,338,730,"1,601","2,045"
2021년11월_여_20~29세,"33,935","1,719","3,512","1,496","1,169","1,959","1,338","1,618","2,682","3,541","1,843","1,778","1,521","1,714","1,665","3,973","2,407"
2021년11월_여_30~39세,"33,586","2,632","3,391","1,862","1,964","1,223","1,393","1,834","2,177","2,882","1,884","1,967","1,528","1,532","1,675","3,604","2,038"
2021년11월_여_40~49세,"30,854","2,156","2,653","1,575","2,278","1,032","1,558","2,011","2,026","1,855","1,327","1,611","1,631","1,105","1,675","3,261","3,100"
2021년11월_여_50~59세,"27,992","1,992","3,193","1,791","1,509",987,"1,223","1,801","1,900","1,592","1,246","1,499","1,439","1,025","1,497","3,045","2,253"
2021년11월_여_60~69세,"21,904","1,464","2,400","1,474","1,154",790,838,"1,312","1,349","1,227","1,049","1,315","1,227",938,"1,235","2,399","1,733"
2021년11월_여_70~79세,"13,595",704,"1,471",823,718,501,533,855,774,825,666,891,822,579,749,"1,714",970
2021년11월_여_80~89세,"7,026",415,839,531,398,275,286,393,419,433,330,421,352,312,333,801,488
2021년11월_여_90~99세,"1,169",84,101,106,68,51,36,61,68,92,56,61,50,60,41,143,91
2021년11월_여_100세 이상,58,6,11,2,2,6,0,2,2,3,2,3,3,3,2,3,8
