카테고리,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2021년12월_계_총인구수,"304,819","17,121","15,930","20,355","19,752","34,976","23,676","15,336","13,703","22,697","26,496","15,409","29,780","18,009","31,579"
2021년12월_계_연령구간인구수,"304,819","17,121","15,930","20,355","19,752","34,976","23,676","15,336","13,703","22,697","26,496","15,409","29,780","18,009","31,579"
2021년12월_계_0~9세,"18,881","1,152","1,386","1,177",667,"1,539","1,447",711,751,"1,436","1,190","2,023","2,639","1,305","1,458"
2021년12월_계_10~19세,"22,493","1,373","1,015","1,278",888,"2,294","1,822","1,043",990,"1,678","2,061","1,488","2,341","1,933","2,289"
2021년12월_계_20~29세,"48,896","2,132","2,158","3,338","7,829","7,531","3,021","2,022","1,719","2,776","4,097","1,418","4,238","2,052","4,565"
2021년12월_계_30~39세,"44,235","2,307","2,809","3,352","3,537","5,507","3,309","1,932","1,865","3,008","3,503","2,243","4,453","2,276","4,134"
2021년12월_계_40~49세,"45,250","2,624","2,551","2,957","1,969","4,700","3,551","2,036","1,894","3,278","3,741","3,055","4,909","3,206","4,779"
2021년12월_계_50~59세,"48,640","3,022","2,731","3,268","1,958","5,126","4,040","2,652","2,461","3,979","4,542","2,149","4,407","2,960","5,345"
2021년12월_계_60~69세,"39,700","2,272","1,812","2,729","1,412","4,129","3,425","2,368","2,146","3,451","3,834","1,591","3,506","2,298","4,727"
2021년12월_계_70~79세,"23,288","1,349",953,"1,403",899,"2,566","1,931","1,609","1,197","1,922","2,196",927,"2,150","1,293","2,893"
2021년12월_계_80~89세,"11,802",790,452,720,515,"1,369","1,011",872,596,"1,034","1,157",448,999,611,"1,228"
2021년12월_계_90~99세,"1,561",95,58,125,73,206,115,88,79,127,168,63,131,74,159
2021년12월_계_100세 이상,73,5,5,8,5,9,4,3,5,8,7,4,7,1,2
2021년12월_남_총인구수,"145,694","8,121","7,644","9,807","8,756","16,737","11,090","7,410","6,471","10,957","12,796","7,384","14,416","8,676","15,429"
2021년12월_남_연령구간인구수,"145,694","8,121","7,644","9,807","8,756","16,737","11,090","7,410","6,471","10,957","12,796","7,384","14,416","8,676","15,429"
2021년12월_남_0~9세,"9,632",577,701,588,355,762,721,360,404,727,599,"1,037","1,344",680,777
2021년12월_남_10~19세,"11,246",681,496,620,403,"1,147",897,558,497,840,"1,072",714,"1,142","1,001","1,178"
2021년12월_남_20~29세,"23,212","1,014",990,"1,593","3,016","3,769","1,477","1,002",863,"1,380","2,023",684,"2,091","1,002","2,308"
2021년12월_남_30~39세,"21,880","1,144","1,352","1,644","1,781","2,744","1,601","1,011",906,"1,503","1,862",981,"2,154","1,069","2,128"
2021년12월_남_40~49세,"22,345","1,255","1,307","1,481",955,"2,253","1,683","1,027",908,"1,636","1,831","1,565","2,475","1,581","2,388"
2021년12월_남_50~59세,"23,685","1,511","1,359","1,617",971,"2,458","1,891","1,314","1,158","1,935","2,210","1,058","2,186","1,430","2,587"
2021년12월_남_60~69세,"18,753","1,095",863,"1,330",661,"1,905","1,557","1,106","1,014","1,679","1,759",744,"1,683","1,091","2,266"
2021년12월_남_70~79세,"9,968",548,399,634,388,"1,079",834,674,476,832,964,390,918,557,"1,275"
2021년12월_남_80~89세,"4,542",271,161,266,202,548,399,328,223,392,444,189,389,249,481
2021년12월_남_90~99세,415,23,15,32,22,70,30,30,20,32,32,21,31,16,41
2021년12월_남_100세 이상,16,2,1,2,2,2,0,0,2,1,0,1,3,0,0
2021년12월_여_총인구수,"159,125","9,000","8,286","10,548","10,996","18,239","12,586","7,926","7,232","11,740","13,700","8,025","15,364","9,333","16,150"
2021년12월_여_연령구간인구수,"159,125","9,000","8,286","10,548","10,996","18,239","12,586","7,926","7,232","11,740","13,700","8,025","15,364","9,333","16,150"
2021년12월_여_0~9세,"9,249",575,685,589,312,777,726,351,347,709,591,986,"1,295",625,681
2021년12월_여_10~19세,"11,247",692,519,658,485,"1,147",925,485,493,838,989,774,"1,199",932,"1,111"
2021년12월_여_20~29세,"25,684","1,118","1,168","1,745","4,813","3,762","1,544","1,020",856,"1,396","2,074",734,"2,147","1,050","2,257"
2021년12월_여_30~39세,"22,355","1,163","1,457","1,708","1,756","2,763","1,708",921,959,"1,505","1,641","1,262","2,299","1,207","2,006"
2021년12월_여_40~49세,"22,905","1,369","1,244","1,476","1,014","2,447","1,868","1,009",986,"1,642","1,910","1,490","2,434","1,625","2,391"
2021년12월_여_50~59세,"24,955","1,511","1,372","1,651",987,"2,668","2,149","1,338","1,303","2,044","2,332","1,091","2,221","1,530","2,758"
2021년12월_여_60~69세,"20,947","1,177",949,"1,399",751,"2,224","1,868","1,262","1,132","1,772","2,075",847,"1,823","1,207","2,461"
2021년12월_여_70~79세,"13,320",801,554,769,511,"1,487","1,097",935,721,"1,090","1,232",537,"1,232",736,"1,618"
2021년12월_여_80~89세,"7,260",519,291,454,313,821,612,544,373,642,713,259,610,362,747
2021년12월_여_90~99세,"1,146",72,43,93,51,136,85,58,59,95,136,42,100,58,118
2021년12월_여_100세 이상,57,3,4,6,3,7,4,3,3,7,7,3,4,1,2
