카테고리,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2021년04월_계_총인구수,"420,318","20,757","22,122","32,291","31,181","27,699","11,399","32,040","15,839","22,336","19,179","20,953","17,039","19,869","20,195","23,540","43,789","22,200","17,890"
2021년04월_계_연령구간인구수,"420,318","20,757","22,122","32,291","31,181","27,699","11,399","32,040","15,839","22,336","19,179","20,953","17,039","19,869","20,195","23,540","43,789","22,200","17,890"
2021년04월_계_0~9세,"32,899","1,473","1,911","1,751","2,958","2,087",536,"3,010","1,806","1,978","1,666","1,483","1,129","1,137","1,255","1,634","3,775","1,399","1,911"
2021년04월_계_10~19세,"44,925","1,924","1,972","2,828","4,201","3,392","1,811","3,516","2,793","2,964","2,159","2,732","1,320","1,616","1,885","2,615","4,285","1,593","1,319"
2021년04월_계_20~29세,"54,113","2,775","3,093","5,346","3,539","3,558","1,451","4,121","1,333","2,494","2,236","2,658","2,455","2,786","2,583","3,121","5,320","3,334","1,910"
2021년04월_계_30~39세,"61,953","3,537","4,382","5,523","3,562","3,732",841,"5,351","1,476","2,602","2,573","2,399","2,933","3,066","2,779","3,510","6,595","4,421","2,671"
2021년04월_계_40~49세,"76,336","3,783","4,028","5,072","6,321","5,335","2,074","6,596","3,644","4,529","3,566","3,918","2,768","3,040","3,055","4,268","7,610","3,694","3,035"
2021년04월_계_50~59세,"63,090","2,984","2,932","4,915","4,810","4,613","2,138","4,178","2,147","3,546","2,886","3,435","2,432","3,099","3,335","3,590","6,238","3,352","2,460"
2021년04월_계_60~69세,"47,874","2,370","2,122","3,727","3,058","2,853","1,240","3,016","1,346","2,249","2,325","2,274","2,128","2,871","3,051","2,412","5,700","2,637","2,495"
2021년04월_계_70~79세,"27,308","1,341","1,233","2,185","1,858","1,399",945,"1,628",914,"1,340","1,245","1,329","1,318","1,633","1,572","1,619","3,000","1,291","1,458"
2021년04월_계_80~89세,"9,913",482,374,800,728,596,318,526,323,515,426,615,480,522,571,686,"1,038",384,529
2021년04월_계_90~99세,"1,764",88,68,135,124,117,39,90,47,101,94,105,70,94,105,82,223,90,92
2021년04월_계_100세 이상,143,0,7,9,22,17,6,8,10,18,3,5,6,5,4,3,5,5,10
2021년04월_남_총인구수,"201,075","10,001","10,536","15,645","15,156","13,294","5,402","15,520","7,578","10,610","9,049","9,717","7,974","9,304","9,773","10,768","20,938","11,105","8,705"
2021년04월_남_연령구간인구수,"201,075","10,001","10,536","15,645","15,156","13,294","5,402","15,520","7,578","10,610","9,049","9,717","7,974","9,304","9,773","10,768","20,938","11,105","8,705"
2021년04월_남_0~9세,"16,947",770,922,920,"1,575","1,095",273,"1,489",964,"1,031",870,754,577,575,651,809,"1,940",772,960
2021년04월_남_10~19세,"22,903",997,"1,057","1,618","2,165","1,737",921,"1,804","1,370","1,509","1,111","1,281",699,804,964,"1,197","2,201",795,673
2021년04월_남_20~29세,"26,004","1,336","1,402","2,472","1,719","1,707",714,"1,862",657,"1,247","1,090","1,245","1,158","1,385","1,342","1,376","2,614","1,680",998
2021년04월_남_30~39세,"28,497","1,636","1,968","2,611","1,505","1,708",374,"2,481",566,"1,141","1,122","1,049","1,330","1,423","1,338","1,572","3,158","2,283","1,232"
2021년04월_남_40~49세,"35,834","1,806","1,930","2,394","2,937","2,439",849,"3,283","1,661","2,026","1,628","1,733","1,276","1,423","1,386","1,906","3,719","1,895","1,543"
2021년04월_남_50~59세,"31,100","1,447","1,475","2,418","2,512","2,338","1,081","2,193","1,163","1,803","1,366","1,719","1,128","1,397","1,563","1,732","2,955","1,652","1,158"
2021년04월_남_60~69세,"22,120","1,132",989,"1,756","1,444","1,349",594,"1,412",624,"1,024","1,059","1,058",955,"1,258","1,447","1,108","2,505","1,236","1,170"
2021년04월_남_70~79세,"12,798",647,580,"1,054",896,639,416,751,410,590,590,586,608,773,788,733,"1,401",611,725
2021년04월_남_80~89세,"4,354",203,189,361,356,240,164,222,150,212,184,260,215,241,264,319,390,165,219
2021년04월_남_90~99세,479,27,21,37,41,34,15,22,8,26,28,32,24,24,30,16,54,15,25
2021년04월_남_100세 이상,39,0,3,4,6,8,1,1,5,1,1,0,4,1,0,0,1,1,2
2021년04월_여_총인구수,"219,243","10,756","11,586","16,646","16,025","14,405","5,997","16,520","8,261","11,726","10,130","11,236","9,065","10,565","10,422","12,772","22,851","11,095","9,185"
2021년04월_여_연령구간인구수,"219,243","10,756","11,586","16,646","16,025","14,405","5,997","16,520","8,261","11,726","10,130","11,236","9,065","10,565","10,422","12,772","22,851","11,095","9,185"
2021년04월_여_0~9세,"15,952",703,989,831,"1,383",992,263,"1,521",842,947,796,729,552,562,604,825,"1,835",627,951
2021년04월_여_10~19세,"22,022",927,915,"1,210","2,036","1,655",890,"1,712","1,423","1,455","1,048","1,451",621,812,921,"1,418","2,084",798,646
2021년04월_여_20~29세,"28,109","1,439","1,691","2,874","1,820","1,851",737,"2,259",676,"1,247","1,146","1,413","1,297","1,401","1,241","1,745","2,706","1,654",912
2021년04월_여_30~39세,"33,456","1,901","2,414","2,912","2,057","2,024",467,"2,870",910,"1,461","1,451","1,350","1,603","1,643","1,441","1,938","3,437","2,138","1,439"
2021년04월_여_40~49세,"40,502","1,977","2,098","2,678","3,384","2,896","1,225","3,313","1,983","2,503","1,938","2,185","1,492","1,617","1,669","2,362","3,891","1,799","1,492"
2021년04월_여_50~59세,"31,990","1,537","1,457","2,497","2,298","2,275","1,057","1,985",984,"1,743","1,520","1,716","1,304","1,702","1,772","1,858","3,283","1,700","1,302"
2021년04월_여_60~69세,"25,754","1,238","1,133","1,971","1,614","1,504",646,"1,604",722,"1,225","1,266","1,216","1,173","1,613","1,604","1,304","3,195","1,401","1,325"
2021년04월_여_70~79세,"14,510",694,653,"1,131",962,760,529,877,504,750,655,743,710,860,784,886,"1,599",680,733
2021년04월_여_80~89세,"5,559",279,185,439,372,356,154,304,173,303,242,355,265,281,307,367,648,219,310
2021년04월_여_90~99세,"1,285",61,47,98,83,83,24,68,39,75,66,73,46,70,75,66,169,75,67
2021년04월_여_100세 이상,104,0,4,5,16,9,5,7,5,17,2,5,2,4,4,3,4,4,8
