,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2020년05월_계_총인구수,"297,820","17,322","27,276","23,148","11,825","14,640","24,385","15,914","15,775","23,768","14,884","26,909","16,715","13,917","17,003","11,294","10,945","12,100"
2020년05월_계_연령구간인구수,"297,820","17,322","27,276","23,148","11,825","14,640","24,385","15,914","15,775","23,768","14,884","26,909","16,715","13,917","17,003","11,294","10,945","12,100"
2020년05월_계_0~9세,"21,133","1,239","2,454","1,257",437,"1,016","1,890","1,214","1,334","1,765","1,417","2,689","1,055",815,897,605,580,469
2020년05월_계_10~19세,"20,911","1,254","1,646","1,749",877,"1,061","2,226","1,731","1,112","1,569",978,"1,710","1,184",972,970,551,637,684
2020년05월_계_20~29세,"45,596","2,562","4,424","4,441","4,425","2,341","3,059","1,780","1,858","3,026","1,564","3,071","2,591","2,230","2,436","2,064","1,719","2,005"
2020년05월_계_30~39세,"50,017","2,983","4,863","3,273","1,634","2,414","3,793","2,285","2,845","4,283","2,829","5,266","2,930","2,566","2,666","2,016","1,668","1,703"
2020년05월_계_40~49세,"46,158","2,702","4,070","3,155","1,138","2,232","4,227","3,011","2,603","3,814","2,623","4,472","2,482","2,186","2,438","1,521","1,640","1,844"
2020년05월_계_50~59세,"48,100","2,816","4,469","3,816","1,290","2,379","3,948","2,450","2,396","3,734","2,159","3,976","3,052","2,157","3,254","1,852","2,043","2,309"
2020년05월_계_60~69세,"35,688","2,065","2,934","2,922",937,"1,715","2,696","1,680","1,999","2,956","1,765","3,094","2,068","1,693","2,544","1,459","1,560","1,601"
2020년05월_계_70~79세,"20,551","1,175","1,609","1,735",760,"1,011","1,738","1,198","1,094","1,765","1,060","1,738",921,882,"1,242",838,755,"1,030"
