,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2020년10월_계_총인구수,"438,973","16,951","23,679","15,609","15,347","24,621","15,259","15,920","18,791","23,506","15,560","25,706","36,483","17,153","39,880","26,947","19,974","20,273","13,917","17,748","35,649"
2020년10월_계_연령구간인구수,"438,973","16,951","23,679","15,609","15,347","24,621","15,259","15,920","18,791","23,506","15,560","25,706","36,483","17,153","39,880","26,947","19,974","20,273","13,917","17,748","35,649"
2020년10월_계_0~9세,"29,240",790,"1,172",577,853,"2,067",455,"1,008","1,442","1,511",639,"1,736","4,069","1,496","2,757","2,133","1,132",944,624,"1,800","2,035"
2020년10월_계_10~19세,"37,525","1,223","1,941",962,"1,360","2,858",870,983,"1,832","1,911","1,000","2,197","4,870","1,424","3,719","2,631","1,509","1,598",911,"1,442","2,284"
2020년10월_계_20~29세,"67,046","2,798","4,289","4,463","2,081","3,014","5,090","2,746","2,323","3,236","3,136","3,241","3,487","2,146","5,871","3,036","3,586","3,035","1,918","2,312","5,238"
2020년10월_계_30~39세,"60,373","2,520","3,356","2,528","1,994","3,066","2,047","2,669","2,700","3,142","1,893","3,376","4,811","2,553","5,276","3,600","2,751","2,476","1,731","2,846","5,038"
2020년10월_계_40~49세,"70,233","2,569","3,723","2,043","2,207","4,561","1,700","2,447","3,296","3,668","1,987","4,236","7,955","2,986","6,479","4,612","2,870","2,917","1,992","2,778","5,207"
2020년10월_계_50~59세,"69,590","2,779","3,682","1,941","2,753","4,054","2,073","2,564","2,853","3,754","2,388","4,170","4,963","2,767","6,379","4,264","3,047","3,852","2,456","2,838","6,013"
2020년10월_계_60~69세,"54,718","2,060","2,731","1,467","2,171","2,706","1,493","1,876","2,234","3,335","2,199","3,576","3,272","2,096","4,724","3,546","2,652","3,001","2,180","2,142","5,257"
2020년10월_계_70~79세,"33,707","1,374","1,836","1,084","1,283","1,471","1,010","1,094","1,413","2,015","1,510","2,175","2,098","1,151","2,927","2,178","1,624","1,654","1,435","1,134","3,241"
2020년10월_계_80~89세,"14,121",686,812,455,557,690,447,449,607,801,679,850,805,452,"1,470",828,696,694,562,389,"1,192"
2020년10월_계_90~99세,"2,040",136,104,71,75,124,60,69,77,115,120,126,126,64,235,95,96,87,80,53,127
2020년10월_계_100세 이상,380,16,33,18,13,10,14,15,14,18,9,23,27,18,43,24,11,15,28,14,17
2020년10월_남_총인구수,"211,780","7,935","11,278","6,562","7,168","11,719","7,714","7,695","9,066","11,388","7,710","12,431","17,352","8,294","19,646","13,041","9,597","9,895","6,876","8,780","17,633"
2020년10월_남_연령구간인구수,"211,780","7,935","11,278","6,562","7,168","11,719","7,714","7,695","9,066","11,388","7,710","12,431","17,352","8,294","19,646","13,041","9,597","9,895","6,876","8,780","17,633"
2020년10월_남_0~9세,"14,930",373,600,282,409,"1,055",231,508,770,768,322,918,"2,093",795,"1,421","1,084",588,451,307,915,"1,040"
2020년10월_남_10~19세,"19,068",658,"1,013",426,653,"1,442",454,482,898,982,515,"1,148","2,374",748,"2,016","1,269",763,826,467,735,"1,199"
2020년10월_남_20~29세,"32,351","1,294","1,921","1,435",966,"1,490","2,672","1,347","1,164","1,634","1,744","1,663","1,653","1,035","3,100","1,463","1,529","1,565",948,"1,133","2,595"
2020년10월_남_30~39세,"30,034","1,192","1,653","1,164",988,"1,429","1,139","1,359","1,323","1,610","1,061","1,626","2,184","1,231","2,617","1,772","1,419","1,345",925,"1,392","2,605"
2020년10월_남_40~49세,"34,585","1,230","1,813",984,"1,034","2,148",879,"1,241","1,603","1,800",974,"2,104","3,806","1,426","3,186","2,323","1,459","1,426","1,051","1,397","2,701"
2020년10월_남_50~59세,"34,313","1,314","1,867",958,"1,314","1,948","1,024","1,220","1,415","1,818","1,168","2,012","2,529","1,373","3,195","2,107","1,543","1,842","1,253","1,464","2,949"
2020년10월_남_60~69세,"25,707",960,"1,293",652,"1,006","1,274",706,885,"1,030","1,542",996,"1,629","1,469",993,"2,235","1,695","1,282","1,436","1,039","1,030","2,555"
2020년10월_남_70~79세,"14,730",587,777,461,562,632,424,469,606,883,638,953,920,498,"1,255",973,715,721,640,541,"1,475"
2020년10월_남_80~89세,"5,442",282,306,172,206,267,168,169,232,319,258,341,291,171,539,326,277,256,225,161,476
2020년10월_남_90~99세,524,37,27,22,25,32,13,10,23,30,32,33,26,19,69,23,21,23,19,10,30
2020년10월_남_100세 이상,96,8,8,6,5,2,4,5,2,2,2,4,7,5,13,6,1,4,2,2,8
2020년10월_여_총인구수,"227,193","9,016","12,401","9,047","8,179","12,902","7,545","8,225","9,725","12,118","7,850","13,275","19,131","8,859","20,234","13,906","10,377","10,378","7,041","8,968","18,016"
2020년10월_여_연령구간인구수,"227,193","9,016","12,401","9,047","8,179","12,902","7,545","8,225","9,725","12,118","7,850","13,275","19,131","8,859","20,234","13,906","10,377","10,378","7,041","8,968","18,016"
2020년10월_여_0~9세,"14,310",417,572,295,444,"1,012",224,500,672,743,317,818,"1,976",701,"1,336","1,049",544,493,317,885,995
2020년10월_여_10~19세,"18,457",565,928,536,707,"1,416",416,501,934,929,485,"1,049","2,496",676,"1,703","1,362",746,772,444,707,"1,085"
2020년10월_여_20~29세,"34,695","1,504","2,368","3,028","1,115","1,524","2,418","1,399","1,159","1,602","1,392","1,578","1,834","1,111","2,771","1,573","2,057","1,470",970,"1,179","2,643"
2020년10월_여_30~39세,"30,339","1,328","1,703","1,364","1,006","1,637",908,"1,310","1,377","1,532",832,"1,750","2,627","1,322","2,659","1,828","1,332","1,131",806,"1,454","2,433"
2020년10월_여_40~49세,"35,648","1,339","1,910","1,059","1,173","2,413",821,"1,206","1,693","1,868","1,013","2,132","4,149","1,560","3,293","2,289","1,411","1,491",941,"1,381","2,506"
2020년10월_여_50~59세,"35,277","1,465","1,815",983,"1,439","2,106","1,049","1,344","1,438","1,936","1,220","2,158","2,434","1,394","3,184","2,157","1,504","2,010","1,203","1,374","3,064"
2020년10월_여_60~69세,"29,011","1,100","1,438",815,"1,165","1,432",787,991,"1,204","1,793","1,203","1,947","1,803","1,103","2,489","1,851","1,370","1,565","1,141","1,112","2,702"
2020년10월_여_70~79세,"18,977",787,"1,059",623,721,839,586,625,807,"1,132",872,"1,222","1,178",653,"1,672","1,205",909,933,795,593,"1,766"
2020년10월_여_80~89세,"8,679",404,506,283,351,423,279,280,375,482,421,509,514,281,931,502,419,438,337,228,716
2020년10월_여_90~99세,"1,516",99,77,49,50,92,47,59,54,85,88,93,100,45,166,72,75,64,61,43,97
2020년10월_여_100세 이상,284,8,25,12,8,8,10,10,12,16,7,19,20,13,30,18,10,11,26,12,9
