카테고리,서울특별시 송파구,서울특별시 송파구 풍납1동,서울특별시 송파구 풍납2동,서울특별시 송파구 거여1동,서울특별시 송파구 거여2동,서울특별시 송파구 마천1동,서울특별시 송파구 마천2동,서울특별시 송파구 방이1동,서울특별시 송파구 방이2동,서울특별시 송파구 오륜동,서울특별시 송파구 오금동,서울특별시 송파구 송파1동,서울특별시 송파구 송파2동,서울특별시 송파구 석촌동,서울특별시 송파구 삼전동,서울특별시 송파구 가락본동,서울특별시 송파구 가락1동,서울특별시 송파구 가락2동,서울특별시 송파구 문정1동,서울특별시 송파구 문정2동,서울특별시 송파구 장지동,서울특별시 송파구 위례동,서울특별시 송파구 잠실본동,서울특별시 송파구 잠실2동,서울특별시 송파구 잠실3동,서울특별시 송파구 잠실4동,서울특별시 송파구 잠실6동,서울특별시 송파구 잠실7동
2021년03월_계_총인구수,"661,411","13,524","25,358","12,769","19,045","19,334","19,215","16,004","26,116","18,341","39,052","24,506","19,772","32,095","31,059","26,836","27,327","32,786","20,469","29,209","29,816","31,987","28,278","35,585","34,802","21,397","16,982","9,747"
2021년03월_계_연령구간인구수,"661,411","13,524","25,358","12,769","19,045","19,334","19,215","16,004","26,116","18,341","39,052","24,506","19,772","32,095","31,059","26,836","27,327","32,786","20,469","29,209","29,816","31,987","28,278","35,585","34,802","21,397","16,982","9,747"
2021년03월_계_0~9세,"49,503",672,"1,912",642,"1,326",911,878,"1,043","1,171","1,292","2,793","1,196","1,541","1,560","1,535","1,601","3,121","2,552","1,307","1,657","2,321","5,124","1,248","4,076","3,244","2,750","1,454",576
2021년03월_계_10~19세,"58,349",866,"2,033",974,"1,532","1,594","1,338","1,645","1,244","2,748","3,154","1,367","1,871","1,859","1,979","1,856","2,240","3,499","1,494","1,439","2,710","4,188","1,751","5,815","4,034","2,383","1,718","1,018"
2021년03월_계_20~29세,"92,926","1,672","3,825","1,831","2,230","2,324","2,428","2,477","5,208","2,174","5,503","4,546","2,778","5,521","5,322","4,148","3,356","4,526","3,236","5,247","4,067","3,039","5,077","3,300","3,803","1,997","2,015","1,276"
2021년03월_계_30~39세,"108,429","1,883","4,233","1,734","2,667","2,206","2,242","2,249","5,956","1,689","5,577","5,357","2,898","6,926","6,543","4,725","5,066","4,765","3,551","7,439","4,726","5,436","6,123","3,895","4,294","2,976","2,286",987
2021년03월_계_40~49세,"108,182","1,906","4,035","1,869","3,008","2,765","2,703","2,633","3,669","3,320","5,745","3,476","3,119","4,860","5,122","3,871","4,357","5,621","2,892","4,334","4,733","6,445","4,410","8,590","6,227","4,346","2,756","1,370"
2021년03월_계_50~59세,"101,730","2,343","3,669","2,309","3,292","3,558","3,668","2,685","3,616","3,139","6,808","3,464","3,195","4,671","4,480","4,684","4,040","5,224","3,339","3,517","4,862","3,748","4,089","4,879","5,219","2,917","2,652","1,663"
2021년03월_계_60~69세,"84,924","2,468","3,323","1,942","2,772","3,269","3,397","1,988","3,197","2,462","5,716","3,048","2,728","3,974","3,698","3,730","3,384","4,128","2,964","3,149","3,823","2,505","3,383","2,909","4,657","2,434","2,421","1,455"
2021년03월_계_70~79세,"40,569","1,194","1,651","1,045","1,545","1,896","1,749",853,"1,503","1,066","2,539","1,486","1,160","1,999","1,721","1,553","1,385","1,700","1,206","1,625","1,745","1,048","1,604","1,581","2,485","1,167","1,148",915
2021년03월_계_80~89세,"14,223",458,576,368,562,714,702,365,478,353,"1,000",485,400,631,545,582,314,659,406,687,671,351,512,472,705,360,451,416
2021년03월_계_90~99세,"2,459",61,92,53,105,95,107,60,71,97,204,80,77,88,107,83,61,106,69,110,153,100,76,66,129,66,75,68
2021년03월_계_100세 이상,117,1,9,2,6,2,3,6,3,1,13,1,5,6,7,3,3,6,5,5,5,3,5,2,5,1,6,3
2021년03월_남_총인구수,"319,047","6,627","12,040","6,463","9,342","9,872","9,760","7,716","12,254","9,025","18,908","11,465","9,479","15,310","14,658","13,308","13,253","16,126","10,110","13,499","14,418","15,554","13,362","17,052","16,567","10,278","8,044","4,557"
2021년03월_남_연령구간인구수,"319,047","6,627","12,040","6,463","9,342","9,872","9,760","7,716","12,254","9,025","18,908","11,465","9,479","15,310","14,658","13,308","13,253","16,126","10,110","13,499","14,418","15,554","13,362","17,052","16,567","10,278","8,044","4,557"
2021년03월_남_0~9세,"25,517",381,995,340,687,472,426,511,631,704,"1,438",609,795,793,785,815,"1,674","1,328",679,832,"1,187","2,597",627,"2,082","1,686","1,427",715,301
