카테고리,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2020년01월_계_총인구수,"457,887","31,948","31,241","22,928","26,642","42,888","21,382","21,916","16,413","18,915","15,391","6,541","21,424","21,394","20,518","47,723","34,721","25,242","30,660"
2020년01월_계_연령구간인구수,"457,887","31,948","31,241","22,928","26,642","42,888","21,382","21,916","16,413","18,915","15,391","6,541","21,424","21,394","20,518","47,723","34,721","25,242","30,660"
2020년01월_계_0~9세,"33,101","3,065","1,930","1,470","1,537","3,556","1,132","1,621","1,012","1,695","1,081",392,"1,260","1,920","1,382","3,833","1,980","2,148","2,087"
2020년01월_계_10~19세,"52,430","5,207","2,750","1,629","3,624","7,786","1,424","1,863","1,254","1,734","1,396",705,"1,526","3,163","3,014","5,501","2,501","3,755","3,598"
2020년01월_계_20~29세,"60,828","3,535","5,103","3,696","4,194","4,720","2,748","2,717","2,147","2,212","2,172",812,"2,784","2,564","2,755","6,080","5,366","3,300","3,923"
2020년01월_계_30~39세,"59,517","3,495","5,555","4,138","3,000","4,197","2,877","3,250","2,168","2,679","2,268",757,"2,880","2,232","1,947","6,149","5,613","2,879","3,433"
2020년01월_계_40~49세,"80,716","7,071","4,768","3,354","4,868","9,485","3,311","3,436","2,428","3,126","2,406","1,053","3,147","4,244","3,910","8,458","5,461","4,789","5,401"
2020년01월_계_50~59세,"77,333","4,986","5,054","3,815","4,854","6,760","4,042","3,480","3,119","3,010","2,637","1,142","3,773","3,564","3,722","7,956","5,586","4,420","5,413"
2020년01월_계_60~69세,"54,699","2,771","3,673","2,865","2,562","3,894","3,458","3,301","2,466","2,599","1,986",987,"3,381","2,083","2,162","5,513","4,706","2,474","3,818"
2020년01월_계_70~79세,"27,266","1,286","1,645","1,320","1,409","1,608","1,755","1,634","1,311","1,340","1,048",496,"1,823","1,078","1,069","2,966","2,600",940,"1,938"
2020년01월_계_80~89세,"10,229",447,652,553,524,716,543,528,441,458,346,161,751,443,473,"1,081",781,444,887
2020년01월_계_90~99세,"1,598",80,100,72,63,160,80,79,55,53,44,25,96,98,70,174,113,91,145
2020년01월_계_100세 이상,170,5,11,16,7,6,12,7,12,9,7,11,3,5,14,12,14,2,17
2020년01월_남_총인구수,"224,995","15,343","15,228","11,048","13,078","21,206","10,979","10,730","8,651","9,299","7,653","3,259","10,543","10,453","10,036","23,283","17,038","12,288","14,880"
2020년01월_남_연령구간인구수,"224,995","15,343","15,228","11,048","13,078","21,206","10,979","10,730","8,651","9,299","7,653","3,259","10,543","10,453","10,036","23,283","17,038","12,288","14,880"
2020년01월_남_0~9세,"17,031","1,539",956,769,769,"1,882",595,815,550,870,550,209,643,"1,030",689,"1,949","1,037","1,120","1,059"
2020년01월_남_10~19세,"27,369","2,610","1,478",899,"1,956","4,217",721,936,652,915,730,343,767,"1,600","1,581","2,854","1,285","1,945","1,880"
2020년01월_남_20~29세,"31,191","1,719","2,520","1,838","2,222","2,469","1,464","1,387","1,113","1,152","1,143",443,"1,483","1,304","1,428","3,135","2,599","1,703","2,069"
2020년01월_남_30~39세,"29,200","1,468","2,830","2,057","1,510","1,824","1,568","1,649","1,207","1,303","1,177",405,"1,530",984,891,"2,999","2,917","1,256","1,625"
2020년01월_남_40~49세,"38,651","3,269","2,261","1,607","2,137","4,250","1,727","1,745","1,350","1,587","1,189",522,"1,638","1,999","1,800","4,094","2,745","2,160","2,571"
2020년01월_남_50~59세,"38,458","2,592","2,422","1,729","2,424","3,511","2,105","1,672","1,694","1,452","1,261",562,"1,833","1,837","1,897","3,876","2,666","2,207","2,718"
2020년01월_남_60~69세,"26,391","1,359","1,747","1,352","1,242","1,928","1,733","1,527","1,308","1,226",981,460,"1,601","1,011","1,100","2,579","2,191","1,241","1,805"
2020년01월_남_70~79세,"12,747",614,768,597,642,830,863,792,584,630,490,247,771,510,456,"1,380","1,237",488,848
2020년01월_남_80~89세,"3,518",151,208,182,159,246,186,194,175,147,125,59,248,154,173,377,325,139,270
2020년01월_남_90~99세,397,20,33,15,15,49,12,11,14,15,6,7,26,22,19,38,33,29,33
2020년01월_남_100세 이상,42,2,5,3,2,0,5,2,4,2,1,2,3,2,2,2,3,0,2
2020년01월_여_총인구수,"232,892","16,605","16,013","11,880","13,564","21,682","10,403","11,186","7,762","9,616","7,738","3,282","10,881","10,941","10,482","24,440","17,683","12,954","15,780"
2020년01월_여_연령구간인구수,"232,892","16,605","16,013","11,880","13,564","21,682","10,403","11,186","7,762","9,616","7,738","3,282","10,881","10,941","10,482","24,440","17,683","12,954","15,780"
2020년01월_여_0~9세,"16,070","1,526",974,701,768,"1,674",537,806,462,825,531,183,617,890,693,"1,884",943,"1,028","1,028"
2020년01월_여_10~19세,"25,061","2,597","1,272",730,"1,668","3,569",703,927,602,819,666,362,759,"1,563","1,433","2,647","1,216","1,810","1,718"
2020년01월_여_20~29세,"29,637","1,816","2,583","1,858","1,972","2,251","1,284","1,330","1,034","1,060","1,029",369,"1,301","1,260","1,327","2,945","2,767","1,597","1,854"
2020년01월_여_30~39세,"30,317","2,027","2,725","2,081","1,490","2,373","1,309","1,601",961,"1,376","1,091",352,"1,350","1,248","1,056","3,150","2,696","1,623","1,808"
2020년01월_여_40~49세,"42,065","3,802","2,507","1,747","2,731","5,235","1,584","1,691","1,078","1,539","1,217",531,"1,509","2,245","2,110","4,364","2,716","2,629","2,830"
2020년01월_여_50~59세,"38,875","2,394","2,632","2,086","2,430","3,249","1,937","1,808","1,425","1,558","1,376",580,"1,940","1,727","1,825","4,080","2,920","2,213","2,695"
2020년01월_여_60~69세,"28,308","1,412","1,926","1,513","1,320","1,966","1,725","1,774","1,158","1,373","1,005",527,"1,780","1,072","1,062","2,934","2,515","1,233","2,013"
2020년01월_여_70~79세,"14,519",672,877,723,767,778,892,842,727,710,558,249,"1,052",568,613,"1,586","1,363",452,"1,090"
2020년01월_여_80~89세,"6,711",296,444,371,365,470,357,334,266,311,221,102,503,289,300,704,456,305,617
2020년01월_여_90~99세,"1,201",60,67,57,48,111,68,68,41,38,38,18,70,76,51,136,80,62,112
2020년01월_여_100세 이상,128,3,6,13,5,6,7,5,8,7,6,9,0,3,12,10,11,2,15
