,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2020년07월_계_총인구수,"457,543","31,767","30,816","22,606","26,216","42,482","21,072","21,501","16,060","18,524","15,232","13,005","20,849","21,034","20,192","46,945","33,961","25,124","30,157"
2020년07월_계_연령구간인구수,"457,543","31,767","30,816","22,606","26,216","42,482","21,072","21,501","16,060","18,524","15,232","13,005","20,849","21,034","20,192","46,945","33,961","25,124","30,157"
2020년07월_계_0~9세,"32,673","3,024","1,805","1,431","1,487","3,484","1,054","1,534",953,"1,569","1,043","1,339","1,151","1,851","1,352","3,589","1,834","2,126","2,047"
2020년07월_계_10~19세,"51,364","5,145","2,624","1,554","3,451","7,647","1,384","1,811","1,164","1,641","1,330","1,194","1,441","3,086","2,971","5,348","2,370","3,703","3,500"
2020년07월_계_20~29세,"60,545","3,458","5,090","3,615","4,188","4,642","2,707","2,697","2,110","2,178","2,158","1,528","2,715","2,523","2,648","6,014","5,304","3,229","3,741"
2020년07월_계_30~39세,"59,257","3,471","5,390","4,055","2,930","4,101","2,756","3,101","2,103","2,584","2,195","2,421","2,722","2,127","1,855","5,925","5,328","2,876","3,317"
2020년07월_계_40~49세,"79,900","7,015","4,673","3,263","4,652","9,348","3,201","3,380","2,323","3,068","2,351","2,065","3,024","4,115","3,869","8,210","5,306","4,752","5,285"
2020년07월_계_50~59세,"77,009","4,980","5,012","3,746","4,864","6,716","3,982","3,390","3,030","2,869","2,594","1,941","3,671","3,557","3,665","7,856","5,472","4,376","5,288"
2020년07월_계_60~69세,"56,323","2,787","3,766","2,947","2,609","3,968","3,512","3,275","2,508","2,691","2,080","1,550","3,432","2,134","2,187","5,648","4,747","2,571","3,911"
2020년07월_계_70~79세,"28,125","1,324","1,674","1,331","1,431","1,688","1,826","1,683","1,338","1,367","1,063",708,"1,836","1,103","1,091","3,050","2,651",961,"2,000"
2020년07월_계_80~89세,"10,509",469,658,573,530,718,546,546,464,493,366,209,761,438,466,"1,109",824,432,907
2020년07월_계_90~99세,"1,662",88,112,75,66,165,92,76,55,54,45,40,94,94,73,184,110,96,143
2020년07월_계_100세 이상,176,6,12,16,8,5,12,8,12,10,7,10,2,6,15,12,15,2,18
2020년07월_남_총인구수,"224,608","15,231","14,970","10,850","12,825","21,036","10,800","10,551","8,485","9,100","7,565","6,441","10,237","10,261","9,899","22,890","16,627","12,224","14,616"
2020년07월_남_연령구간인구수,"224,608","15,231","14,970","10,850","12,825","21,036","10,800","10,551","8,485","9,100","7,565","6,441","10,237","10,261","9,899","22,890","16,627","12,224","14,616"
2020년07월_남_0~9세,"16,770","1,514",889,759,726,"1,840",543,780,524,787,534,700,587,980,667,"1,845",954,"1,104","1,037"
2020년07월_남_10~19세,"26,741","2,569","1,411",849,"1,854","4,156",691,896,603,870,701,591,720,"1,565","1,549","2,765","1,210","1,913","1,828"
2020년07월_남_20~29세,"30,996","1,683","2,489","1,771","2,216","2,431","1,441","1,395","1,102","1,133","1,127",784,"1,448","1,279","1,386","3,106","2,580","1,661","1,964"
2020년07월_남_30~39세,"29,160","1,456","2,748","2,014","1,452","1,783","1,511","1,605","1,159","1,271","1,143","1,248","1,437",936,859,"2,893","2,779","1,280","1,586"
2020년07월_남_40~49세,"38,254","3,221","2,214","1,551","2,048","4,205","1,662","1,704","1,302","1,557","1,166","1,019","1,573","1,935","1,783","3,973","2,657","2,145","2,539"
2020년07월_남_50~59세,"38,287","2,602","2,396","1,711","2,417","3,478","2,088","1,641","1,666","1,390","1,238",939,"1,786","1,826","1,880","3,826","2,612","2,172","2,619"
2020년07월_남_60~69세,"27,098","1,367","1,783","1,382","1,273","1,963","1,777","1,505","1,326","1,265","1,015",728,"1,633","1,031","1,099","2,624","2,204","1,269","1,854"
2020년07월_남_70~79세,"13,203",634,787,605,655,886,880,808,603,650,495,346,767,532,477,"1,430","1,254",508,886
2020년07월_남_80~89세,"3,648",160,215,191,167,247,189,204,184,158,136,75,258,153,178,388,339,138,268
2020년07월_남_90~99세,406,23,33,14,15,47,13,11,12,17,8,9,26,22,18,38,34,34,32
2020년07월_남_100세 이상,45,2,5,3,2,0,5,2,4,2,2,2,2,2,3,2,4,0,3
2020년07월_여_총인구수,"232,935","16,536","15,846","11,756","13,391","21,446","10,272","10,950","7,575","9,424","7,667","6,564","10,612","10,773","10,293","24,055","17,334","12,900","15,541"
2020년07월_여_연령구간인구수,"232,935","16,536","15,846","11,756","13,391","21,446","10,272","10,950","7,575","9,424","7,667","6,564","10,612","10,773","10,293","24,055","17,334","12,900","15,541"
2020년07월_여_0~9세,"15,903","1,510",916,672,761,"1,644",511,754,429,782,509,639,564,871,685,"1,744",880,"1,022","1,010"
2020년07월_여_10~19세,"24,623","2,576","1,213",705,"1,597","3,491",693,915,561,771,629,603,721,"1,521","1,422","2,583","1,160","1,790","1,672"
2020년07월_여_20~29세,"29,549","1,775","2,601","1,844","1,972","2,211","1,266","1,302","1,008","1,045","1,031",744,"1,267","1,244","1,262","2,908","2,724","1,568","1,777"
2020년07월_여_30~39세,"30,097","2,015","2,642","2,041","1,478","2,318","1,245","1,496",944,"1,313","1,052","1,173","1,285","1,191",996,"3,032","2,549","1,596","1,731"
2020년07월_여_40~49세,"41,646","3,794","2,459","1,712","2,604","5,143","1,539","1,676","1,021","1,511","1,185","1,046","1,451","2,180","2,086","4,237","2,649","2,607","2,746"
2020년07월_여_50~59세,"38,722","2,378","2,616","2,035","2,447","3,238","1,894","1,749","1,364","1,479","1,356","1,002","1,885","1,731","1,785","4,030","2,860","2,204","2,669"
2020년07월_여_60~69세,"29,225","1,420","1,983","1,565","1,336","2,005","1,735","1,770","1,182","1,426","1,065",822,"1,799","1,103","1,088","3,024","2,543","1,302","2,057"
2020년07월_여_70~79세,"14,922",690,887,726,776,802,946,875,735,717,568,362,"1,069",571,614,"1,620","1,397",453,"1,114"
2020년07월_여_80~89세,"6,861",309,443,382,363,471,357,342,280,335,230,134,503,285,288,721,485,294,639
2020년07월_여_90~99세,"1,256",65,79,61,51,118,79,65,43,37,37,31,68,72,55,146,76,62,111
2020년07월_여_100세 이상,131,4,7,13,6,5,7,6,8,8,5,8,0,4,12,10,11,2,15
