카테고리,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2021년01월_계_총인구수,"230,045","17,671","9,951","7,648","19,761","16,108","14,158","10,253","12,315","20,533","28,090","8,710","6,951","9,288","21,196","13,213","14,199"
2021년01월_계_연령구간인구수,"230,045","17,671","9,951","7,648","19,761","16,108","14,158","10,253","12,315","20,533","28,090","8,710","6,951","9,288","21,196","13,213","14,199"
2021년01월_계_0~9세,"13,411",946,356,188,661,"1,313",926,781,764,"1,126","2,718",560,238,428,"1,164",788,454
2021년01월_계_10~19세,"15,563","1,265",530,259,"1,169",874,"1,253",755,825,993,"2,914",510,277,489,"1,174","1,479",797
2021년01월_계_20~29세,"33,405","2,596","1,546",968,"4,181","2,461","1,862","1,595","1,845","3,163","2,981",949,"1,050","1,408","2,778","1,809","2,213"
2021년01월_계_30~39세,"38,098","2,816","1,732","1,044","3,124","3,706","2,055","1,874","2,019","4,058","3,624","1,465","1,175","1,675","4,052","1,513","2,166"
2021년01월_계_40~49세,"35,612","2,789","1,387","1,106","2,741","2,609","2,292","1,577","1,861","2,867","4,907","1,251",884,"1,414","3,378","2,460","2,089"
2021년01월_계_50~59세,"37,106","2,876","1,444","1,620","3,129","2,230","2,353","1,571","1,983","3,478","4,586","1,407","1,128","1,307","3,275","2,233","2,486"
2021년01월_계_60~69세,"28,959","2,264","1,461","1,377","2,391","1,626","1,725","1,060","1,548","2,570","3,033","1,344","1,081","1,204","2,796","1,435","2,044"
2021년01월_계_70~79세,"17,249","1,356",930,692,"1,528",843,"1,055",639,985,"1,417","1,838",776,646,840,"1,647",800,"1,257"
2021년01월_계_80~89세,"8,637",602,454,289,694,358,552,328,398,675,"1,216",369,369,425,731,604,573
2021년01월_계_90~99세,"1,631",129,89,72,109,69,71,59,74,143,239,65,79,84,165,86,98
2021년01월_계_100세 이상,374,32,22,33,34,19,14,14,13,43,34,14,24,14,36,6,22
2021년01월_남_총인구수,"110,700","8,566","4,784","4,651","9,311","7,753","6,667","4,850","5,870","9,901","13,125","4,087","3,311","4,279","10,193","6,327","7,025"
2021년01월_남_연령구간인구수,"110,700","8,566","4,784","4,651","9,311","7,753","6,667","4,850","5,870","9,901","13,125","4,087","3,311","4,279","10,193","6,327","7,025"
2021년01월_남_0~9세,"6,928",487,188,92,325,662,466,401,384,587,"1,435",288,114,223,624,404,248
2021년01월_남_10~19세,"7,911",701,272,147,628,454,498,395,426,527,"1,453",258,141,230,589,741,451
2021년01월_남_20~29세,"15,891","1,299",808,457,"1,675","1,039",883,738,881,"1,414","1,451",473,553,697,"1,402",887,"1,234"
2021년01월_남_30~39세,"18,997","1,456",884,553,"1,697","1,803","1,039",905,986,"1,932","1,610",737,648,829,"1,984",734,"1,200"
2021년01월_남_40~49세,"17,537","1,342",717,708,"1,392","1,347","1,130",754,919,"1,403","2,207",622,432,679,"1,675","1,162","1,048"
2021년01월_남_50~59세,"18,338","1,405",667,"1,137","1,545","1,106","1,158",752,983,"1,726","2,206",648,525,581,"1,572","1,117","1,210"
2021년01월_남_60~69세,"13,819","1,046",652,967,"1,115",794,812,493,708,"1,302","1,454",597,481,505,"1,297",709,887
2021년01월_남_70~79세,"7,426",595,415,401,623,370,468,266,407,662,746,332,247,351,704,320,519
2021년01월_남_80~89세,"3,235",195,153,145,273,150,192,119,155,280,461,118,143,158,286,218,189
2021년01월_남_90~99세,508,34,22,28,28,23,17,25,16,54,93,12,20,23,49,32,32
2021년01월_남_100세 이상,110,6,6,16,10,5,4,2,5,14,9,2,7,3,11,3,7
2021년01월_여_총인구수,"119,345","9,105","5,167","2,997","10,450","8,355","7,491","5,403","6,445","10,632","14,965","4,623","3,640","5,009","11,003","6,886","7,174"
2021년01월_여_연령구간인구수,"119,345","9,105","5,167","2,997","10,450","8,355","7,491","5,403","6,445","10,632","14,965","4,623","3,640","5,009","11,003","6,886","7,174"
2021년01월_여_0~9세,"6,483",459,168,96,336,651,460,380,380,539,"1,283",272,124,205,540,384,206
2021년01월_여_10~19세,"7,652",564,258,112,541,420,755,360,399,466,"1,461",252,136,259,585,738,346
2021년01월_여_20~29세,"17,514","1,297",738,511,"2,506","1,422",979,857,964,"1,749","1,530",476,497,711,"1,376",922,979
2021년01월_여_30~39세,"19,101","1,360",848,491,"1,427","1,903","1,016",969,"1,033","2,126","2,014",728,527,846,"2,068",779,966
2021년01월_여_40~49세,"18,075","1,447",670,398,"1,349","1,262","1,162",823,942,"1,464","2,700",629,452,735,"1,703","1,298","1,041"
2021년01월_여_50~59세,"18,768","1,471",777,483,"1,584","1,124","1,195",819,"1,000","1,752","2,380",759,603,726,"1,703","1,116","1,276"
2021년01월_여_60~69세,"15,140","1,218",809,410,"1,276",832,913,567,840,"1,268","1,579",747,600,699,"1,499",726,"1,157"
2021년01월_여_70~79세,"9,823",761,515,291,905,473,587,373,578,755,"1,092",444,399,489,943,480,738
2021년01월_여_80~89세,"5,402",407,301,144,421,208,360,209,243,395,755,251,226,267,445,386,384
2021년01월_여_90~99세,"1,123",95,67,44,81,46,54,34,58,89,146,53,59,61,116,54,66
2021년01월_여_100세 이상,264,26,16,17,24,14,10,12,8,29,25,12,17,11,25,3,15
