,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2020년07월_계_총인구수,"481,184","37,462","40,013","28,683","23,639","29,240","33,164","27,350","29,892","27,403","25,392","47,107","27,865","21,113","15,590","9,890","57,381"
2020년07월_계_연령구간인구수,"481,184","37,462","40,013","28,683","23,639","29,240","33,164","27,350","29,892","27,403","25,392","47,107","27,865","21,113","15,590","9,890","57,381"
2020년07월_계_0~9세,"30,916","2,563","2,492","1,223","1,060","1,689","1,945","1,248","2,220","3,247","1,044","2,916","1,696","1,182",778,614,"4,999"
2020년07월_계_10~19세,"39,424","2,425","2,759","1,895","1,706","2,513","2,919","1,750","2,619","2,294","1,683","3,635","2,166","1,719","1,255",658,"7,428"
2020년07월_계_20~29세,"66,708","5,043","5,465","4,306","3,769","4,416","4,482","4,754","3,915","2,767","3,640","6,588","3,990","2,983","2,111","1,310","7,169"
2020년07월_계_30~39세,"69,516","6,133","5,553","3,976","3,198","4,073","4,235","4,259","4,948","5,113","3,434","6,924","4,185","2,887","2,084","1,429","7,085"
2020년07월_계_40~49세,"77,485","5,838","6,186","4,082","3,472","4,781","5,237","4,206","5,108","5,129","3,701","7,720","4,263","3,247","2,295","1,333","10,887"
2020년07월_계_50~59세,"77,331","5,921","6,774","4,988","4,047","4,843","5,707","4,180","4,448","3,568","4,287","7,663","4,580","3,544","2,631","1,772","8,378"
2020년07월_계_60~69세,"63,053","4,971","5,509","4,269","3,432","3,641","4,572","3,502","3,464","2,829","3,709","6,180","3,778","3,114","2,396","1,530","6,157"
2020년07월_계_70~79세,"38,942","3,153","3,526","2,767","2,139","2,277","2,778","2,363","2,182","1,686","2,630","3,829","2,260","1,662","1,438",829,"3,423"
2020년07월_계_80~89세,"15,316","1,215","1,521","1,036",694,875,"1,111",957,848,663,"1,109","1,452",839,672,522,362,"1,440"
2020년07월_계_90~99세,"2,078",177,195,129,108,113,158,109,130,87,136,175,98,91,71,48,253
2020년07월_계_100세 이상,415,23,33,12,14,19,20,22,10,20,19,25,10,12,9,5,162
2020년07월_남_총인구수,"231,384","17,893","18,979","13,946","11,536","13,921","16,511","12,788","14,230","13,326","12,409","22,338","13,480","10,533","7,649","4,918","26,927"
2020년07월_남_연령구간인구수,"231,384","17,893","18,979","13,946","11,536","13,921","16,511","12,788","14,230","13,326","12,409","22,338","13,480","10,533","7,649","4,918","26,927"
2020년07월_남_0~9세,"15,812","1,285","1,285",613,564,861,985,639,"1,147","1,686",554,"1,477",819,608,391,321,"2,577"
2020년07월_남_10~19세,"20,122","1,213","1,446",969,873,"1,257","1,399",828,"1,374","1,178",868,"1,822","1,133",954,665,358,"3,785"
2020년07월_남_20~29세,"32,222","2,388","2,688","2,161","1,912","2,132","2,218","2,088","1,780","1,389","1,860","3,171","2,057","1,533","1,063",672,"3,110"
2020년07월_남_30~39세,"34,609","3,078","2,716","2,110","1,686","2,049","2,160","2,144","2,463","2,439","1,799","3,389","2,117","1,527","1,068",754,"3,110"
2020년07월_남_40~49세,"38,296","2,948","3,007","2,102","1,745","2,293","2,622","2,067","2,496","2,623","1,898","3,827","2,090","1,657","1,137",683,"5,101"
2020년07월_남_50~59세,"37,225","2,819","3,157","2,308","1,894","2,276","2,886","2,022","2,165","1,742","2,144","3,594","2,162","1,701","1,294",884,"4,177"
2020년07월_남_60~69세,"29,077","2,239","2,500","1,984","1,581","1,658","2,322","1,551","1,500","1,278","1,707","2,744","1,745","1,500","1,143",750,"2,875"
2020년07월_남_70~79세,"17,212","1,379","1,510","1,240",956,983,"1,375","1,008",942,719,"1,109","1,694","1,004",752,643,354,"1,544"
2020년07월_남_80~89세,"6,153",498,600,420,290,373,494,404,321,241,431,577,326,265,224,127,562
2020년07월_남_90~99세,577,41,59,35,34,31,41,30,41,24,34,39,26,32,18,13,79
2020년07월_남_100세 이상,79,5,11,4,1,8,9,7,1,7,5,4,1,4,3,2,7
2020년07월_여_총인구수,"249,800","19,569","21,034","14,737","12,103","15,319","16,653","14,562","15,662","14,077","12,983","24,769","14,385","10,580","7,941","4,972","30,454"
2020년07월_여_연령구간인구수,"249,800","19,569","21,034","14,737","12,103","15,319","16,653","14,562","15,662","14,077","12,983","24,769","14,385","10,580","7,941","4,972","30,454"
2020년07월_여_0~9세,"15,104","1,278","1,207",610,496,828,960,609,"1,073","1,561",490,"1,439",877,574,387,293,"2,422"
2020년07월_여_10~19세,"19,302","1,212","1,313",926,833,"1,256","1,520",922,"1,245","1,116",815,"1,813","1,033",765,590,300,"3,643"
2020년07월_여_20~29세,"34,486","2,655","2,777","2,145","1,857","2,284","2,264","2,666","2,135","1,378","1,780","3,417","1,933","1,450","1,048",638,"4,059"
2020년07월_여_30~39세,"34,907","3,055","2,837","1,866","1,512","2,024","2,075","2,115","2,485","2,674","1,635","3,535","2,068","1,360","1,016",675,"3,975"
2020년07월_여_40~49세,"39,189","2,890","3,179","1,980","1,727","2,488","2,615","2,139","2,612","2,506","1,803","3,893","2,173","1,590","1,158",650,"5,786"
2020년07월_여_50~59세,"40,106","3,102","3,617","2,680","2,153","2,567","2,821","2,158","2,283","1,826","2,143","4,069","2,418","1,843","1,337",888,"4,201"
2020년07월_여_60~69세,"33,976","2,732","3,009","2,285","1,851","1,983","2,250","1,951","1,964","1,551","2,002","3,436","2,033","1,614","1,253",780,"3,282"
2020년07월_여_70~79세,"21,730","1,774","2,016","1,527","1,183","1,294","1,403","1,355","1,240",967,"1,521","2,135","1,256",910,795,475,"1,879"
2020년07월_여_80~89세,"9,163",717,921,616,404,502,617,553,527,422,678,875,513,407,298,235,878
2020년07월_여_90~99세,"1,501",136,136,94,74,82,117,79,89,63,102,136,72,59,53,35,174
2020년07월_여_100세 이상,336,18,22,8,13,11,11,15,9,13,14,21,9,8,6,3,155
