카테고리,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2021년10월_계_총인구수,"473,369","36,858","38,676","27,731","22,132","28,353","32,394","26,875","32,895","27,337","24,547","45,723","27,112","20,398","14,978","11,395","55,965"
2021년10월_계_연령구간인구수,"473,369","36,858","38,676","27,731","22,132","28,353","32,394","26,875","32,895","27,337","24,547","45,723","27,112","20,398","14,978","11,395","55,965"
2021년10월_계_0~9세,"27,862","2,389","2,208","1,008",908,"1,403","1,659","1,062","2,536","3,110",954,"2,433","1,488","1,030",686,722,"4,266"
2021년10월_계_10~19세,"37,334","2,178","2,601","1,683","1,448","2,357","2,807","1,530","2,688","2,303","1,486","3,351","2,006","1,582","1,152",767,"7,395"
2021년10월_계_20~29세,"65,639","4,925","5,136","4,219","3,533","4,307","4,361","4,839","4,448","2,633","3,580","6,511","3,823","2,905","2,012","1,498","6,909"
2021년10월_계_30~39세,"66,958","5,996","5,373","3,796","2,908","3,814","4,051","4,195","5,438","4,742","3,326","6,369","3,990","2,707","1,966","1,777","6,510"
2021년10월_계_40~49세,"74,154","5,546","5,709","3,635","3,086","4,511","4,955","3,887","5,580","5,263","3,398","7,390","4,120","3,068","2,170","1,536","10,300"
2021년10월_계_50~59세,"77,007","5,886","6,618","4,821","3,828","4,768","5,669","4,152","4,858","3,716","4,074","7,611","4,377","3,448","2,527","1,992","8,662"
2021년10월_계_60~69세,"66,739","5,290","5,744","4,542","3,550","3,815","4,807","3,655","3,928","3,014","3,817","6,498","4,068","3,221","2,474","1,730","6,586"
2021년10월_계_70~79세,"38,637","3,110","3,423","2,749","2,009","2,286","2,738","2,347","2,318","1,694","2,548","3,828","2,237","1,622","1,365",898,"3,465"
2021년10월_계_80~89세,"16,825","1,352","1,653","1,130",755,970,"1,197","1,067",983,746,"1,217","1,553",902,718,557,419,"1,606"
2021년10월_계_90~99세,"2,082",181,199,134,101,110,146,118,116,95,143,170,101,92,66,56,254
2021년10월_계_100세 이상,132,5,12,14,6,12,4,23,2,21,4,9,0,5,3,0,12
2021년10월_남_총인구수,"226,514","17,478","18,250","13,423","10,790","13,417","15,915","12,526","15,582","13,263","11,971","21,478","13,060","10,168","7,305","5,604","26,284"
2021년10월_남_연령구간인구수,"226,514","17,478","18,250","13,423","10,790","13,417","15,915","12,526","15,582","13,263","11,971","21,478","13,060","10,168","7,305","5,604","26,284"
2021년10월_남_0~9세,"14,295","1,192","1,134",507,484,725,818,561,"1,274","1,618",515,"1,218",735,543,356,374,"2,241"
2021년10월_남_10~19세,"19,103","1,059","1,378",857,756,"1,181","1,378",700,"1,416","1,201",777,"1,677","1,060",875,588,404,"3,796"
2021년10월_남_20~29세,"31,358","2,314","2,463","2,084","1,777","2,091","2,100","2,116","2,010","1,320","1,805","3,077","1,918","1,498",989,764,"3,032"
2021년10월_남_30~39세,"32,900","2,938","2,652","1,976","1,580","1,863","2,044","2,075","2,615","2,224","1,750","3,053","2,001","1,425","1,008",900,"2,796"
2021년10월_남_40~49세,"36,654","2,825","2,757","1,896","1,566","2,192","2,507","1,906","2,747","2,677","1,741","3,667","2,048","1,550","1,076",774,"4,725"
2021년10월_남_50~59세,"37,104","2,833","3,089","2,261","1,747","2,227","2,831","2,031","2,370","1,815","2,022","3,562","2,049","1,682","1,229","1,006","4,350"
2021년10월_남_60~69세,"30,794","2,373","2,606","2,126","1,630","1,722","2,368","1,638","1,753","1,369","1,782","2,885","1,885","1,551","1,185",839,"3,082"
2021년10월_남_70~79세,"16,891","1,342","1,450","1,217",906,973,"1,312","1,004",980,716,"1,054","1,678",970,739,611,389,"1,550"
2021년10월_남_80~89세,"6,814",559,653,459,321,405,515,452,383,290,483,620,370,274,245,145,640
2021년10월_남_90~99세,563,41,66,36,21,34,42,36,33,26,42,40,24,30,17,9,66
2021년10월_남_100세 이상,38,2,2,4,2,4,0,7,1,7,0,1,0,1,1,0,6
