,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2021년10월_계_총인구수,"145,346","12,011","9,367","2,478","9,631","18,145","8,312","10,088","4,156","7,188","5,130","7,289","16,515","4,926","7,980","6,640","5,867","9,623"
2021년10월_계_연령구간인구수,"145,346","12,011","9,367","2,478","9,631","18,145","8,312","10,088","4,156","7,188","5,130","7,289","16,515","4,926","7,980","6,640","5,867","9,623"
2021년10월_계_0~9세,"7,095",754,552,100,507,"1,154",659,837,181,187,98,223,619,136,208,366,254,260
2021년10월_계_10~19세,"10,543","1,155",680,175,861,"1,587",991,792,327,225,224,373,"1,336",215,441,478,347,336
2021년10월_계_20~29세,"22,957","1,567","1,207",326,"1,241","2,364",907,"1,218",484,930,"1,106","1,613","4,393",601,"1,141",909,756,"2,194"
2021년10월_계_30~39세,"19,475","1,593","1,456",309,"1,214","2,180",906,"1,579",543,919,742,"1,238","2,036",548,898,939,802,"1,573"
2021년10월_계_40~49세,"21,176","2,095","1,469",353,"1,578","2,684","1,422","1,802",710,920,562,904,"2,148",583,986,889,861,"1,210"
2021년10월_계_50~59세,"24,947","1,919","1,520",382,"1,678","3,254","1,424","1,577",717,"1,318",884,"1,084","2,378","1,023","1,792","1,233","1,139","1,625"
2021년10월_계_60~69세,"20,331","1,401","1,204",413,"1,334","2,652","1,047","1,178",570,"1,408",773,938,"1,649","1,033","1,383","1,052",934,"1,362"
2021년10월_계_70~79세,"11,712",929,717,247,753,"1,310",586,724,395,809,492,566,"1,177",513,766,507,499,722
2021년10월_계_80~89세,"6,115",521,471,142,387,793,325,337,194,401,220,306,673,242,324,232,242,305
2021년10월_계_90~99세,941,72,88,25,74,160,41,42,33,65,27,40,102,32,38,34,33,35
2021년10월_계_100세 이상,54,5,3,6,4,7,4,2,2,6,2,4,4,0,3,1,0,1
2021년10월_남_총인구수,"70,552","5,553","4,206","1,178","4,599","8,453","3,868","4,653","1,919","4,252","2,747","3,446","7,988","2,632","4,105","3,270","2,830","4,853"
2021년10월_남_연령구간인구수,"70,552","5,553","4,206","1,178","4,599","8,453","3,868","4,653","1,919","4,252","2,747","3,446","7,988","2,632","4,105","3,270","2,830","4,853"
2021년10월_남_0~9세,"3,589",386,275,44,255,604,301,420,97,95,49,111,301,65,117,200,136,133
2021년10월_남_10~19세,"5,243",616,300,99,468,792,447,373,170,115,104,176,665,116,228,239,159,176
2021년10월_남_20~29세,"11,074",774,546,167,647,"1,171",422,566,221,445,531,744,"2,186",317,597,479,368,893
2021년10월_남_30~39세,"9,696",740,643,143,590,"1,016",412,704,255,524,436,619,"1,081",317,522,465,404,825
2021년10월_남_40~49세,"10,264",928,646,170,719,"1,204",666,845,336,559,334,454,"1,030",298,519,444,450,662
2021년10월_남_50~59세,"12,548",874,691,194,759,"1,477",738,769,335,913,507,536,"1,155",582,942,584,559,933
2021년10월_남_60~69세,"10,150",628,569,189,640,"1,246",487,535,263,918,447,441,788,587,703,534,443,732
2021년10월_남_70~79세,"5,207",370,298,112,344,586,251,289,157,466,231,243,484,249,330,226,213,358
2021년10월_남_80~89세,"2,480",214,204,48,158,318,129,140,78,195,100,107,265,90,130,83,90,131
2021년10월_남_90~99세,283,22,32,11,18,36,13,12,6,18,7,14,33,11,17,15,8,10
2021년10월_남_100세 이상,18,1,2,1,1,3,2,0,1,4,1,1,0,0,0,1,0,0
2021년10월_여_총인구수,"74,794","6,458","5,161","1,300","5,032","9,692","4,444","5,435","2,237","2,936","2,383","3,843","8,527","2,294","3,875","3,370","3,037","4,770"
2021년10월_여_연령구간인구수,"74,794","6,458","5,161","1,300","5,032","9,692","4,444","5,435","2,237","2,936","2,383","3,843","8,527","2,294","3,875","3,370","3,037","4,770"
2021년10월_여_0~9세,"3,506",368,277,56,252,550,358,417,84,92,49,112,318,71,91,166,118,127
2021년10월_여_10~19세,"5,300",539,380,76,393,795,544,419,157,110,120,197,671,99,213,239,188,160
2021년10월_여_20~29세,"11,883",793,661,159,594,"1,193",485,652,263,485,575,869,"2,207",284,544,430,388,"1,301"
2021년10월_여_30~39세,"9,779",853,813,166,624,"1,164",494,875,288,395,306,619,955,231,376,474,398,748
2021년10월_여_40~49세,"10,912","1,167",823,183,859,"1,480",756,957,374,361,228,450,"1,118",285,467,445,411,548
2021년10월_여_50~59세,"12,399","1,045",829,188,919,"1,777",686,808,382,405,377,548,"1,223",441,850,649,580,692
2021년10월_여_60~69세,"10,181",773,635,224,694,"1,406",560,643,307,490,326,497,861,446,680,518,491,630
2021년10월_여_70~79세,"6,505",559,419,135,409,724,335,435,238,343,261,323,693,264,436,281,286,364
2021년10월_여_80~89세,"3,635",307,267,94,229,475,196,197,116,206,120,199,408,152,194,149,152,174
2021년10월_여_90~99세,658,50,56,14,56,124,28,30,27,47,20,26,69,21,21,19,25,25
2021년10월_여_100세 이상,36,4,1,5,3,4,2,2,1,2,1,3,4,0,3,0,0,1
