카테고리,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2021년04월_계_총인구수,"124,477","2,193","5,096","2,938","4,018","4,575","5,353","1,778","7,670","14,101","16,914","13,893","10,472","10,558","12,613","12,305"
2021년04월_계_연령구간인구수,"124,477","2,193","5,096","2,938","4,018","4,575","5,353","1,778","7,670","14,101","16,914","13,893","10,472","10,558","12,613","12,305"
2021년04월_계_0~9세,"6,588",160,192,84,187,181,132,43,251,542,"1,055",750,564,708,729,"1,010"
2021년04월_계_10~19세,"6,699",124,200,133,177,276,196,35,288,793,948,865,536,853,518,757
2021년04월_계_20~29세,"18,376",249,507,361,728,"1,166","1,000",196,"1,357","2,366","1,972","1,952","1,658","1,393","2,091","1,380"
2021년04월_계_30~39세,"19,937",466,533,413,627,668,863,305,"1,296","2,208","2,367","2,152","1,701","1,340","2,781","2,217"
2021년04월_계_40~49세,"17,838",482,661,425,492,571,634,197,"1,049","2,030","2,409","1,915","1,543","1,563","1,842","2,025"
2021년04월_계_50~59세,"20,457",306,945,496,594,591,853,304,"1,370","2,297","2,816","2,355","1,867","1,955","1,763","1,945"
2021년04월_계_60~69세,"17,881",241,"1,033",524,611,523,860,395,"1,072","2,008","2,738","1,993","1,353","1,459","1,577","1,494"
2021년04월_계_70~79세,"10,639",105,592,312,352,375,542,202,658,"1,221","1,624","1,197",840,772,910,937
2021년04월_계_80~89세,"4,961",45,299,151,189,192,215,71,262,540,822,620,357,430,338,430
2021년04월_계_90~99세,910,10,89,29,52,29,43,22,59,82,154,85,47,72,60,77
2021년04월_계_100세 이상,191,5,45,10,9,3,15,8,8,14,9,9,6,13,4,33
2021년04월_남_총인구수,"60,787","1,068","2,695","1,258","2,086","2,303","2,738","1,070","3,813","6,839","7,978","6,573","5,087","5,115","6,033","6,131"
2021년04월_남_연령구간인구수,"60,787","1,068","2,695","1,258","2,086","2,303","2,738","1,070","3,813","6,839","7,978","6,573","5,087","5,115","6,033","6,131"
2021년04월_남_0~9세,"3,399",84,107,50,103,94,69,19,103,288,523,379,281,399,379,521
2021년04월_남_10~19세,"3,334",41,81,61,92,136,93,15,139,424,479,429,269,424,258,393
2021년04월_남_20~29세,"8,652",100,231,166,359,607,423,86,620,"1,134",969,949,760,697,874,677
2021년04월_남_30~39세,"9,970",221,252,214,339,356,478,172,665,"1,157","1,142","1,067",845,630,"1,372","1,060"
2021년04월_남_40~49세,"9,146",256,366,184,287,302,344,125,573,"1,039","1,188",937,795,766,916,"1,068"
2021년04월_남_50~59세,"10,362",155,546,205,342,300,480,222,733,"1,087","1,336","1,134",973,945,902,"1,002"
2021년04월_남_60~69세,"8,916",135,611,216,307,257,465,269,546,933,"1,276",956,660,738,764,783
2021년04월_남_70~79세,"4,793",53,298,111,169,169,278,114,311,552,716,464,362,341,430,425
2021년04월_남_80~89세,"1,867",18,143,41,70,73,84,35,107,202,298,232,128,148,123,165
2021년04월_남_90~99세,281,4,39,7,16,9,18,9,12,20,47,23,14,23,15,25
2021년04월_남_100세 이상,67,1,21,3,2,0,6,4,4,3,4,3,0,4,0,12
2021년04월_여_총인구수,"63,690","1,125","2,401","1,680","1,932","2,272","2,615",708,"3,857","7,262","8,936","7,320","5,385","5,443","6,580","6,174"
2021년04월_여_연령구간인구수,"63,690","1,125","2,401","1,680","1,932","2,272","2,615",708,"3,857","7,262","8,936","7,320","5,385","5,443","6,580","6,174"
2021년04월_여_0~9세,"3,189",76,85,34,84,87,63,24,148,254,532,371,283,309,350,489
2021년04월_여_10~19세,"3,365",83,119,72,85,140,103,20,149,369,469,436,267,429,260,364
2021년04월_여_20~29세,"9,724",149,276,195,369,559,577,110,737,"1,232","1,003","1,003",898,696,"1,217",703
2021년04월_여_30~39세,"9,967",245,281,199,288,312,385,133,631,"1,051","1,225","1,085",856,710,"1,409","1,157"
2021년04월_여_40~49세,"8,692",226,295,241,205,269,290,72,476,991,"1,221",978,748,797,926,957
2021년04월_여_50~59세,"10,095",151,399,291,252,291,373,82,637,"1,210","1,480","1,221",894,"1,010",861,943
2021년04월_여_60~69세,"8,965",106,422,308,304,266,395,126,526,"1,075","1,462","1,037",693,721,813,711
2021년04월_여_70~79세,"5,846",52,294,201,183,206,264,88,347,669,908,733,478,431,480,512
2021년04월_여_80~89세,"3,094",27,156,110,119,119,131,36,155,338,524,388,229,282,215,265
2021년04월_여_90~99세,629,6,50,22,36,20,25,13,47,62,107,62,33,49,45,52
2021년04월_여_100세 이상,124,4,24,7,7,3,9,4,4,11,5,6,6,9,4,21
