,세종특별자치시,세종특별자치시 세종특별자치시
2021년04월_계_총인구수,"361,396","361,396"
2021년04월_계_연령구간인구수,"361,396","361,396"
2021년04월_계_0~9세,"47,239","47,239"
2021년04월_계_10~19세,"43,710","43,710"
2021년04월_계_20~29세,"38,010","38,010"
2021년04월_계_30~39세,"61,490","61,490"
2021년04월_계_40~49세,"70,245","70,245"
2021년04월_계_50~59세,"46,140","46,140"
2021년04월_계_60~69세,"31,569","31,569"
2021년04월_계_70~79세,"14,422","14,422"
2021년04월_계_80~89세,"7,284","7,284"
2021년04월_계_90~99세,"1,251","1,251"
2021년04월_계_100세 이상,36,36
2021년04월_남_총인구수,"180,462","180,462"
2021년04월_남_연령구간인구수,"180,462","180,462"
2021년04월_남_0~9세,"24,138","24,138"
2021년04월_남_10~19세,"21,991","21,991"
2021년04월_남_20~29세,"19,408","19,408"
2021년04월_남_30~39세,"30,026","30,026"
2021년04월_남_40~49세,"35,767","35,767"
2021년04월_남_50~59세,"24,073","24,073"
2021년04월_남_60~69세,"15,637","15,637"
2021년04월_남_70~79세,"6,681","6,681"
2021년04월_남_80~89세,"2,469","2,469"
2021년04월_남_90~99세,265,265
2021년04월_남_100세 이상,7,7
2021년04월_여_총인구수,"180,934","180,934"
2021년04월_여_연령구간인구수,"180,934","180,934"
2021년04월_여_0~9세,"23,101","23,101"
2021년04월_여_10~19세,"21,719","21,719"
2021년04월_여_20~29세,"18,602","18,602"
2021년04월_여_30~39세,"31,464","31,464"
2021년04월_여_40~49세,"34,478","34,478"
2021년04월_여_50~59세,"22,067","22,067"
2021년04월_여_60~69세,"15,932","15,932"
2021년04월_여_70~79세,"7,741","7,741"
2021년04월_여_80~89세,"4,815","4,815"
2021년04월_여_90~99세,986,986
2021년04월_여_100세 이상,29,29
