카테고리,세종특별자치시,세종특별자치시 세종특별자치시
2021년06월_계_총인구수,"362,995","362,995"
2021년06월_계_연령구간인구수,"362,995","362,995"
2021년06월_계_0~9세,"46,977","46,977"
2021년06월_계_10~19세,"44,072","44,072"
2021년06월_계_20~29세,"38,205","38,205"
2021년06월_계_30~39세,"61,194","61,194"
2021년06월_계_40~49세,"70,646","70,646"
2021년06월_계_50~59세,"46,583","46,583"
2021년06월_계_60~69세,"32,165","32,165"
2021년06월_계_70~79세,"14,506","14,506"
2021년06월_계_80~89세,"7,331","7,331"
2021년06월_계_90~99세,"1,278","1,278"
2021년06월_계_100세 이상,38,38
2021년06월_남_총인구수,"181,328","181,328"
2021년06월_남_연령구간인구수,"181,328","181,328"
2021년06월_남_0~9세,"24,022","24,022"
2021년06월_남_10~19세,"22,149","22,149"
2021년06월_남_20~29세,"19,567","19,567"
2021년06월_남_30~39세,"29,883","29,883"
2021년06월_남_40~49세,"35,923","35,923"
2021년06월_남_50~59세,"24,343","24,343"
2021년06월_남_60~69세,"15,943","15,943"
2021년06월_남_70~79세,"6,724","6,724"
2021년06월_남_80~89세,"2,502","2,502"
2021년06월_남_90~99세,263,263
2021년06월_남_100세 이상,9,9
2021년06월_여_총인구수,"181,667","181,667"
2021년06월_여_연령구간인구수,"181,667","181,667"
2021년06월_여_0~9세,"22,955","22,955"
2021년06월_여_10~19세,"21,923","21,923"
2021년06월_여_20~29세,"18,638","18,638"
2021년06월_여_30~39세,"31,311","31,311"
2021년06월_여_40~49세,"34,723","34,723"
2021년06월_여_50~59세,"22,240","22,240"
2021년06월_여_60~69세,"16,222","16,222"
2021년06월_여_70~79세,"7,782","7,782"
2021년06월_여_80~89세,"4,829","4,829"
2021년06월_여_90~99세,"1,015","1,015"
2021년06월_여_100세 이상,29,29
