카테고리,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2021년05월_계_총인구수,"362,036","43,265","2,764","3,161","6,189","8,935","6,894","7,407","5,574","3,471","2,395","19,166","31,657","41,037","23,609","29,398","34,429","33,846","19,357","11,280","28,202"
2021년05월_계_연령구간인구수,"362,036","43,265","2,764","3,161","6,189","8,935","6,894","7,407","5,574","3,471","2,395","19,166","31,657","41,037","23,609","29,398","34,429","33,846","19,357","11,280","28,202"
2021년05월_계_0~9세,"47,074","3,141",95,90,314,323,229,336,183,70,95,"2,522","4,554","5,769","3,441","4,547","5,878","5,845","3,120","1,655","4,867"
2021년05월_계_10~19세,"43,846","4,151",99,128,366,403,312,405,371,117,175,"3,320","4,258","5,507","4,328","4,224","4,852","3,674","2,576","1,082","3,498"
2021년05월_계_20~29세,"38,094","6,492",391,290,710,923,"1,045",852,560,279,273,"1,742","3,799","4,632","1,857","2,544","2,547","3,325","1,859","1,359","2,615"
2021년05월_계_30~39세,"61,318","5,505",360,289,734,900,906,725,491,238,177,"2,487","6,302","7,571","3,361","5,346","6,391","7,731","3,513","2,254","6,037"
2021년05월_계_40~49세,"70,319","6,842",331,338,821,"1,035",939,877,654,333,325,"4,458","6,617","8,735","5,879","6,298","7,610","6,534","3,949","1,972","5,772"
2021년05월_계_50~59세,"46,469","6,648",513,535,"1,082","1,603","1,297","1,223","1,017",690,444,"2,662","3,536","4,765","2,804","3,278","3,539","3,834","2,360","1,686","2,953"
2021년05월_계_60~69세,"31,833","5,579",538,685,"1,088","1,824","1,149","1,437","1,048",873,416,"1,239","1,779","2,453","1,275","2,010","2,469","2,010","1,354",890,"1,717"
2021년05월_계_70~79세,"14,457","3,082",257,426,615,"1,123",585,895,665,502,269,494,556,"1,041",464,781,847,623,443,248,541
2021년05월_계_80~89세,"7,321","1,570",148,312,405,673,382,579,500,312,197,201,202,457,166,333,247,216,151,106,164
2021년05월_계_90~99세,"1,268",247,31,64,53,123,49,76,80,55,24,39,54,107,32,36,49,51,32,28,38
2021년05월_계_100세 이상,37,8,1,4,1,5,1,2,5,2,0,2,0,0,2,1,0,3,0,0,0
2021년05월_남_총인구수,"180,778","22,480","1,583","1,663","3,419","4,738","3,993","4,038","2,965","1,879","1,270","9,438","15,315","19,834","11,688","14,294","16,848","16,640","9,491","5,595","13,607"
2021년05월_남_연령구간인구수,"180,778","22,480","1,583","1,663","3,419","4,738","3,993","4,038","2,965","1,879","1,270","9,438","15,315","19,834","11,688","14,294","16,848","16,640","9,491","5,595","13,607"
2021년05월_남_0~9세,"24,055","1,608",47,45,165,157,124,158,94,31,49,"1,311","2,306","2,960","1,785","2,338","2,991","2,968","1,590",879,"2,449"
2021년05월_남_10~19세,"22,029","2,115",50,65,201,183,153,219,211,62,82,"1,682","2,047","2,760","2,277","2,079","2,477","1,801","1,314",547,"1,704"
2021년05월_남_20~29세,"19,507","3,708",238,188,470,549,667,555,340,155,164,910,"1,736","2,073",911,"1,196","1,231","1,625",903,676,"1,212"
2021년05월_남_30~39세,"29,930","3,036",245,170,464,542,606,453,304,151,115,"1,122","2,955","3,540","1,505","2,535","2,962","3,694","1,606","1,102","2,823"
2021년05월_남_40~49세,"35,768","3,671",219,211,509,645,636,540,387,217,191,"2,119","3,299","4,244","2,806","3,122","3,844","3,288","1,965",984,"2,871"
