카테고리,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  해밀동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  반곡동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2021년10월_계_총인구수,"368,276","43,406","2,792","3,133","6,211","9,030","7,021","7,418","5,519","3,388","2,311","18,851","37,028","32,903","8,515","23,542","29,460","34,365","20,641","13,595","19,257","11,371","28,519"
2021년10월_계_연령구간인구수,"368,276","43,406","2,792","3,133","6,211","9,030","7,021","7,418","5,519","3,388","2,311","18,851","37,028","32,903","8,515","23,542","29,460","34,365","20,641","13,595","19,257","11,371","28,519"
2021년10월_계_0~9세,"46,988","3,042",100,98,319,346,243,328,180,66,88,"2,389","5,383","4,010","1,674","3,273","4,428","5,766","3,550","2,246","2,979","1,657","4,823"
2021년10월_계_10~19세,"45,193","4,171",93,116,359,370,316,406,355,108,170,"3,294","5,172","4,557","1,017","4,389","4,278","4,939","2,480","1,272","2,610","1,100","3,621"
2021년10월_계_20~29세,"38,180","6,519",387,274,700,940,"1,021",847,543,269,251,"1,732","4,110","3,989",594,"1,845","2,527","2,479","1,735","1,689","1,838","1,339","2,552"
2021년10월_계_30~39세,"61,258","5,462",362,302,759,941,959,724,464,229,182,"2,404","7,092","5,618","1,846","3,293","5,264","6,109","4,371","3,313","3,445","2,206","5,913"
2021년10월_계_40~49세,"71,910","6,806",329,328,808,"1,030",949,853,643,313,299,"4,303","7,976","6,992","1,874","5,826","6,290","7,703","4,231","2,402","3,964","2,059","5,932"
2021년10월_계_50~59세,"48,087","6,695",530,519,"1,076","1,606","1,309","1,208","1,012",664,428,"2,749","4,286","4,139",851,"2,908","3,425","3,649","2,318","1,560","2,383","1,689","3,083"
2021년10월_계_60~69세,"33,152","5,747",554,700,"1,104","1,858","1,177","1,473","1,077",879,426,"1,242","2,053","2,192",410,"1,326","2,077","2,549","1,378",771,"1,396",932,"1,831"
2021년10월_계_70~79세,"14,694","3,080",253,424,625,"1,126",604,906,647,491,256,493,638,917,171,475,799,881,431,216,455,249,557
2021년10월_계_80~89세,"7,488","1,629",154,310,401,685,387,591,513,317,187,204,242,397,69,175,331,244,116,97,156,116,167
2021년10월_계_90~99세,"1,287",247,29,58,59,122,55,79,77,51,24,40,76,92,9,30,40,46,30,28,31,24,40
2021년10월_계_100세 이상,39,8,1,4,1,6,1,3,8,1,0,1,0,0,0,2,1,0,1,1,0,0,0
2021년10월_남_총인구수,"183,879","22,611","1,592","1,649","3,434","4,795","4,075","4,059","2,942","1,825","1,227","9,257","17,938","15,877","4,148","11,650","14,320","16,841","10,167","6,648","9,420","5,657","13,747"
