카테고리,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2020년07월_계_총인구수,"1,141,362","219,635","322,486","157,757","218,777","222,707"
2020년07월_계_연령구간인구수,"1,141,362","219,635","322,486","157,757","218,777","222,707"
2020년07월_계_0~9세,"101,316","17,179","24,509","15,446","25,804","18,378"
2020년07월_계_10~19세,"113,536","20,406","31,166","15,596","23,601","22,767"
2020년07월_계_20~29세,"146,406","27,463","46,317","18,034","28,068","26,524"
2020년07월_계_30~39세,"155,472","27,214","43,057","23,852","34,891","26,458"
2020년07월_계_40~49세,"189,127","34,820","52,361","25,829","38,453","37,664"
2020년07월_계_50~59세,"210,564","41,815","62,349","26,232","38,517","41,651"
2020년07월_계_60~69세,"140,639","31,013","40,328","21,947","18,812","28,539"
2020년07월_계_70~79세,"58,937","14,019","16,200","8,026","7,218","13,474"
2020년07월_계_80~89세,"22,155","5,039","5,504","2,409","2,948","6,255"
2020년07월_계_90~99세,"3,041",611,661,360,445,964
2020년07월_계_100세 이상,169,56,34,26,20,33
2020년07월_남_총인구수,"586,533","111,380","164,493","82,507","113,253","114,900"
2020년07월_남_연령구간인구수,"586,533","111,380","164,493","82,507","113,253","114,900"
2020년07월_남_0~9세,"52,083","8,889","12,614","7,928","13,258","9,394"
2020년07월_남_10~19세,"59,828","10,925","16,444","8,228","12,327","11,904"
2020년07월_남_20~29세,"82,156","15,276","25,871","10,167","15,814","15,028"
2020년07월_남_30~39세,"82,466","14,346","22,857","13,175","18,088","14,000"
2020년07월_남_40~49세,"96,122","17,655","25,526","13,989","19,659","19,293"
2020년07월_남_50~59세,"107,296","20,851","31,424","12,956","20,018","22,047"
2020년07월_남_60~69세,"70,979","15,157","20,048","11,169","9,826","14,779"
2020년07월_남_70~79세,"27,845","6,422","7,722","4,080","3,328","6,293"
2020년07월_남_80~89세,"7,227","1,748","1,865",764,863,"1,987"
2020년07월_남_90~99세,497,100,112,46,69,170
2020년07월_남_100세 이상,34,11,10,5,3,5
2020년07월_여_총인구수,"554,829","108,255","157,993","75,250","105,524","107,807"
2020년07월_여_연령구간인구수,"554,829","108,255","157,993","75,250","105,524","107,807"
2020년07월_여_0~9세,"49,233","8,290","11,895","7,518","12,546","8,984"
2020년07월_여_10~19세,"53,708","9,481","14,722","7,368","11,274","10,863"
2020년07월_여_20~29세,"64,250","12,187","20,446","7,867","12,254","11,496"
2020년07월_여_30~39세,"73,006","12,868","20,200","10,677","16,803","12,458"
2020년07월_여_40~49세,"93,005","17,165","26,835","11,840","18,794","18,371"
2020년07월_여_50~59세,"103,268","20,964","30,925","13,276","18,499","19,604"
2020년07월_여_60~69세,"69,660","15,856","20,280","10,778","8,986","13,760"
2020년07월_여_70~79세,"31,092","7,597","8,478","3,946","3,890","7,181"
2020년07월_여_80~89세,"14,928","3,291","3,639","1,645","2,085","4,268"
2020년07월_여_90~99세,"2,544",511,549,314,376,794
2020년07월_여_100세 이상,135,45,24,21,17,28
